,hour,minute,Carbon Intensity gCO₂eq/kWh (direct) median,Carbon Intensity gCO₂eq/kWh (direct) mean,Carbon Intensity gCO₂eq/kWh (direct) percentile_25,Carbon Intensity gCO₂eq/kWh (direct) percentile_75,Carbon Intensity gCO₂eq/kWh (LCA) median,Carbon Intensity gCO₂eq/kWh (LCA) mean,Carbon Intensity gCO₂eq/kWh (LCA) percentile_25,Carbon Intensity gCO₂eq/kWh (LCA) percentile_75,Low Carbon Percentage median,Low Carbon Percentage mean,Low Carbon Percentage percentile_25,Low Carbon Percentage percentile_75,Renewable Percentage median,Renewable Percentage mean,Renewable Percentage percentile_25,Renewable Percentage percentile_75
0,0,0,347.40999999999997,337.28565217391304,291.0325,380.32,439.82500000000005,427.6982608695652,373.005,480.64,30.729999999999997,32.35141304347826,23.42,42.0175,25.875,27.893804347826087,19.5375,35.225
1,0,15,346.6275,336.13752717391304,289.63625,379.630625,439.04125,426.2960597826087,369.915,479.748125,30.91125,32.60426630434783,23.690625,42.279375,26.5725,27.986331521739128,19.525624999999998,34.828125
2,0,30,347.33500000000004,334.98940217391305,288.665,378.815,439.435,424.89385869565217,367.345,478.59624999999994,30.802500000000002,32.85711956521739,23.83,42.34625,26.835,28.078858695652176,19.95375,34.64375
3,0,45,345.72875,333.84127717391306,286.92375,379.11687500000005,438.31625,423.4916576086956,365.17125,478.919375,30.8725,33.10997282608695,24.4075,42.53875,26.80125,28.171385869565217,20.165,34.459375
4,1,0,341.815,332.69315217391306,286.9425,377.66,432.975,422.0894565217392,366.11749999999995,477.575,31.18,33.362826086956524,24.7825,42.8875,26.689999999999998,28.26391304347826,20.7025,34.275
5,1,15,342.18874999999997,332.16472826086954,284.72687500000006,376.2375,433.52750000000003,421.467527173913,365.92375000000004,476.0025,31.189999999999998,33.44244565217391,24.555625,43.088125000000005,26.62625,28.239864130434785,20.71875,33.841875
6,1,30,342.4325,331.63630434782607,284.96999999999997,375.6475,433.265,420.84559782608693,364.44375,475.28875,31.1925,33.52206521739131,24.34375,42.745000000000005,26.5775,28.215815217391306,20.7075,33.94125
7,1,45,342.41125,331.1078804347826,286.6775,376.495,433.48375,420.2236684782609,366.29375,476.29812499999997,31.57875,33.60168478260869,24.180625,42.866875,26.51875,28.191766304347826,20.770625,33.416875000000005
8,2,0,342.96,331.2146153846154,289.905,376.96500000000003,434.59,420.3918681318681,369.14,476.565,31.85,33.55516483516484,23.98,42.025,26.26,28.03241758241758,20.485,33.11
9,2,15,342.00750000000005,330.72439560439557,286.0525,376.23625000000004,433.25,419.78667582417586,365.8425,475.70624999999995,30.9675,33.642939560439565,24.042500000000004,42.83125,25.9125,28.00398351648352,20.425,33.162499999999994
10,2,30,341.76,330.23417582417585,284.6875,376.11249999999995,433.305,419.1814835164835,364.48,475.6175,31.615,33.730714285714285,24.2775,42.9525,25.895,27.97554945054945,20.4,33.72
11,2,45,339.47249999999997,329.7439560439561,283.51625,375.98875,430.375,418.5762912087912,363.1175,475.52875,32.262499999999996,33.81848901098901,24.87125,43.4275,25.745,27.947115384615383,20.2825,34.427499999999995
12,3,0,335.53499999999997,328.6398913043478,278.72749999999996,375.09000000000003,426.105,417.20728260869566,355.59250000000003,474.16749999999996,32.815,34.02858695652174,25.29,44.572500000000005,25.555,28.055217391304346,20.362499999999997,35.065
13,3,15,336.66625,328.5944836956522,277.24812499999996,375.530625,426.27125,417.1634510869565,353.833125,474.73625000000004,32.74249999999999,34.02054347826087,25.293125,44.66875,25.58125,28.019076086956524,20.229999999999997,35.336875
14,3,30,337.765,328.5490760869565,276.4325,375.97125,427.7975,417.11961956521736,353.26625,475.305,32.677499999999995,34.0125,25.29625,44.765,25.39,27.982934782608694,20.09,35.62
15,3,45,336.775,328.50366847826086,277.77125,376.375625,426.55125,417.0757880434783,354.97562500000004,475.87375,32.666250000000005,34.00445652173913,25.2,44.814375,25.0675,27.94679347826087,19.999375,35.90124999999999
16,4,0,338.17499999999995,328.4582608695652,278.6825,376.5775,428.42499999999995,417.0319565217392,356.5575,476.4425,32.355000000000004,33.99641304347826,24.950000000000003,44.28,25.055,27.910652173913046,19.935000000000002,36.0625
17,4,15,340.79625,329.7433695652174,280.11687500000005,375.938125,431.92375000000004,418.5856793478261,358.05625,475.81437500000004,31.85875,33.72823369565217,24.715625,44.38312500000001,24.612499999999997,27.76304347826087,20.215625000000003,35.698750000000004
18,4,30,340.5375,331.0284782608696,279.51875,375.235,432.0425,420.139402173913,358.49125,474.9625,31.5275,33.46005434782609,24.335,44.30375,24.405,27.615434782608695,20.26625,35.58625000000001
19,4,45,341.5075,332.3135869565217,278.649375,379.063125,432.47749999999996,421.693125,356.32125,478.913125,31.3375,33.191875,23.763125000000002,44.103125000000006,24.44375,27.46782608695652,19.733125,35.580625
20,5,0,342.62,333.59869565217394,279.3275,380.9225,434.3,423.24684782608693,356.2825,481.63,30.515,32.92369565217391,23.5475,43.855000000000004,24.49,27.320217391304347,19.2425,35.4375
21,5,15,347.31125,334.90991847826086,282.7625,383.71999999999997,440.33124999999995,424.8443206521739,360.54937500000005,485.055,29.521250000000002,32.66703804347826,23.207500000000003,43.249375,24.31125,27.212038043478262,19.244374999999998,35.491875
22,5,30,351.78499999999997,336.22114130434784,286.49125000000004,384.68375000000003,445.43499999999995,426.4417934782608,364.81625,486.155,28.9325,32.41038043478261,22.68625,42.60625,24.1325,27.10385869565217,19.202499999999997,35.415
23,5,45,354.8675,337.5323641304348,289.6325,386.01750000000004,448.92375,428.03926630434785,369.57937499999997,485.47375,28.45,32.153722826086955,22.48125,41.731875,23.95375,26.995679347826087,18.856250000000003,35.323750000000004
24,6,0,359.105,338.84358695652173,293.0675,386.24,454.455,429.6367391304348,374.39,486.955,28.275,31.897065217391308,22.6175,40.765,23.675,26.8875,18.77,35.1575
25,6,15,350.56875,334.13646739130434,285.36375000000004,381.96375,444.78749999999997,424.2110326086957,366.1,483.493125,29.25375,32.864048913043476,23.38375,42.213750000000005,25.05625,28.03263586956522,19.775624999999998,37.389375
26,6,30,342.9525,329.42934782608694,282.68875,374.28125,434.92499999999995,418.7853260869565,363.475,474.02750000000003,31.275,33.83103260869565,24.74125,43.1475,26.637500000000003,29.177771739130435,21.426250000000003,37.635000000000005
27,6,45,333.21625,324.72222826086954,277.84125,368.95,424.71375,413.3596195652174,354.84875,467.39187499999997,33.09125,34.798016304347826,25.585,45.068749999999994,28.75875,30.32290760869565,22.33,39.45875
28,7,0,323.275,320.01510869565215,271.11249999999995,366.865,413.805,407.93391304347824,347.0625,462.8075,34.545,35.765,26.615,46.3575,31.205,31.46804347826087,22.68,40.3775
29,7,15,313.9925,309.2769565217391,260.69437500000004,352.536875,402.88625,395.47516304347823,337.92375000000004,445.573125,36.4875,37.919809782608695,29.8125,47.863125,32.96875,33.88220108695652,26.283125,42.5475
30,7,30,303.3125,298.5388043478261,252.63124999999997,336.79625,390.0075,383.0164130434783,330.31,428.57875,38.7325,40.07461956521739,32.44500000000001,49.5325,35.2975,36.296358695652174,29.386250000000004,44.95875
31,7,45,293.5125,287.800652173913,245.00375,322.1075000000001,378.88374999999996,370.55766304347827,317.64374999999995,413.488125,40.68,42.22942934782609,34.963750000000005,51.041250000000005,37.525,38.71051630434783,32.420625,47.442499999999995
32,8,0,281.385,277.0625,233.455,310.2325,364.93499999999995,358.09891304347826,304.34749999999997,400.265,43.095,44.38423913043478,37.3025,53.1325,39.845,41.12467391304347,34.93,48.535
33,8,15,277.41249999999997,270.7063858695652,226.3125,305.529375,360.855,350.65771739130435,296.71437499999996,394.54375,43.769999999999996,45.65956521739131,38.341875,54.53125,41.458749999999995,42.53013586956522,36.1625,49.59375
34,8,30,273.35749999999996,264.3502717391304,221.28625,300.5825,355.18,343.2165217391304,293.07,387.13,44.93,46.93489130434783,39.522499999999994,55.752500000000005,42.7275,43.935597826086955,37.57,50.6175
35,8,45,267.11375,257.9941576086957,218.56062500000002,293.546875,346.57875,335.77532608695657,289.9025,379.23375,46.4025,48.21021739130435,40.94,56.3225,43.9425,45.34105978260869,38.85875,52.27125
36,9,0,260.965,251.63804347826087,215.835,287.77250000000004,339.29,328.33413043478265,286.735,371.9475,47.69,49.48554347826087,42.915000000000006,56.79,45.235,46.746521739130436,40.56,53.58
37,9,15,255.71749999999997,248.05834239130436,213.185,282.94937500000003,333.29625,324.1292119565218,282.62125000000003,366.23125000000005,48.38375,50.1829347826087,43.810625,57.269375,46.011250000000004,47.47345108695652,41.368125000000006,54.400000000000006
38,9,30,253.1575,244.47864130434783,209.78125,278.12625,330.26750000000004,319.9242934782609,277.4275,360.20875,49.35,50.88032608695652,44.44375,57.74875,46.714999999999996,48.200380434782616,41.96125,55.2325
39,9,45,248.61374999999998,240.8989402173913,205.61812500000002,273.02437499999996,325.14750000000004,315.719375,273.544375,354.195625,50.428749999999994,51.57771739130435,44.85187499999999,58.442499999999995,47.5375,48.927309782608695,42.798125,55.900625
40,10,0,243.745,237.31923913043477,203.51999999999998,270.1675,319.585,311.51445652173913,270.685,351.5725,51.1,52.27510869565218,45.56,58.8775,48.385000000000005,49.65423913043478,43.1925,56.47
41,10,15,239.27625,235.67456521739132,203.09,268.56,315.48249999999996,309.60116847826083,268.719375,349.108125,51.615,52.58092391304348,45.684999999999995,59.230624999999996,49.019999999999996,49.99084239130435,43.6625,56.79
42,10,30,236.9975,234.0298913043478,201.825,266.39750000000004,311.84749999999997,307.6878804347826,267.2925,347.045,52.19,52.88673913043478,46.112500000000004,59.41375,49.519999999999996,50.327445652173914,43.9825,57.006249999999994
43,10,45,235.24625,232.38521739130434,201.081875,265.0075,308.60125000000005,305.77459239130434,266.47625000000005,346.566875,52.45375,53.19255434782609,46.5675,59.541875000000005,50.019999999999996,50.66404891304347,44.348749999999995,57.194375
44,11,0,233.275,230.7405434782609,200.6425,263.09,306.27,303.8613043478261,266.0875,343.515,52.980000000000004,53.498369565217395,46.985,59.7675,50.555,51.000652173913046,44.715,57.3825
45,11,15,231.22500000000002,229.7139402173913,200.09625000000003,261.138125,303.97,302.63538043478263,265.4825,340.98812499999997,53.432500000000005,53.71233695652174,47.313125,59.7825,50.93875,51.24540760869566,45.115,57.700624999999995
46,11,30,228.61249999999998,228.68733695652173,199.55,258.6675,301.5975,301.4094565217392,264.81500000000005,337.68875,53.785,53.92630434782609,47.82875,59.885,51.192499999999995,51.49016304347826,45.589999999999996,57.943749999999994
47,11,45,227.64499999999998,227.66073369565217,198.89875,257.36249999999995,301.11875,300.18353260869566,264.12125000000003,336.31437500000004,53.894999999999996,54.140271739130434,48.174375,59.9175,51.417500000000004,51.73491847826087,45.946875,57.879375
48,12,0,227.09,226.6341304347826,197.3225,256.455,300.065,298.95760869565214,262.4475,334.93,54.004999999999995,54.354239130434784,48.7,60.3875,51.735,51.97967391304348,46.4225,57.83
49,12,15,224.885,225.4078804347826,195.72062499999998,254.568125,297.93,297.4908967391304,261.48125,332.94062499999995,54.42,54.59016304347826,49.046875,60.485625,52.055,52.18192934782609,46.824374999999996,58.13625
50,12,30,222.9825,224.1816304347826,193.90125,251.75125000000003,295.315,296.0241847826087,259.27,329.57124999999996,54.875,54.82608695652174,49.48125,60.79375,52.4325,52.3841847826087,47.24875,58.2525
51,12,45,221.765,222.95538043478263,191.76687500000003,249.07125,293.765,294.55747282608695,256.348125,326.224375,55.09625,55.06201086956521,49.837500000000006,61.295,52.74249999999999,52.586440217391306,47.603125,58.4675
52,13,0,220.20499999999998,221.72913043478258,190.08249999999998,247.3425,291.59000000000003,293.0907608695652,254.8475,324.66499999999996,55.385000000000005,55.29793478260869,49.89,61.6825,53.015,52.78869565217392,47.832499999999996,58.655
53,13,15,218.96249999999998,221.279402173913,189.288125,246.475,291.05875000000003,292.5578532608696,254.045625,323.3775,55.6125,55.37258152173913,50.159375000000004,61.873125,52.916250000000005,52.810896739130435,47.818125,58.835
54,13,30,217.02999999999997,220.82967391304345,188.39875,246.03125,288.9,292.02494565217387,252.7275,322.52625,55.99,55.44722826086956,50.40625,62.019999999999996,53.0475,52.83309782608696,47.66375,59.04625
55,13,45,215.0975,220.37994565217394,188.3725,245.513125,286.35625,291.49203804347826,252.035,321.93875,56.3675,55.521875,50.551875,62.138124999999995,53.2825,52.85529891304348,47.608125,58.894999999999996
56,14,0,213.33999999999997,219.93021739130435,188.68,244.995,284.225,290.95913043478265,252.53250000000003,321.495,56.724999999999994,55.59652173913044,50.6975,61.955,53.335,52.8775,47.5525,58.925
57,14,15,214.63375,219.95010869565218,188.7875,245.75375,285.4075,290.94695652173914,252.2925,322.11625,56.64125,55.59067934782608,50.480624999999996,62.04625,53.29125,52.80660326086957,47.35875,58.965625
58,14,30,214.09249999999997,219.97000000000003,188.26749999999998,246.02625,284.24,290.9347826086956,252.19375,322.73749999999995,56.5625,55.58483695652174,50.345,62.01,53.3575,52.73570652173913,47.165000000000006,58.8825
59,14,45,214.46875,219.98989130434782,188.11562500000002,246.24812500000002,284.6,290.9226086956522,251.50625000000002,323.35625000000005,56.481249999999996,55.57899456521739,50.2325,62.260625,53.42375,52.6648097826087,46.948750000000004,59.02625
60,15,0,214.81,220.00978260869567,187.59,246.60500000000002,284.38,290.9104347826087,250.60750000000002,323.245,56.519999999999996,55.57315217391304,50.12,62.4625,53.489999999999995,52.59391304347827,46.985,59.1225
61,15,15,217.14875,221.00027173913045,188.225625,249.391875,287.255,292.0441576086956,250.9,327.07875,56.19375,55.37766304347826,49.663125,62.219375,53.4225,52.329402173913046,46.45625,58.854375
62,15,30,219.7475,221.99076086956524,187.51125,251.8275,290.37,293.17788043478265,250.565,329.63,55.6725,55.18217391304348,49.20625,62.29,53.254999999999995,52.06489130434783,46.136250000000004,58.64375
63,15,45,220.23125,222.98125000000002,188.120625,253.323125,291.495,294.31160326086956,251.26999999999998,331.260625,55.43625,54.98668478260869,48.82875,62.04875,53.13875,51.80038043478261,46.064375,58.537499999999994
64,16,0,220.325,223.9717391304348,190.5075,256.4625,291.92999999999995,295.4453260869565,253.8625,334.0875,55.415,54.79119565217391,48.5775,61.5575,53.11,51.535869565217396,45.8775,58.455
65,16,15,223.185,227.41165760869566,195.506875,261.684375,294.51374999999996,299.47698369565217,259.95250000000004,340.884375,54.8625,54.10421195652174,47.42875,61.006875,52.42375,50.80953804347826,44.74875,57.588750000000005
66,16,30,225.32999999999998,230.85157608695653,197.71624999999997,266.58125000000007,297.0575,303.5086413043478,263.53999999999996,347.005,54.405,53.41722826086957,46.16,60.06,52.137499999999996,50.08320652173913,43.53,56.76
67,16,45,225.83375,234.2914945652174,201.08,270.688125,298.0825,307.5402989130435,267.869375,351.216875,54.2125,52.73024456521739,45.14812499999999,59.33125,51.473749999999995,49.356874999999995,42.697500000000005,55.776875
68,17,0,228.12,237.73141304347828,204.26999999999998,274.52000000000004,300.93,311.57195652173914,268.885,356.305,53.715,52.04326086956521,44.370000000000005,59.3425,51.185,48.63054347826087,41.7075,55.0
69,17,15,233.97375,244.36605978260872,208.60999999999999,280.59187499999996,306.32625,319.36426630434784,276.519375,365.2275,52.84125,50.71288043478261,43.2025,57.95375,50.0025,47.32785326086957,40.775625,54.175
70,17,30,240.0625,251.00070652173912,210.48875,284.17,313.21500000000003,327.15657608695653,277.28499999999997,369.0,51.495,49.38249999999999,42.44875,57.77125,48.355000000000004,46.02516304347826,39.75875,53.56125
71,17,45,244.77375,257.6353532608696,215.07625000000002,287.579375,319.99,334.94888586956523,285.08687499999996,373.078125,50.47,48.05211956521739,41.761250000000004,56.730624999999996,47.06999999999999,44.72247282608696,39.143750000000004,52.888125
72,18,0,249.81,264.27,219.115,290.13,325.90999999999997,342.7411956521739,288.8075,376.03749999999997,49.435,46.72173913043478,41.2375,56.0225,45.864999999999995,43.41978260869565,38.5975,52.349999999999994
73,18,15,256.2525,270.3382608695652,223.97875,294.875625,333.4125,349.8526902173913,294.683125,381.21562500000005,48.129999999999995,45.530597826086954,40.328125,55.3425,44.81375,42.26730978260869,37.953125,51.548125
74,18,30,261.34499999999997,276.4065217391304,229.4625,299.21875,339.47499999999997,356.9641847826087,301.0075,386.6425,47.1,44.33945652173913,39.41625,54.5275,43.5075,41.11483695652174,37.05375,50.73625
75,18,45,269.4775,282.47478260869565,232.644375,306.61625000000004,346.16499999999996,364.0756793478261,305.63625,393.965,45.963750000000005,43.14831521739131,38.081875,53.459374999999994,42.401250000000005,39.96236413043478,35.808125000000004,49.909375
76,19,0,276.755,288.54304347826087,236.96249999999998,313.285,356.8,371.18717391304347,311.1725,399.1625,44.355000000000004,41.957173913043476,36.7625,52.497499999999995,41.65,38.80989130434783,33.7975,49.082499999999996
77,19,15,284.37375,295.54619565217394,249.333125,323.589375,366.5325,379.34323369565215,323.765625,414.97875,42.73125,40.57024456521739,34.543124999999996,50.206875000000004,39.863749999999996,37.345054347826085,32.213125,46.958124999999995
78,19,30,293.18,302.54934782608694,258.99125000000004,337.24,378.14250000000004,387.4992934782608,333.72375,429.62625,40.91,39.1833152173913,32.22375,48.125,37.957499999999996,35.88021739130435,29.405,44.66875
79,19,45,302.32375,309.5525,267.566875,346.90937499999995,386.90625,395.6553532608696,343.66375000000005,440.481875,38.9325,37.79638586956521,30.696250000000003,46.17,36.5,34.41538043478261,27.318125000000002,42.6025
80,20,0,311.52,316.555652173913,275.46,357.1375,399.44,403.8114130434783,354.095,452.21000000000004,37.07,36.40945652173913,27.95,44.69,34.315,32.95054347826087,25.14,40.65
81,20,15,321.28625,323.07937499999997,281.17625,360.746875,411.9125,411.4376902173913,362.23812499999997,456.330625,34.865,35.10415760869565,27.497500000000002,43.170625,32.27,31.574972826086956,24.745,38.86
82,20,30,333.2,329.603097826087,293.35625,366.86249999999995,424.365,419.06396739130435,374.265,464.30125,32.745,33.79885869565217,26.16125,41.84625,29.875,30.19940217391304,22.973750000000003,37.95
83,20,45,342.50125,336.12682065217393,300.625,375.943125,435.20000000000005,426.6902445652174,382.66499999999996,474.675,30.79625,32.49355978260869,23.861875,41.034375,27.862499999999997,28.82383152173913,21.018125,37.17375
84,21,0,349.695,342.65054347826083,303.9225,382.1975,443.115,434.31652173913045,386.115,482.9825,29.490000000000002,31.18826086956522,22.8475,39.44,26.28,27.448260869565214,18.35,35.7025
85,21,15,348.73625000000004,343.52728260869566,305.001875,384.223125,441.65999999999997,435.32673913043476,388.09187499999996,485.7125,29.92875,31.041739130434784,22.488125,39.028125,26.39,27.339701086956524,18.441250000000004,35.457499999999996
86,21,30,348.34749999999997,344.4040217391304,307.98,387.44124999999997,441.46500000000003,436.3369565217391,391.02,489.5525,30.4375,30.89521739130435,22.07625,38.401250000000005,26.195,27.231141304347826,18.49625,35.37625
