,hour,minute,Carbon Intensity gCO₂eq/kWh (direct) median,Carbon Intensity gCO₂eq/kWh (direct) mean,Carbon Intensity gCO₂eq/kWh (direct) percentile_25,Carbon Intensity gCO₂eq/kWh (direct) percentile_75,Carbon Intensity gCO₂eq/kWh (LCA) median,Carbon Intensity gCO₂eq/kWh (LCA) mean,Carbon Intensity gCO₂eq/kWh (LCA) percentile_25,Carbon Intensity gCO₂eq/kWh (LCA) percentile_75,Low Carbon Percentage median,Low Carbon Percentage mean,Low Carbon Percentage percentile_25,Low Carbon Percentage percentile_75,Renewable Percentage median,Renewable Percentage mean,Renewable Percentage percentile_25,Renewable Percentage percentile_75
0,0,0,279.07,301.16499999999996,246.875,357.48,352.565,380.2458888888889,314.66,450.19,46.01,42.11077777777778,31.189999999999998,51.755,41.58,38.135777777777776,27.1025,47.9075
1,0,15,279.94,300.2395,245.59562499999998,356.379375,355.60749999999996,379.1046944444445,312.325,442.991875,45.964999999999996,42.30475,31.948749999999997,51.965,41.60375,38.304500000000004,27.7675,47.934375
2,0,30,282.51,299.31399999999996,244.59125,356.47125,358.69,377.96349999999995,310.42125,442.54999999999995,45.934999999999995,42.49872222222223,32.662499999999994,52.1875,41.65,38.473222222222226,28.36,48.073750000000004
3,0,45,285.08,298.3885,243.49562500000002,353.55125,361.77250000000004,376.82230555555554,309.718125,442.66375,45.552499999999995,42.69269444444445,33.37625,52.39375,41.541250000000005,38.64194444444445,28.9425,48.46875
4,1,0,286.755,297.46299999999997,242.155,349.9,362.23,375.68111111111114,308.71750000000003,441.45750000000004,45.385,42.88666666666667,34.0475,52.614999999999995,41.2,38.81066666666667,29.475,48.917500000000004
5,1,15,288.365,297.1851666666667,243.27875,349.546875,363.9525,375.3925833333333,309.099375,439.55875000000003,45.04875,42.889,34.25125,52.738125000000004,40.942499999999995,38.80327777777778,30.215625,48.795
6,1,30,289.55999999999995,296.9073333333333,242.54375,349.33125,365.605,375.10405555555553,308.59250000000003,437.99125,44.762499999999996,42.89133333333333,34.86125,52.74,40.7425,38.79588888888889,30.30375,48.74625
7,1,45,289.8225,296.6295,242.53750000000002,347.11750000000006,366.23625000000004,374.8155277777778,308.86625000000004,437.3,44.5825,42.89366666666667,35.55125,52.53874999999999,40.52625,38.7885,30.600625,48.864375
8,2,0,288.83500000000004,296.3516666666667,242.9025,346.8825,365.9,374.527,311.0975,436.8225,44.455,42.896,35.3475,52.6125,40.545,38.781111111111116,30.78,48.620000000000005
9,2,15,287.75125,295.9120833333333,242.086875,346.23375,363.48875,374.04894444444443,308.723125,434.20624999999995,44.5225,42.92330555555555,35.82125,52.645624999999995,40.44,38.76519444444444,31.5,48.443124999999995
10,2,30,286.81,295.4725,242.33249999999998,345.58500000000004,363.3425,373.5708888888889,309.46375,430.66999999999996,44.144999999999996,42.95061111111111,36.667500000000004,52.55625,40.184999999999995,38.74927777777778,32.1975,48.54
11,2,45,287.3075,295.03291666666667,242.0925,343.59375,364.32625,373.0928333333334,308.68,427.5725,44.2525,42.977916666666665,37.343125,52.381875,40.095,38.73336111111111,32.7875,48.5825
12,3,0,285.945,294.59333333333336,241.885,340.895,362.03,372.6147777777778,308.5575,425.4425,44.305,43.00522222222222,37.214999999999996,52.175,40.0,38.717444444444446,32.3325,48.3
13,3,15,287.255,294.4686388888889,241.315625,341.86375,363.56,372.54438888888893,307.94125,427.606875,44.403749999999995,42.95327777777778,37.034375,52.34,40.45125,38.65552777777778,31.926875000000003,47.823750000000004
14,3,30,285.88,294.34394444444445,240.96125,342.91875,361.975,372.47400000000005,308.13,425.5525,44.595,42.90133333333333,37.15625,52.4875,40.66,38.593611111111116,31.689999999999998,47.89875
15,3,45,284.0075,294.21925,241.14875,340.976875,359.735,372.4036111111111,307.94124999999997,424.85625000000005,44.7225,42.84938888888889,37.264375,52.694375,40.375,38.53169444444445,31.541249999999998,47.926249999999996
16,4,0,282.135,294.09455555555553,241.6125,339.91749999999996,357.495,372.3332222222222,308.4,424.9175,44.82,42.797444444444444,37.2425,52.480000000000004,39.995000000000005,38.46977777777778,31.3925,47.78
17,4,15,286.11,295.08802777777777,242.8025,344.25124999999997,362.32624999999996,373.59161111111115,310.40875,429.00625,44.62375,42.55261111111111,36.771249999999995,52.22500000000001,39.3925,38.2495,30.97625,47.9325
18,4,30,289.2325,296.0815,243.5025,346.90999999999997,366.83000000000004,374.85,311.8125,435.3125,43.9625,42.30777777777777,36.3,51.67625,39.26,38.029222222222224,30.56,47.8975
19,4,45,290.04125,297.07497222222224,244.825625,349.016875,366.71000000000004,376.10838888888884,312.69375,437.14875,44.004999999999995,42.06294444444445,35.824375,51.328125,39.2175,37.80894444444444,30.14375,47.615624999999994
20,5,0,293.095,298.0684444444444,246.22,350.225,370.725,377.3667777777778,313.9525,438.82,44.435,41.818111111111115,35.207499999999996,51.300000000000004,39.385,37.58866666666667,29.8225,47.3025
21,5,15,294.49625000000003,299.86530555555555,248.005,351.16125,372.84875,379.5960277777778,316.10687500000006,441.25687500000004,44.143750000000004,41.41511111111111,34.330625,51.183125000000004,39.48125,37.240249999999996,29.339375,47.015625
22,5,30,297.4625,301.6621666666667,250.13,352.6775,375.6325,381.8252777777778,318.77,444.015,43.067499999999995,41.01211111111111,33.41875,50.6775,39.5275,36.89183333333333,28.85125,46.54125
23,5,45,303.975,303.4590277777778,252.4575,356.18625,383.34875,384.05452777777776,322.21187499999996,446.986875,42.53375,40.60911111111111,32.488749999999996,50.36875,38.445,36.543416666666666,28.201874999999998,46.813125
24,6,0,306.585,305.2558888888889,253.09,358.37,384.59000000000003,386.2837777777778,323.0675,448.86,41.955,40.20611111111111,31.447499999999998,50.3925,38.120000000000005,36.195,27.3275,46.502500000000005
25,6,15,308.11125000000004,307.4555555555556,256.68625,358.10375,385.345,388.9798055555556,327.2475,448.47125,41.7325,39.75875,30.237499999999997,49.695625,37.870000000000005,35.830888888888886,26.693125,46.066874999999996
26,6,30,308.6425,309.6552222222222,260.09875,357.8375,387.7625,391.6758333333333,330.28,449.47375,41.765,39.31138888888889,29.5075,49.605000000000004,37.620000000000005,35.46677777777778,26.07375,45.70375000000001
27,6,45,309.55375000000004,311.85488888888887,263.73875,357.71875,391.085,394.3718611111111,335.1225,450.81937500000004,41.76875,38.86402777777778,29.009999999999998,49.10875,37.53,35.10266666666667,25.463749999999997,45.17125
28,7,0,312.975,314.05455555555557,267.88,358.455,394.7,397.0678888888889,338.985,452.165,41.43,38.416666666666664,28.2425,48.947500000000005,37.585,34.73855555555556,25.195,45.207499999999996
29,7,15,311.84875,315.2681666666667,269.50624999999997,360.07062499999995,394.11625,398.50802777777784,340.934375,454.041875,41.23125,38.22538888888889,28.114374999999995,48.413125,37.3625,34.59102777777778,24.63125,44.728125000000006
30,7,30,312.4925,316.4817777777778,270.3175,362.7987499999999,393.4325,399.9481666666667,341.73875,458.04,40.4125,38.034111111111116,27.80625,48.06625,37.352500000000006,34.4435,24.64125,44.21125
31,7,45,310.74749999999995,317.6953888888889,271.56,366.07062499999995,392.74875,401.3883055555556,342.98125,461.3425,40.4425,37.84283333333333,27.479375,48.225624999999994,36.8675,34.29597222222222,24.478749999999998,44.53375
32,8,0,311.65,318.909,272.1675,369.3425,392.47,402.8284444444444,344.1875,464.645,40.35,37.651555555555554,27.1525,47.875,36.655,34.14844444444444,24.175,44.135
33,8,15,305.95500000000004,315.10633333333334,267.1825,362.4925,388.70125,398.5215277777778,337.11062499999997,458.588125,40.915000000000006,38.37475,27.31,48.46375,37.42125,34.93527777777778,24.274375000000003,44.895
34,8,30,303.79999999999995,311.3036666666667,261.28999999999996,358.81125,386.1325,394.21461111111114,332.92875,454.03249999999997,40.980000000000004,39.097944444444444,27.555,49.555,38.0275,35.72211111111111,24.398750000000003,45.95125
35,8,45,297.605,307.501,253.67624999999998,359.803125,379.3175,389.9076944444444,324.17437499999994,455.35375,42.14125,39.82113888888889,27.535,50.611875,38.6175,36.508944444444445,24.63125,47.346875000000004
36,9,0,294.11,303.6983333333333,244.7475,362.02,373.36,385.60077777777775,315.84000000000003,456.645,42.695,40.544333333333334,27.545,51.225,39.61,37.29577777777778,24.6875,48.595
37,9,15,284.76875,293.09563888888886,239.28375,346.776875,362.685,373.38533333333334,309.471875,437.243125,44.70375,42.59630555555555,30.62125,53.230625,41.620000000000005,39.46077777777778,27.61875,49.973125
38,9,30,275.4275,282.49294444444445,231.43375,332.58875,351.9075,361.1698888888889,300.48625000000004,423.03999999999996,46.745,44.64827777777778,33.45125,55.175,44.0225,41.62577777777778,30.625,51.55
39,9,45,263.28125,271.89025000000004,223.388125,318.60375,339.61625000000004,348.95444444444445,290.44437500000004,407.66375,48.41875,46.70025,36.194375,56.713750000000005,45.7825,43.79077777777778,33.61125,53.244375000000005
