hour,minute,median,mean,percentile_25,percentile_75
0,0,11487.0,11422.032967032967,11188.5,11663.0
0,15,11353.0,11313.032967032967,11083.5,11567.5
0,30,11176.0,11169.131868131868,10924.0,11420.5
0,45,11035.0,11025.406593406593,10801.5,11274.0
1,0,10960.0,10930.846153846154,10686.0,11172.5
1,15,10881.0,10843.648351648351,10616.5,11085.0
1,30,10770.0,10748.065934065935,10510.0,10970.5
1,45,10722.0,10675.076923076924,10428.0,10899.0
2,0,10669.5,10630.391304347826,10389.75,10857.25
2,15,10616.0,10588.815217391304,10361.75,10800.25
2,30,10559.0,10538.467391304348,10312.0,10730.75
2,45,10528.5,10500.728260869566,10292.0,10701.5
3,0,10527.0,10506.131868131868,10276.5,10715.0
3,15,10495.0,10491.703296703297,10285.5,10710.5
3,30,10479.0,10468.263736263736,10251.5,10679.5
3,45,10452.0,10446.472527472528,10254.5,10646.0
4,0,10479.0,10475.23076923077,10269.0,10681.0
4,15,10492.0,10490.835164835165,10285.5,10709.5
4,30,10498.0,10507.736263736264,10313.5,10723.5
4,45,10538.0,10527.516483516483,10327.5,10768.0
5,0,10628.0,10617.10989010989,10416.5,10878.0
5,15,10726.0,10705.604395604396,10472.0,10982.5
5,30,10861.0,10821.032967032967,10527.0,11108.0
5,45,11025.0,10951.483516483517,10598.0,11238.5
6,0,11313.0,11214.626373626374,10786.0,11577.0
6,15,11606.0,11456.57142857143,10970.0,11948.0
6,30,11926.0,11713.10989010989,11132.0,12288.5
6,45,12196.0,11976.175824175823,11263.0,12545.5
7,0,12651.0,12353.197802197803,11468.5,13040.0
7,15,13060.0,12679.956043956045,11662.0,13527.5
7,30,13414.0,12969.065934065935,11831.5,13922.5
7,45,13603.0,13183.923076923076,12011.5,14195.5
8,0,13714.0,13351.582417582418,12209.0,14407.5
8,15,13843.0,13444.791208791208,12430.5,14510.0
8,30,13911.0,13530.021978021978,12616.5,14602.5
8,45,13957.0,13581.582417582418,12646.5,14705.0
9,0,13943.0,13562.604395604396,12558.0,14724.0
9,15,13849.0,13496.54945054945,12396.5,14767.5
9,30,13728.0,13388.76923076923,12356.0,14632.5
9,45,13628.0,13297.846153846154,12276.5,14489.0
10,0,13447.0,13178.57142857143,12058.5,14330.0
10,15,13232.0,13039.175824175823,11889.0,14148.5
10,30,12988.0,12922.12087912088,11743.0,13966.0
10,45,12894.0,12809.78021978022,11579.5,13846.5
11,0,12753.0,12701.329670329671,11399.0,13720.0
11,15,12664.0,12588.758241758242,11224.0,13728.5
11,30,12503.0,12493.87912087912,11094.0,13681.0
11,45,12503.0,12442.472527472528,11119.0,13735.5
12,0,12450.0,12381.197802197803,11079.5,13745.5
12,15,12349.0,12297.703296703297,10982.0,13614.5
12,30,12229.0,12216.472527472528,10939.0,13526.0
12,45,12203.0,12186.098901098901,10859.0,13556.5
13,0,12396.0,12215.593406593407,10871.0,13633.5
13,15,12526.0,12243.934065934065,10884.0,13657.5
13,30,12506.0,12245.76923076923,10880.0,13730.5
13,45,12600.0,12258.89010989011,10838.0,13726.5
14,0,12496.0,12271.329670329671,10875.5,13753.5
14,15,12519.0,12314.76923076923,10931.0,13794.5
14,30,12541.0,12356.978021978022,10959.0,13823.0
14,45,12574.0,12420.648351648351,11000.5,13913.0
15,0,12558.0,12470.802197802197,11153.0,13906.0
15,15,12651.0,12577.626373626374,11259.5,13912.5
15,30,12750.0,12701.373626373626,11434.5,14043.5
15,45,12924.0,12826.934065934065,11582.0,14161.0
16,0,13011.0,12925.384615384615,11721.5,14194.0
16,15,13198.0,13084.164835164835,11793.0,14275.5
16,30,13412.0,13287.813186813188,12038.5,14470.0
16,45,13648.0,13586.0,12310.5,14727.0
17,0,13837.0,13807.043956043955,12546.0,14867.5
17,15,14137.0,14111.692307692309,12879.0,15050.5
17,30,14406.0,14314.065934065935,13091.0,15176.0
17,45,14481.0,14438.57142857143,13317.5,15207.0
18,0,14408.0,14346.131868131868,13320.5,15077.0
18,15,14286.0,14291.703296703297,13386.5,14998.5
18,30,14217.0,14289.637362637362,13507.0,15108.0
18,45,14307.0,14326.87912087912,13636.5,15157.0
19,0,14261.0,14306.868131868132,13694.5,15078.5
19,15,14339.0,14284.373626373626,13657.0,14942.5
19,30,14436.0,14244.45054945055,13554.0,14860.5
19,45,14386.0,14230.824175824177,13517.0,14799.0
20,0,14292.0,14109.637362637362,13418.0,14590.0
20,15,14217.0,13995.703296703297,13350.5,14430.5
20,30,14086.0,13846.824175824177,13179.0,14278.5
20,45,13945.0,13686.57142857143,12995.5,14125.0
21,0,13711.0,13486.406593406593,12859.5,13904.5
21,15,13543.0,13329.54945054945,12736.0,13704.5
21,30,13319.0,13138.10989010989,12564.0,13509.5
21,45,13123.0,12962.670329670329,12427.0,13321.5
22,0,12866.0,12749.615384615385,12292.5,13087.0
22,15,12703.0,12589.87912087912,12150.0,12909.5
22,30,12489.0,12390.197802197803,11996.5,12712.5
22,45,12290.0,12200.285714285714,11840.5,12521.5
23,0,12177.0,12074.12087912088,11730.0,12396.5
23,15,12017.0,11912.021978021978,11592.5,12207.5
23,30,11823.0,11724.57142857143,11381.0,12003.5
23,45,11613.0,11540.835164835165,11235.0,11826.5
