hour,minute,median,mean,percentile_25,percentile_75
0,0,0.0,0.0,0.0,0.0
0,15,0.0,0.0,0.0,0.0
0,30,0.0,0.0,0.0,0.0
0,45,0.0,0.0,0.0,0.0
1,0,0.0,0.0,0.0,0.0
1,15,0.0,0.0,0.0,0.0
1,30,0.0,0.0,0.0,0.0
1,45,0.0,0.0,0.0,0.0
2,0,0.0,0.0,0.0,0.0
2,15,0.0,0.0,0.0,0.0
2,30,0.0,0.0,0.0,0.0
2,45,0.0,0.0,0.0,0.0
3,0,0.0,0.0,0.0,0.0
3,15,0.0,0.0,0.0,0.0
3,30,0.0,0.0,0.0,0.0
3,45,0.0,0.0,0.0,0.0
4,0,0.0,0.0,0.0,0.0
4,15,0.0,0.0,0.0,0.0
4,30,0.0,0.0,0.0,0.0
4,45,0.0,0.0,0.0,0.0
5,0,0.0,0.0,0.0,0.0
5,15,0.0,6.604395604395604,0.0,3.5
5,30,0.0,13.351648351648352,0.0,6.5
5,45,0.0,20.24175824175824,0.0,13.5
6,0,0.0,27.0,0.0,15.0
6,15,45.0,121.91208791208791,0.0,189.0
6,30,87.0,216.98901098901098,0.0,337.0
6,45,131.0,311.9010989010989,0.0,500.0
7,0,174.0,406.94505494505495,0.0,661.5
7,15,358.0,589.6373626373627,89.5,965.0
7,30,608.0,772.8351648351648,170.5,1213.5
7,45,731.0,955.7362637362637,241.5,1507.5
8,0,830.0,1138.6703296703297,322.0,1771.5
8,15,1012.0,1308.967032967033,409.5,1975.5
8,30,1177.0,1478.8131868131868,493.5,2171.5
8,45,1492.0,1649.10989010989,636.5,2367.0
9,0,1587.0,1819.1648351648353,709.5,2578.5
9,15,1699.0,1936.3846153846155,842.5,2792.5
9,30,1815.0,2053.7252747252746,977.5,2939.0
9,45,1879.0,2171.0,1046.0,3140.0
10,0,2009.0,2288.3626373626375,1150.5,3298.0
10,15,2133.0,2357.5054945054944,1249.5,3423.5
10,30,2284.0,2426.967032967033,1322.5,3519.5
10,45,2318.0,2496.2417582417584,1364.0,3615.0
11,0,2287.0,2565.5274725274726,1443.5,3766.0
11,15,2295.0,2569.1428571428573,1402.0,3810.0
11,30,2197.0,2572.967032967033,1396.0,3830.5
11,45,2282.0,2576.6373626373625,1402.0,3809.5
12,0,2369.0,2580.5824175824177,1340.5,3843.5
12,15,2246.0,2521.714285714286,1284.0,3772.0
12,30,2173.0,2462.934065934066,1253.5,3647.5
12,45,2193.0,2403.978021978022,1164.0,3545.0
13,0,1992.0,2345.4945054945056,1110.0,3472.0
13,15,1905.0,2241.879120879121,1069.5,3337.5
13,30,1838.0,2138.835164835165,962.5,3227.0
13,45,1751.0,2035.1538461538462,876.0,3066.5
14,0,1651.0,1932.065934065934,812.5,2889.0
14,15,1497.0,1788.8241758241759,736.5,2739.0
14,30,1331.0,1645.4945054945056,651.0,2599.5
14,45,1132.0,1502.142857142857,538.0,2422.5
15,0,920.0,1358.8461538461538,430.0,2207.0
15,15,813.0,1203.10989010989,363.0,2037.0
15,30,702.0,1047.4725274725274,280.0,1744.0
15,45,571.0,891.5274725274726,189.5,1476.5
16,0,463.0,735.8461538461538,123.0,1256.5
16,15,376.0,615.9230769230769,92.0,1074.5
16,30,259.0,496.0879120879121,62.0,858.5
16,45,142.0,376.2307692307692,31.0,635.0
17,0,26.0,256.5934065934066,0.0,400.0
17,15,19.0,202.32967032967034,0.0,309.0
17,30,13.0,148.12087912087912,0.0,209.5
17,45,7.0,93.84615384615384,0.0,109.0
18,0,0.0,39.857142857142854,0.0,9.5
18,15,0.0,30.01098901098901,0.0,7.0
18,30,0.0,19.89010989010989,0.0,4.0
18,45,0.0,9.934065934065934,0.0,2.0
19,0,0.0,0.04395604395604396,0.0,0.0
19,15,0.0,0.03296703296703297,0.0,0.0
19,30,0.0,0.01098901098901099,0.0,0.0
19,45,0.0,0.0,0.0,0.0
20,0,0.0,0.0,0.0,0.0
20,15,0.0,0.0,0.0,0.0
20,30,0.0,0.0,0.0,0.0
20,45,0.0,0.0,0.0,0.0
21,0,0.0,0.0,0.0,0.0
21,15,0.0,0.0,0.0,0.0
21,30,0.0,0.0,0.0,0.0
21,45,0.0,0.0,0.0,0.0
22,0,0.0,0.0,0.0,0.0
22,15,0.0,0.0,0.0,0.0
22,30,0.0,0.0,0.0,0.0
22,45,0.0,0.0,0.0,0.0
23,0,0.0,0.0,0.0,0.0
23,15,0.0,0.0,0.0,0.0
23,30,0.0,0.0,0.0,0.0
23,45,0.0,0.0,0.0,0.0
