hour,minute,median,mean,percentile_25,percentile_75
0,0,11112.0,11074.032608695652,10729.25,11339.5
0,15,10943.0,10927.565217391304,10643.25,11203.5
0,30,10774.0,10785.880434782608,10505.25,11031.0
0,45,10653.5,10651.902173913044,10351.75,10906.0
1,0,10550.0,10548.434782608696,10243.5,10796.25
1,15,10474.0,10459.08695652174,10141.25,10688.75
1,30,10369.0,10368.315217391304,10064.5,10592.5
1,45,10305.5,10300.54347826087,10037.0,10521.25
2,0,10262.0,10281.637362637362,9985.5,10545.5
2,15,10233.0,10249.560439560439,9941.0,10533.5
2,30,10189.0,10209.351648351649,9888.0,10507.0
2,45,10154.0,10181.626373626374,9857.5,10500.5
3,0,10146.0,10184.967391304348,9864.75,10464.5
3,15,10142.0,10177.33695652174,9842.75,10481.75
3,30,10122.0,10159.347826086956,9831.5,10439.0
3,45,10120.5,10148.815217391304,9804.25,10447.25
4,0,10154.5,10185.989130434782,9831.0,10500.25
4,15,10184.5,10206.445652173914,9830.25,10505.75
4,30,10190.5,10223.5,9842.0,10543.75
4,45,10230.0,10249.076086956522,9862.0,10587.75
5,0,10355.0,10347.282608695652,9920.0,10697.0
5,15,10463.0,10423.130434782608,9959.0,10788.75
5,30,10544.5,10507.728260869566,9985.0,10949.75
5,45,10670.5,10623.858695652174,10074.5,11168.25
6,0,10986.5,10891.695652173914,10251.25,11583.5
6,15,11152.5,11088.369565217392,10392.75,11830.0
6,30,11345.0,11253.478260869566,10503.0,12083.5
6,45,11515.0,11421.184782608696,10532.0,12344.5
7,0,11842.0,11694.782608695652,10677.0,12747.25
7,15,12024.5,11890.141304347826,10774.5,12981.75
7,30,12155.0,12057.869565217392,10862.75,13227.25
7,45,12347.5,12193.554347826086,10963.0,13355.25
8,0,12499.0,12288.119565217392,11108.75,13442.25
8,15,12521.0,12331.054347826086,11165.75,13443.75
8,30,12498.5,12358.217391304348,11232.75,13475.75
8,45,12516.0,12364.989130434782,11255.5,13520.5
9,0,12396.5,12294.510869565218,11208.25,13384.25
9,15,12284.5,12223.934782608696,11248.0,13303.0
9,30,12054.0,12121.076086956522,11185.5,13217.25
9,45,11933.0,12041.478260869566,11131.5,13099.75
10,0,11775.0,11909.739130434782,11007.75,12896.75
10,15,11578.5,11785.260869565218,10846.0,12857.0
10,30,11449.0,11669.945652173914,10656.0,12836.75
10,45,11316.0,11560.760869565218,10575.25,12795.5
11,0,11137.5,11455.358695652174,10374.0,12649.75
11,15,11122.5,11364.04347826087,10254.5,12568.25
11,30,11091.0,11296.880434782608,10180.0,12470.0
11,45,11101.0,11273.41304347826,10148.25,12475.25
12,0,11110.0,11230.25,10076.25,12480.75
12,15,11060.5,11136.902173913044,9941.0,12362.5
12,30,10976.5,11024.70652173913,9805.5,12211.75
12,45,10898.0,10957.282608695652,9728.75,12092.5
13,0,10929.0,10929.282608695652,9708.25,12059.0
13,15,10989.0,10907.184782608696,9658.0,12021.75
13,30,11017.0,10876.380434782608,9623.75,11981.5
13,45,11013.0,10849.16304347826,9609.75,12006.5
14,0,10968.5,10830.097826086956,9602.0,11982.0
14,15,10921.5,10839.184782608696,9607.75,12061.5
14,30,10926.0,10831.228260869566,9595.75,12032.75
14,45,10938.0,10856.597826086956,9659.0,12060.5
15,0,10944.5,10871.423913043478,9622.25,12040.5
15,15,11020.5,10911.532608695652,9609.25,12015.75
15,30,11085.0,10979.402173913044,9664.0,12046.0
15,45,11141.5,11053.902173913044,9766.5,12124.75
16,0,11140.5,11147.326086956522,9845.5,12262.0
16,15,11291.0,11273.032608695652,10016.25,12462.25
16,30,11443.5,11448.597826086956,10235.0,12649.25
16,45,11730.0,11720.032608695652,10514.75,12809.75
17,0,12043.0,12000.804347826086,10811.0,13015.25
17,15,12274.0,12325.358695652174,11129.5,13380.5
17,30,12429.0,12577.608695652174,11378.25,13695.75
17,45,12560.0,12772.847826086956,11617.0,13875.75
18,0,12548.5,12748.130434782608,11681.0,13827.75
18,15,12562.0,12774.66304347826,11744.25,13866.0
18,30,12607.5,12833.83695652174,11828.0,13910.0
18,45,12742.5,12951.0,11907.75,14020.5
19,0,12819.5,13004.510869565218,12025.75,14022.75
19,15,12899.0,13048.923913043478,12139.25,13958.75
19,30,12993.5,13073.184782608696,12170.0,13854.75
19,45,13104.0,13138.369565217392,12254.75,13809.5
20,0,13028.0,13079.532608695652,12289.5,13632.5
20,15,13068.0,13065.467391304348,12354.25,13584.25
20,30,13036.5,13028.25,12424.75,13578.0
20,45,12971.5,12978.978260869566,12494.75,13566.5
21,0,12922.5,12892.5,12471.5,13397.0
21,15,12910.5,12830.967391304348,12384.0,13294.0
21,30,12774.0,12711.41304347826,12265.75,13177.5
21,45,12666.5,12607.369565217392,12152.25,13012.0
22,0,12535.5,12443.20652173913,12063.5,12774.5
22,15,12395.0,12302.20652173913,11921.0,12634.75
22,30,12190.0,12109.33695652174,11737.25,12445.75
22,45,11986.5,11922.66304347826,11532.0,12259.0
23,0,11844.0,11779.25,11348.5,12108.5
23,15,11683.5,11609.641304347826,11189.0,11908.25
23,30,11495.5,11421.880434782608,11014.25,11701.25
23,45,11305.0,11236.739130434782,10846.25,11520.75
