hour,minute,median,mean,percentile_25,percentile_75
0,0,0.0,0.0,0.0,0.0
0,15,0.0,0.0,0.0,0.0
0,30,0.0,0.0,0.0,0.0
0,45,0.0,0.0,0.0,0.0
1,0,0.0,0.0,0.0,0.0
1,15,0.0,0.0,0.0,0.0
1,30,0.0,0.0,0.0,0.0
1,45,0.0,0.0,0.0,0.0
2,0,0.0,0.0,0.0,0.0
2,15,0.0,0.0,0.0,0.0
2,30,0.0,0.0,0.0,0.0
2,45,0.0,0.0,0.0,0.0
3,0,0.0,0.0,0.0,0.0
3,15,0.0,0.17391304347826086,0.0,0.0
3,30,0.0,0.7391304347826086,0.0,0.0
3,45,0.0,1.391304347826087,0.0,0.0
4,0,0.0,1.9565217391304348,0.0,0.0
4,15,0.0,19.304347826086957,0.0,35.25
4,30,2.5,36.67391304347826,0.0,62.0
4,45,5.0,54.06521739130435,0.0,88.5
5,0,6.5,71.59782608695652,0.0,115.25
5,15,95.5,131.1086956521739,6.75,214.5
5,30,159.5,191.1304347826087,13.5,317.25
5,45,201.5,250.81521739130434,20.0,414.0
6,0,242.5,310.7173913043478,28.75,535.5
6,15,407.5,451.6195652173913,127.25,770.5
6,30,560.0,592.8913043478261,226.25,978.5
6,45,690.0,733.6304347826087,302.25,1168.75
7,0,813.0,874.75,349.25,1355.75
7,15,952.5,1059.5652173913043,474.0,1676.0
7,30,1108.0,1244.5869565217392,565.75,1935.25
7,45,1332.0,1429.5108695652175,740.75,2136.75
8,0,1481.0,1614.3804347826087,873.0,2389.25
8,15,1612.0,1783.6195652173913,999.75,2611.5
8,30,1767.0,1952.7173913043478,1112.75,2856.5
8,45,1966.0,2121.8152173913045,1246.75,3141.5
9,0,2104.0,2291.2391304347825,1320.75,3341.75
9,15,2256.5,2430.304347826087,1453.75,3484.5
9,30,2400.0,2569.391304347826,1575.5,3648.25
9,45,2543.5,2708.7391304347825,1717.25,3836.75
10,0,2686.5,2847.8260869565215,1845.5,4020.75
10,15,2833.0,2938.1739130434785,1904.0,4106.5
10,30,2985.5,3028.3152173913045,1962.0,4173.25
10,45,3100.0,3118.6739130434785,2018.75,4232.75
11,0,3211.5,3209.1521739130435,2053.25,4322.0
11,15,3282.5,3238.8478260869565,2050.75,4329.25
11,30,3304.0,3268.554347826087,2038.25,4361.25
11,45,3354.5,3298.4565217391305,2033.5,4391.0
12,0,3383.0,3328.2608695652175,2044.25,4464.0
12,15,3434.0,3298.358695652174,2028.25,4406.5
12,30,3430.0,3268.5434782608695,2069.0,4357.0
12,45,3350.0,3238.6304347826085,2126.75,4354.25
13,0,3271.0,3208.771739130435,2146.5,4307.25
13,15,3222.0,3130.3478260869565,2112.5,4168.5
13,30,3208.0,3052.2065217391305,2149.25,4018.25
13,45,3144.0,2973.978260869565,2137.75,3933.75
14,0,3006.0,2895.891304347826,2088.0,3891.75
14,15,2828.0,2767.8478260869565,1992.25,3700.0
14,30,2688.0,2639.8152173913045,1890.0,3504.5
14,45,2587.5,2511.9347826086955,1754.5,3321.75
15,0,2444.5,2384.032608695652,1612.0,3216.75
15,15,2273.5,2210.0760869565215,1491.5,2985.25
15,30,2069.0,2035.9565217391305,1398.25,2762.0
15,45,1931.5,1861.945652173913,1201.5,2586.5
16,0,1735.5,1687.7826086956522,1025.25,2361.0
16,15,1550.5,1500.1847826086957,899.5,2067.5
16,30,1341.5,1312.554347826087,764.5,1775.5
16,45,1118.5,1124.8695652173913,622.0,1564.5
17,0,929.0,937.0108695652174,442.75,1358.0
17,15,786.5,794.8586956521739,358.0,1142.5
17,30,641.0,653.0978260869565,315.75,931.75
17,45,473.5,510.94565217391306,230.75,754.5
18,0,312.0,368.79347826086956,124.0,571.25
18,15,238.5,297.3478260869565,92.5,471.75
18,30,185.5,225.81521739130434,62.25,353.75
18,45,115.5,153.97826086956522,30.25,234.25
19,0,32.0,82.3804347826087,0.0,127.5
19,15,24.5,62.891304347826086,0.0,95.75
19,30,16.5,43.41304347826087,0.0,65.75
19,45,7.0,23.91304347826087,0.0,34.5
20,0,0.0,4.543478260869565,0.0,0.0
20,15,0.0,3.402173913043478,0.0,0.0
20,30,0.0,2.130434782608696,0.0,0.0
20,45,0.0,0.8913043478260869,0.0,0.0
21,0,0.0,0.0,0.0,0.0
21,15,0.0,0.0,0.0,0.0
21,30,0.0,0.0,0.0,0.0
21,45,0.0,0.0,0.0,0.0
22,0,0.0,0.0,0.0,0.0
22,15,0.0,0.0,0.0,0.0
22,30,0.0,0.0,0.0,0.0
22,45,0.0,0.0,0.0,0.0
23,0,0.0,0.0,0.0,0.0
23,15,0.0,0.0,0.0,0.0
23,30,0.0,0.0,0.0,0.0
23,45,0.0,0.0,0.0,0.0
