hour,minute,median,mean,percentile_25,percentile_75
0,0,246.5,363.1521739130435,117.75,583.5
0,15,243.0,362.69565217391306,126.5,582.0
0,30,240.0,362.1847826086956,126.0,578.75
0,45,236.0,361.6195652173913,123.75,574.75
1,0,235.0,361.2391304347826,122.0,570.75
1,15,236.0,360.6304347826087,119.25,570.75
1,30,243.5,360.0978260869565,116.0,570.25
1,45,241.0,359.6195652173913,113.75,569.5
2,0,228.0,353.7802197802198,108.5,560.5
2,15,226.0,353.7032967032967,114.0,564.0
2,30,228.0,353.8241758241758,113.0,561.0
2,45,229.0,354.0769230769231,111.5,554.5
3,0,238.0,359.57608695652175,111.0,561.5
3,15,251.5,359.5869565217391,109.0,565.25
3,30,257.5,359.35869565217394,106.0,620.25
3,45,258.5,359.1195652173913,103.5,669.25
4,0,264.5,359.0,104.0,691.5
4,15,261.0,358.67391304347825,102.0,706.0
4,30,266.5,358.1847826086956,99.75,709.5
4,45,276.0,357.7826086956522,99.5,702.5
5,0,283.5,357.3478260869565,99.25,691.75
5,15,286.5,357.17391304347825,98.5,680.75
5,30,291.5,357.20652173913044,96.75,670.25
5,45,285.5,357.20652173913044,96.0,659.5
6,0,289.0,357.35869565217394,95.75,649.0
6,15,285.5,357.70652173913044,93.75,634.25
6,30,282.0,358.1521739130435,92.25,628.0
6,45,286.0,358.6304347826087,91.0,627.75
7,0,290.5,359.0869565217391,89.75,626.75
7,15,288.0,359.4673913043478,88.25,619.0
7,30,295.0,359.7282608695652,86.5,603.75
7,45,302.0,359.8695652173913,84.75,606.5
8,0,304.5,360.0652173913044,83.0,607.0
8,15,304.0,360.3369565217391,82.5,596.0
8,30,305.0,360.7173913043478,82.5,585.5
8,45,303.5,361.04347826086956,77.0,590.75
9,0,304.0,361.3804347826087,72.0,610.0
9,15,302.5,362.69565217391306,76.75,610.5
9,30,300.0,365.05434782608694,88.75,602.25
9,45,303.5,367.4130434782609,95.5,596.0
10,0,302.0,369.69565217391306,99.25,613.25
10,15,301.0,372.7826086956522,102.25,616.25
10,30,303.0,376.69565217391306,112.0,620.0
10,45,305.5,380.64130434782606,116.5,632.25
11,0,306.0,384.5652173913044,122.0,648.5
11,15,305.0,388.6521739130435,129.75,660.25
11,30,305.5,392.8152173913044,136.0,667.0
11,45,313.0,396.95652173913044,150.25,672.0
12,0,316.5,401.2282608695652,155.25,677.75
12,15,322.0,404.6195652173913,164.5,684.5
12,30,325.0,407.2608695652174,170.25,688.25
12,45,326.0,409.8695652173913,180.75,691.5
13,0,341.0,412.4782608695652,173.5,695.5
13,15,342.5,414.6847826086956,173.25,700.25
13,30,354.0,416.44565217391306,180.25,701.5
13,45,363.0,418.2608695652174,184.75,709.5
14,0,364.0,420.0,191.25,717.5
14,15,360.5,422.3152173913044,199.0,724.25
14,30,354.5,424.9891304347826,204.5,729.0
14,45,362.5,427.7282608695652,206.5,721.5
15,0,372.0,430.3152173913044,208.75,712.5
15,15,383.0,431.4021739130435,210.5,712.75
15,30,374.0,430.82608695652175,208.5,709.25
15,45,369.0,430.1304347826087,206.75,705.75
16,0,358.0,429.5,205.25,701.5
16,15,363.0,428.4347826086956,204.25,698.5
16,30,365.5,427.0652173913044,205.0,685.0
16,45,367.5,425.57608695652175,200.25,678.5
17,0,367.0,424.1195652173913,195.75,681.0
17,15,368.0,421.3695652173913,186.25,666.0
17,30,361.0,417.44565217391306,182.0,663.5
17,45,355.0,413.4130434782609,178.75,675.75
18,0,349.0,409.4891304347826,166.25,670.0
18,15,345.0,406.6304347826087,158.25,661.75
18,30,341.0,405.14130434782606,152.75,652.25
18,45,326.0,403.5108695652174,155.75,644.75
19,0,315.0,401.92391304347825,144.75,654.75
19,15,309.5,400.35869565217394,143.25,643.75
19,30,306.5,398.8152173913044,149.5,635.25
19,45,298.0,397.2717391304348,144.0,637.75
20,0,288.5,395.6847826086956,139.75,642.25
20,15,294.5,394.1521739130435,141.25,649.75
20,30,289.5,392.64130434782606,139.0,645.5
20,45,285.0,391.0978260869565,138.5,629.75
21,0,275.0,389.5978260869565,138.25,631.75
21,15,279.5,388.2173913043478,136.0,640.5
21,30,290.0,386.9021739130435,133.5,656.0
21,45,285.5,385.5978260869565,128.75,670.75
22,0,279.0,384.3478260869565,121.75,682.75
22,15,273.0,383.92391304347825,129.25,677.0
22,30,281.5,384.2717391304348,133.75,659.5
22,45,287.0,384.57608695652175,135.25,664.0
23,0,292.5,384.94565217391306,133.5,664.5
23,15,295.0,384.94565217391306,130.5,651.25
23,30,296.0,384.44565217391306,132.5,648.25
23,45,293.0,383.94565217391306,139.5,637.5
