hour,minute,median,mean,percentile_25,percentile_75
0,0,12491.5,12342.260869565218,11869.75,12836.75
0,15,12386.0,12245.097826086956,11801.75,12742.0
0,30,12273.0,12120.195652173914,11697.0,12608.0
0,45,12151.5,11975.902173913044,11549.5,12474.5
1,0,12018.5,11849.641304347826,11435.75,12346.5
1,15,11900.0,11749.271739130434,11340.0,12225.25
1,30,11830.0,11661.032608695652,11248.25,12135.75
1,45,11749.0,11575.391304347826,11173.25,12045.5
2,0,11699.5,11507.358695652174,11116.25,11976.75
2,15,11675.0,11463.076086956522,11087.5,11945.0
2,30,11613.5,11427.695652173914,11066.25,11907.5
2,45,11547.5,11374.923913043478,11024.0,11845.25
3,0,11513.5,11342.58695652174,10971.5,11812.25
3,15,11502.5,11317.239130434782,10984.25,11794.75
3,30,11473.0,11290.097826086956,10966.25,11743.5
3,45,11444.5,11264.021739130434,10949.5,11720.0
4,0,11440.0,11258.489130434782,10956.25,11700.75
4,15,11441.0,11256.891304347826,10968.0,11690.25
4,30,11454.0,11260.902173913044,10956.0,11697.75
4,45,11466.5,11262.391304347826,10964.0,11698.0
5,0,11479.0,11289.271739130434,10965.25,11698.25
5,15,11482.5,11312.119565217392,10932.5,11718.5
5,30,11488.0,11321.076086956522,10877.5,11695.5
5,45,11510.0,11349.369565217392,10875.5,11715.75
6,0,11576.0,11422.869565217392,10904.25,11825.5
6,15,11679.5,11506.554347826086,10959.0,11991.5
6,30,11766.0,11567.945652173914,10992.5,12123.0
6,45,11835.0,11609.20652173913,11039.5,12225.5
7,0,11939.5,11667.369565217392,11142.0,12370.25
7,15,12028.0,11725.119565217392,11152.75,12534.25
7,30,12129.0,11778.717391304348,11086.5,12658.75
7,45,12159.0,11796.45652173913,10993.5,12729.75
8,0,12104.0,11785.532608695652,10891.75,12763.25
8,15,12084.0,11743.097826086956,10812.0,12769.5
8,30,12037.5,11695.826086956522,10770.75,12741.5
8,45,11989.0,11643.010869565218,10702.25,12720.75
9,0,11867.0,11565.66304347826,10629.75,12641.75
9,15,11735.0,11441.652173913044,10510.75,12508.5
9,30,11576.0,11285.45652173913,10352.5,12387.75
9,45,11414.5,11143.119565217392,10273.0,12247.5
10,0,11239.5,11003.576086956522,10085.0,12102.5
10,15,11087.0,10851.33695652174,9941.5,11922.5
10,30,10957.5,10693.91304347826,9696.25,11710.75
10,45,10816.5,10557.989130434782,9519.0,11577.0
11,0,10676.0,10438.184782608696,9424.5,11460.0
11,15,10549.0,10315.326086956522,9255.75,11380.5
11,30,10461.0,10274.934782608696,9108.25,11276.5
11,45,10380.0,10148.29347826087,9020.25,11231.75
12,0,10374.5,10081.934782608696,8976.25,11189.0
12,15,10306.0,10015.423913043478,8910.5,11118.5
12,30,10188.5,9917.217391304348,8836.0,11015.0
12,45,10193.0,9837.08695652174,8672.25,10925.75
13,0,10156.0,9807.097826086956,8602.25,10949.75
13,15,10064.5,9786.04347826087,8632.25,10889.5
13,30,10076.0,9784.641304347826,8652.25,10928.75
13,45,10093.0,9765.717391304348,8672.0,10929.0
14,0,10083.5,9733.25,8651.25,10891.0
14,15,10030.5,9747.847826086956,8706.5,10865.75
14,30,9969.0,9757.184782608696,8697.5,10868.25
14,45,10065.5,9789.739130434782,8714.25,10858.75
15,0,10124.5,9830.0,8739.0,10904.25
15,15,10177.0,9873.402173913044,8831.25,10923.75
15,30,10300.0,9959.695652173914,8934.25,10956.5
15,45,10345.0,10058.95652173913,8979.5,11025.5
16,0,10424.0,10162.08695652174,9058.0,11078.25
16,15,10505.0,10284.70652173913,9283.5,11166.75
16,30,10620.0,10451.847826086956,9548.5,11300.25
16,45,10820.0,10653.358695652174,9775.0,11472.75
17,0,11128.5,10897.467391304348,10094.75,11722.75
17,15,11416.0,11170.108695652174,10416.25,11972.0
17,30,11638.0,11450.641304347826,10749.0,12208.0
17,45,11901.0,11681.021739130434,10987.0,12371.25
18,0,11936.0,11792.108695652174,11125.25,12440.0
18,15,11964.5,11843.434782608696,11213.25,12420.25
18,30,12006.0,11932.847826086956,11360.5,12523.75
18,45,12094.5,12063.597826086956,11482.5,12689.5
19,0,12210.5,12206.771739130434,11691.0,12849.0
19,15,12352.5,12357.358695652174,11929.0,13006.5
19,30,12511.5,12506.369565217392,12064.5,13126.5
19,45,12680.5,12652.815217391304,12220.0,13238.0
20,0,12820.5,12777.66304347826,12381.75,13342.0
20,15,12926.5,12890.260869565218,12464.0,13471.0
20,30,12987.5,12985.891304347826,12579.75,13548.75
20,45,13026.5,13052.347826086956,12643.0,13668.75
21,0,13089.0,13083.0,12687.5,13657.25
21,15,13135.0,13111.271739130434,12725.25,13660.75
21,30,13172.0,13130.83695652174,12715.5,13651.75
21,45,13211.5,13129.032608695652,12706.25,13539.25
22,0,13245.5,13132.891304347826,12617.5,13572.5
22,15,13212.0,13148.271739130434,12588.0,13637.0
22,30,13219.5,13101.326086956522,12463.75,13628.75
22,45,13083.5,12976.032608695652,12315.25,13507.5
23,0,12978.0,12876.41304347826,12217.5,13427.5
23,15,12904.5,12787.684782608696,12127.0,13342.75
23,30,12795.5,12649.119565217392,11993.5,13184.0
23,45,12663.5,12482.271739130434,11833.25,13011.0
