hour,minute,median,mean,percentile_25,percentile_75
0,0,392.0,561.3152173913044,164.25,839.25
0,15,389.0,560.7282608695652,165.5,837.5
0,30,386.0,557.5869565217391,162.0,836.5
0,45,389.0,554.6413043478261,160.75,828.25
1,0,397.5,551.6630434782609,164.0,831.75
1,15,400.0,550.0978260869565,159.25,827.0
1,30,396.5,550.4347826086956,158.25,821.75
1,45,395.0,550.9239130434783,152.5,810.75
2,0,393.5,551.2391304347826,150.5,801.0
2,15,410.5,551.0869565217391,145.0,787.25
2,30,430.5,550.4565217391304,146.75,791.75
2,45,442.0,549.9021739130435,144.5,799.75
3,0,445.5,549.1521739130435,144.25,806.25
3,15,438.0,547.7173913043479,142.5,816.0
3,30,424.5,545.4347826086956,146.0,797.0
3,45,424.5,543.4347826086956,149.75,767.5
4,0,425.0,541.2065217391304,145.75,753.5
4,15,402.5,537.1304347826087,137.5,745.5
4,30,371.0,530.7173913043479,130.0,734.75
4,45,347.5,524.5652173913044,128.25,721.25
5,0,331.5,518.5978260869565,129.25,708.0
5,15,322.5,509.7282608695652,122.75,689.25
5,30,299.5,498.45652173913044,118.0,672.75
5,45,274.5,487.1847826086956,113.25,649.25
6,0,265.0,475.7173913043478,110.25,621.0
6,15,262.0,472.5217391304348,112.75,614.25
6,30,258.5,477.7608695652174,109.5,625.5
6,45,265.5,482.8695652173913,108.0,638.5
7,0,262.5,487.8804347826087,110.75,658.25
7,15,262.0,494.0217391304348,114.5,674.25
7,30,272.0,500.5869565217391,118.75,673.75
7,45,282.0,507.0978260869565,124.0,680.75
8,0,290.0,513.75,126.75,690.25
8,15,301.5,520.0326086956521,125.5,690.75
8,30,303.0,525.9565217391304,126.5,682.5
8,45,301.0,531.6195652173913,126.75,700.0
9,0,309.5,537.5326086956521,126.75,714.0
9,15,312.5,542.6521739130435,128.25,725.0
9,30,316.5,546.7391304347826,130.5,749.75
9,45,329.5,550.9239130434783,131.25,792.5
10,0,346.5,555.0326086956521,135.5,801.25
10,15,347.0,558.8478260869565,137.5,760.5
10,30,345.5,562.7608695652174,139.0,765.25
10,45,350.5,566.7065217391304,140.5,778.5
11,0,357.5,570.3260869565217,143.25,788.75
11,15,370.5,575.054347826087,148.5,780.0
11,30,385.5,580.0,156.0,795.0
11,45,400.5,585.0760869565217,162.75,809.25
12,0,415.0,590.1739130434783,170.25,793.25
12,15,425.0,595.7826086956521,173.0,824.75
12,30,424.0,601.4673913043479,172.25,854.5
12,45,424.0,607.4347826086956,171.5,882.0
13,0,422.0,613.4891304347826,165.0,889.5
13,15,426.5,618.8695652173913,163.75,900.25
13,30,433.5,623.9347826086956,165.5,916.0
13,45,439.5,629.0869565217391,173.75,927.5
14,0,454.0,634.3695652173913,183.5,926.0
14,15,436.0,639.5326086956521,192.25,914.5
14,30,438.5,644.75,196.75,928.0
14,45,456.5,649.9239130434783,203.5,941.25
15,0,468.0,654.9565217391304,203.0,948.75
15,15,475.5,655.2934782608696,204.5,949.75
15,30,477.0,650.3478260869565,202.75,936.25
15,45,468.0,645.4782608695652,202.25,929.25
16,0,453.0,640.6413043478261,199.5,926.5
16,15,444.5,634.8369565217391,194.75,915.0
16,30,441.0,628.445652173913,191.75,909.75
16,45,439.0,621.6195652173913,179.75,900.75
17,0,434.5,614.75,170.75,910.0
17,15,429.0,607.4347826086956,166.25,925.75
17,30,409.5,599.2173913043479,144.25,893.0
17,45,398.0,590.9347826086956,150.0,838.25
18,0,390.5,582.5978260869565,147.25,842.5
18,15,382.0,575.4021739130435,137.5,823.5
18,30,374.5,568.8695652173913,128.0,835.0
18,45,386.0,562.4782608695652,140.75,857.0
19,0,380.0,556.1521739130435,138.75,867.5
19,15,378.5,553.1847826086956,134.75,851.75
19,30,389.5,553.4347826086956,162.5,804.5
19,45,386.0,553.6847826086956,174.25,797.75
20,0,401.0,553.9239130434783,178.75,790.0
20,15,394.5,555.6739130434783,178.0,789.5
20,30,388.0,559.2608695652174,177.75,779.5
20,45,393.5,562.6413043478261,179.0,775.5
21,0,395.0,566.2391304347826,176.25,797.0
21,15,394.0,568.3478260869565,175.5,829.75
21,30,390.5,569.445652173913,162.0,864.75
21,45,389.0,570.3913043478261,149.75,896.25
22,0,387.5,571.4130434782609,156.5,909.0
22,15,389.0,571.1304347826087,160.0,910.75
22,30,387.5,569.3260869565217,167.75,899.0
22,45,390.5,567.5760869565217,169.75,884.25
23,0,393.5,565.8369565217391,167.5,884.0
23,15,386.0,565.25,163.25,879.5
23,30,380.5,565.8152173913044,152.75,867.25
23,45,372.5,566.195652173913,143.75,867.5
