hour,minute,median,mean,percentile_25,percentile_75
0,0,11676.0,11654.288888888888,11384.0,11961.25
0,15,11565.0,11525.966666666667,11297.5,11835.75
0,30,11436.0,11390.277777777777,11178.25,11696.5
0,45,11323.0,11267.833333333334,11027.0,11581.75
1,0,11207.0,11175.244444444445,10940.5,11498.75
1,15,11088.0,11085.766666666666,10826.5,11413.5
1,30,11000.0,11000.122222222222,10751.5,11317.0
1,45,10927.0,10928.366666666667,10697.5,11240.0
2,0,10878.5,10885.833333333334,10649.25,11204.0
2,15,10833.5,10835.81111111111,10591.75,11128.25
2,30,10790.5,10789.722222222223,10542.5,11094.0
2,45,10774.0,10747.755555555555,10506.75,11051.0
3,0,10743.5,10747.055555555555,10505.25,11039.25
3,15,10699.0,10723.444444444445,10479.0,11008.5
3,30,10697.5,10702.111111111111,10438.75,10970.0
3,45,10664.0,10684.477777777778,10421.5,10942.5
4,0,10690.5,10704.777777777777,10459.25,10947.75
4,15,10685.0,10732.677777777777,10496.0,11008.5
4,30,10733.5,10765.577777777778,10505.5,11080.75
4,45,10763.5,10804.877777777778,10545.75,11145.25
5,0,10918.0,10913.877777777778,10606.75,11258.75
5,15,11006.0,11015.655555555555,10693.0,11378.25
5,30,11177.5,11144.611111111111,10779.0,11550.25
5,45,11371.5,11287.1,10953.0,11771.75
6,0,11726.0,11568.111111111111,11155.25,12086.5
6,15,12034.0,11816.344444444445,11291.75,12396.75
6,30,12355.0,12062.166666666666,11413.5,12737.25
6,45,12651.0,12326.611111111111,11556.25,13095.0
7,0,13180.0,12726.58888888889,11761.0,13639.0
7,15,13640.5,13076.122222222222,11935.75,14101.5
7,30,14046.0,13413.7,12117.0,14551.25
7,45,14284.0,13706.3,12361.25,14961.0
8,0,14543.5,13976.9,12559.0,15334.75
8,15,14719.5,14163.233333333334,12761.5,15567.0
8,30,14864.5,14303.866666666667,12902.25,15756.25
8,45,14985.0,14420.655555555555,13064.75,15865.0
9,0,15038.0,14496.277777777777,13131.0,15951.75
9,15,15100.0,14504.377777777778,13190.25,15890.5
9,30,14998.5,14455.344444444445,13272.0,15781.0
9,45,14787.5,14424.255555555555,13371.25,15737.0
10,0,14661.5,14340.155555555555,13376.75,15597.75
10,15,14558.5,14250.288888888888,13369.5,15530.0
10,30,14532.5,14165.4,13239.75,15458.5
10,45,14428.5,14088.522222222222,13147.25,15387.0
11,0,14414.5,14000.355555555556,13028.25,15276.5
11,15,14363.0,13918.455555555556,12945.75,15154.0
11,30,14289.5,13865.722222222223,12945.25,15145.5
11,45,14255.0,13854.144444444444,12987.25,15177.25
12,0,14256.0,13822.222222222223,12919.0,15161.25
12,15,14162.0,13763.455555555556,12905.0,15104.5
12,30,14078.5,13693.91111111111,12948.25,15018.75
12,45,14010.0,13664.788888888888,12967.25,14961.25
13,0,14065.5,13687.755555555555,12926.5,15014.25
13,15,14165.5,13706.344444444445,12894.0,15039.0
13,30,14158.5,13703.5,12886.0,15080.25
13,45,14203.0,13720.855555555556,12904.0,15054.5
14,0,14239.0,13747.711111111112,13013.75,15019.25
14,15,14295.5,13801.6,12950.75,15059.25
14,30,14326.5,13848.033333333333,12973.25,15068.75
14,45,14387.5,13928.511111111111,12998.0,15213.25
15,0,14386.5,13979.733333333334,13022.75,15224.0
15,15,14479.5,14081.933333333332,13109.5,15341.5
15,30,14588.0,14186.022222222222,13199.0,15419.5
15,45,14704.5,14303.522222222222,13304.0,15470.75
16,0,14740.5,14377.644444444444,13487.25,15572.0
16,15,14858.5,14531.066666666668,13612.75,15728.75
16,30,15068.5,14746.888888888889,13864.5,15917.5
16,45,15345.5,15061.233333333334,14191.75,16178.5
17,0,15520.0,15262.455555555556,14345.0,16355.25
17,15,15820.5,15537.744444444445,14658.25,16619.75
17,30,16018.0,15723.744444444445,14874.5,16713.25
17,45,16074.5,15799.977777777778,14976.75,16661.5
18,0,15945.0,15629.655555555555,14897.5,16394.0
18,15,15779.5,15474.68888888889,14748.25,16150.5
18,30,15637.5,15334.222222222223,14601.75,16000.5
18,45,15543.5,15221.211111111112,14445.0,15859.25
19,0,15385.0,15059.41111111111,14264.0,15698.5
19,15,15227.5,14905.533333333333,14169.0,15551.25
19,30,15082.5,14757.522222222222,14010.25,15412.0
19,45,14982.0,14660.555555555555,13952.25,15302.75
20,0,14753.5,14443.733333333334,13765.5,15027.25
20,15,14564.5,14265.777777777777,13611.5,14871.75
20,30,14367.5,14071.966666666667,13406.75,14675.0
20,45,14157.5,13883.966666666667,13243.5,14476.5
21,0,13930.0,13685.31111111111,13084.75,14227.5
21,15,13757.5,13541.1,12959.0,14068.25
21,30,13568.0,13361.733333333334,12825.75,13846.5
21,45,13368.0,13182.288888888888,12691.5,13634.5
22,0,13111.5,12973.833333333334,12535.0,13360.5
22,15,12943.5,12816.533333333333,12398.25,13191.75
22,30,12705.0,12626.68888888889,12238.25,12982.75
22,45,12514.0,12445.488888888889,12096.75,12809.25
23,0,12394.5,12308.58888888889,11952.5,12679.5
23,15,12214.0,12146.988888888889,11826.75,12508.25
23,30,12006.0,11955.755555555555,11681.5,12290.0
23,45,11808.0,11767.844444444445,11507.75,12104.5
