hour,minute,median,mean,percentile_25,percentile_75
0,0,11913.5,11887.533333333333,11693.75,12133.75
0,15,11817.0,11799.522222222222,11568.5,12078.5
0,30,11665.0,11683.81111111111,11444.25,12009.5
0,45,11533.0,11562.722222222223,11308.75,11905.75
1,0,11451.0,11471.277777777777,11217.0,11838.0
1,15,11351.0,11388.822222222223,11126.0,11774.75
1,30,11278.0,11302.31111111111,11029.25,11682.75
1,45,11204.5,11230.0,10970.75,11619.25
2,0,11137.5,11180.955555555556,10919.0,11571.25
2,15,11091.0,11132.3,10853.75,11508.5
2,30,11038.0,11087.733333333334,10788.75,11453.5
2,45,10996.0,11046.877777777778,10735.75,11401.75
3,0,10992.5,11037.41111111111,10752.5,11379.5
3,15,10974.0,11027.522222222222,10748.75,11349.5
3,30,10937.5,11006.255555555555,10703.25,11339.5
3,45,10907.0,10984.777777777777,10687.0,11330.0
4,0,10914.0,10998.366666666667,10692.25,11336.5
4,15,10956.0,11021.777777777777,10712.75,11378.5
4,30,11008.0,11054.766666666666,10734.25,11382.5
4,45,11060.0,11088.877777777778,10748.5,11405.25
5,0,11162.0,11172.58888888889,10859.75,11511.75
5,15,11281.0,11275.866666666667,10940.25,11600.0
5,30,11443.0,11406.922222222222,11045.75,11748.75
5,45,11625.0,11535.877777777778,11172.5,11917.0
6,0,11881.5,11761.7,11363.0,12257.75
6,15,12202.5,12008.144444444444,11496.5,12572.5
6,30,12473.5,12252.011111111111,11580.25,12902.25
6,45,12760.0,12497.788888888888,11771.0,13204.5
7,0,13117.5,12827.755555555555,12022.75,13689.5
7,15,13541.0,13173.466666666667,12208.5,14155.75
7,30,13920.0,13517.08888888889,12448.25,14610.0
7,45,14310.5,13824.7,12753.25,14987.5
8,0,14674.0,14093.333333333334,12914.0,15329.25
8,15,14878.5,14296.333333333334,13051.25,15491.75
8,30,15096.0,14457.288888888888,13244.75,15673.5
8,45,15262.0,14591.266666666666,13479.25,15810.25
9,0,15384.0,14686.977777777778,13643.0,15887.0
9,15,15349.5,14707.877777777778,13731.25,15883.75
9,30,15320.5,14646.7,13686.25,15779.25
9,45,15275.0,14637.222222222223,13855.5,15700.5
10,0,15190.0,14572.966666666667,13812.75,15624.75
10,15,15090.5,14482.144444444444,13706.5,15538.75
10,30,14960.5,14391.7,13520.5,15437.25
10,45,14831.5,14301.922222222222,13331.75,15319.25
11,0,14728.5,14214.31111111111,13197.5,15229.75
11,15,14603.5,14113.288888888888,13170.25,15096.25
11,30,14551.5,14025.7,13120.25,15003.0
11,45,14526.0,14003.111111111111,13202.25,14992.75
12,0,14525.0,13974.455555555556,13212.25,14950.75
12,15,14434.5,13911.933333333332,13098.25,14872.0
12,30,14351.5,13843.5,13003.5,14747.25
12,45,14289.0,13814.277777777777,13007.5,14699.75
13,0,14300.0,13824.677777777777,13080.25,14729.5
13,15,14385.0,13856.777777777777,13161.25,14759.25
13,30,14394.0,13873.844444444445,13200.75,14838.5
13,45,14405.0,13892.611111111111,13242.75,14890.0
14,0,14424.5,13923.822222222223,13284.0,14932.75
14,15,14474.5,13989.68888888889,13321.5,15017.0
14,30,14532.5,14060.8,13354.5,15096.75
14,45,14626.0,14144.444444444445,13421.5,15210.75
15,0,14721.5,14202.41111111111,13438.0,15298.5
15,15,14763.5,14305.855555555556,13471.75,15441.5
15,30,14887.5,14421.855555555556,13481.5,15574.5
15,45,15006.5,14531.733333333334,13586.5,15662.75
16,0,15078.0,14586.777777777777,13628.0,15705.75
16,15,15116.5,14678.866666666667,13714.25,15785.75
16,30,15271.0,14865.31111111111,13942.5,15911.75
16,45,15486.5,15121.622222222222,14244.5,16134.5
17,0,15607.5,15265.844444444445,14468.75,16270.75
17,15,15718.5,15417.222222222223,14683.25,16430.25
17,30,15909.5,15582.2,14828.5,16530.25
17,45,16006.5,15636.966666666667,14840.0,16620.25
18,0,15829.5,15485.277777777777,14766.25,16366.75
18,15,15636.0,15282.722222222223,14626.75,16103.75
18,30,15456.5,15104.533333333333,14454.25,15920.25
18,45,15294.0,14976.4,14307.25,15805.5
19,0,15143.0,14837.533333333333,14168.5,15611.0
19,15,15008.0,14694.266666666666,14017.75,15440.0
19,30,14875.5,14559.6,13899.5,15291.5
19,45,14752.0,14454.477777777778,13806.25,15172.75
20,0,14592.5,14297.788888888888,13692.75,14996.75
20,15,14412.5,14140.733333333334,13534.25,14803.0
20,30,14244.0,13967.344444444445,13379.25,14611.25
20,45,14062.5,13788.2,13226.0,14430.0
21,0,13860.0,13629.744444444445,13144.25,14249.75
21,15,13721.5,13522.533333333333,13048.0,14067.5
21,30,13560.0,13377.68888888889,12904.75,13880.0
21,45,13370.5,13212.388888888889,12756.75,13690.75
22,0,13214.5,13040.433333333332,12652.75,13432.5
22,15,13067.5,12906.933333333332,12554.5,13287.75
22,30,12876.0,12746.933333333332,12402.5,13129.25
22,45,12678.0,12572.844444444445,12230.25,12914.75
23,0,12537.5,12458.81111111111,12134.5,12808.25
23,15,12425.5,12343.433333333332,12038.5,12673.25
23,30,12235.0,12173.477777777778,11890.25,12479.25
23,45,12024.0,11991.355555555556,11726.5,12245.25
