hour,minute,median,mean,percentile_25,percentile_75
0,0,0.0,0.0,0.0,0.0
0,15,0.0,0.0,0.0,0.0
0,30,0.0,0.0,0.0,0.0
0,45,0.0,0.0,0.0,0.0
1,0,0.0,0.0,0.0,0.0
1,15,0.0,0.0,0.0,0.0
1,30,0.0,0.0,0.0,0.0
1,45,0.0,0.0,0.0,0.0
2,0,0.0,0.0,0.0,0.0
2,15,0.0,0.0,0.0,0.0
2,30,0.0,0.0,0.0,0.0
2,45,0.0,0.0,0.0,0.0
3,0,0.0,0.0,0.0,0.0
3,15,0.0,0.0,0.0,0.0
3,30,0.0,0.0,0.0,0.0
3,45,0.0,0.0,0.0,0.0
4,0,0.0,0.0,0.0,0.0
4,15,0.0,0.0,0.0,0.0
4,30,0.0,0.0,0.0,0.0
4,45,0.0,0.0,0.0,0.0
5,0,0.0,0.0,0.0,0.0
5,15,0.0,0.0,0.0,0.0
5,30,0.0,0.0,0.0,0.0
5,45,0.0,0.0,0.0,0.0
6,0,0.0,0.0,0.0,0.0
6,15,0.0,0.0,0.0,0.0
6,30,0.0,0.0,0.0,0.0
6,45,0.0,0.0,0.0,0.0
7,0,0.0,0.0,0.0,0.0
7,15,0.0,0.8888888888888888,0.0,0.0
7,30,0.0,1.8888888888888888,0.0,0.0
7,45,0.0,2.8444444444444446,0.0,0.0
8,0,0.0,3.7555555555555555,0.0,0.0
8,15,0.5,41.477777777777774,0.0,18.25
8,30,4.0,79.77777777777777,0.0,39.75
8,45,6.5,118.28888888888889,2.0,59.75
9,0,8.5,156.46666666666667,3.0,77.0
9,15,107.0,288.3666666666667,62.25,289.5
9,30,204.0,419.43333333333334,112.25,547.25
9,45,297.0,550.7222222222222,163.5,714.5
10,0,387.0,681.5777777777778,216.0,841.5
10,15,533.5,822.0666666666667,293.0,955.75
10,30,651.0,962.3444444444444,361.25,1193.0
10,45,759.0,1102.6222222222223,419.75,1457.25
11,0,894.0,1243.1888888888889,486.0,1712.75
11,15,959.5,1314.888888888889,508.5,1802.0
11,30,1029.5,1386.6222222222223,512.0,1888.5
11,45,1100.5,1458.3555555555556,541.0,1976.0
12,0,1164.0,1529.8777777777777,575.5,2063.0
12,15,1198.0,1561.3333333333333,589.5,2095.0
12,30,1230.5,1592.8,603.25,2137.0
12,45,1259.5,1624.2,623.0,2188.0
13,0,1288.0,1655.5777777777778,641.25,2238.0
13,15,1238.0,1638.2777777777778,671.0,2208.75
13,30,1335.5,1620.7777777777778,682.75,2206.0
13,45,1334.5,1603.2,662.75,2157.25
14,0,1364.0,1585.7888888888888,569.0,2219.0
14,15,1317.0,1529.5111111111112,545.0,2130.25
14,30,1270.5,1473.5111111111112,520.75,2060.0
14,45,1220.0,1417.4666666666667,503.25,1992.5
15,0,1166.0,1360.9,480.25,1916.5
15,15,1025.5,1271.5777777777778,433.0,1774.0
15,30,913.0,1182.3111111111111,373.0,1616.25
15,45,802.0,1092.9777777777779,329.75,1457.5
16,0,727.5,1003.5666666666667,250.5,1298.75
16,15,654.5,860.5111111111111,197.5,1053.0
16,30,497.0,717.6444444444444,163.5,758.75
16,45,309.0,574.5555555555555,92.75,564.75
17,0,100.5,431.35555555555555,23.75,417.5
17,15,76.0,342.1666666666667,16.5,322.0
17,30,50.0,252.94444444444446,11.5,226.25
17,45,27.0,163.53333333333333,5.0,129.25
18,0,0.0,74.46666666666667,0.0,27.75
18,15,0.0,55.98888888888889,0.0,20.0
18,30,0.0,37.4,0.0,13.25
18,45,0.0,18.8,0.0,5.75
19,0,0.0,0.3111111111111111,0.0,0.0
19,15,0.0,0.23333333333333334,0.0,0.0
19,30,0.0,0.1111111111111111,0.0,0.0
19,45,0.0,0.05555555555555555,0.0,0.0
20,0,0.0,0.0,0.0,0.0
20,15,0.0,0.0,0.0,0.0
20,30,0.0,0.0,0.0,0.0
20,45,0.0,0.0,0.0,0.0
21,0,0.0,0.0,0.0,0.0
21,15,0.0,0.0,0.0,0.0
21,30,0.0,0.0,0.0,0.0
21,45,0.0,0.0,0.0,0.0
22,0,0.0,0.0,0.0,0.0
22,15,0.0,0.0,0.0,0.0
22,30,0.0,0.0,0.0,0.0
22,45,0.0,0.0,0.0,0.0
23,0,0.0,0.0,0.0,0.0
23,15,0.0,0.0,0.0,0.0
23,30,0.0,0.0,0.0,0.0
23,45,0.0,0.0,0.0,0.0
