,hour,minute,Carbon Intensity gCO₂eq/kWh (direct) median,Carbon Intensity gCO₂eq/kWh (direct) mean,Carbon Intensity gCO₂eq/kWh (direct) percentile_25,Carbon Intensity gCO₂eq/kWh (direct) percentile_75,Carbon Intensity gCO₂eq/kWh (LCA) median,Carbon Intensity gCO₂eq/kWh (LCA) mean,Carbon Intensity gCO₂eq/kWh (LCA) percentile_25,Carbon Intensity gCO₂eq/kWh (LCA) percentile_75,Low Carbon Percentage median,Low Carbon Percentage mean,Low Carbon Percentage percentile_25,Low Carbon Percentage percentile_75,Renewable Percentage median,Renewable Percentage mean,Renewable Percentage percentile_25,Renewable Percentage percentile_75
0,0,0,350.595,345.3629347826087,321.89,380.77750000000003,441.725,435.495652173913,405.315,479.88,32.129999999999995,32.82630434782609,25.965,38.9025,25.9,26.657608695652176,20.29,30.77
1,0,15,347.265,343.05399456521735,319.30562499999996,379.21500000000003,437.705,432.7340217391304,402.481875,477.453125,32.6725,33.25777173913043,26.310625,39.143125000000005,26.06375,26.736141304347825,20.269375000000004,31.23875
2,0,30,343.935,340.74505434782606,316.44500000000005,376.525,432.975,429.9723913043478,399.64875,473.08625,33.54,33.68923913043478,26.917499999999997,39.518750000000004,26.1875,26.814673913043475,20.34375,31.51875
3,0,45,340.37749999999994,338.4361141304348,312.18625,373.09625,428.96375,427.2107608695652,397.178125,469.73625000000004,34.067499999999995,34.12070652173913,27.763125000000002,39.95375,26.31625,26.89320652173913,20.5225,31.825625000000002
4,1,0,337.515,336.12717391304346,309.9225,370.9475,426.845,424.4491304347826,392.6325,468.35,34.114999999999995,34.55217391304348,28.225,40.605,26.28,26.971739130434784,20.7875,31.955000000000002
5,1,15,336.30625,334.8153804347826,306.9475,369.503125,424.31375,422.9635597826087,389.48375,466.429375,34.215,34.72366847826087,28.419375000000002,40.696875000000006,26.08,26.838641304347828,20.703125,31.9375
6,1,30,334.1475,333.50358695652176,303.18875,368.73749999999995,423.385,421.47798913043476,385.365,464.87,34.510000000000005,34.89516304347826,28.582500000000003,40.405,25.814999999999998,26.705543478260868,20.482499999999998,31.552500000000002
7,1,45,333.19500000000005,332.1917934782609,300.38187500000004,366.68,421.66499999999996,419.99241847826084,383.265625,462.05500000000006,34.792500000000004,35.06665760869566,28.785000000000004,40.303125,25.5775,26.57244565217391,20.320625,31.431874999999998
8,2,0,331.52,330.88,300.5125,364.3725,419.115,418.5068478260869,382.345,460.48,35.065,35.23815217391304,29.119999999999997,40.705,25.21,26.43934782608696,20.2925,31.314999999999998
9,2,15,331.89625,330.3306793478261,300.49187499999994,363.708125,419.30999999999995,417.8414130434782,383.04499999999996,459.36125,35.2125,35.34524456521739,29.021250000000002,40.8725,25.07625,26.407608695652176,20.39875,31.27375
10,2,30,332.9325,329.78135869565216,301.7925,362.91874999999993,419.735,417.1759782608696,384.8875,457.6725,35.3775,35.45233695652174,28.879999999999995,41.177499999999995,25.0325,26.37586956521739,20.575,31.57
11,2,45,333.11125000000004,329.23203804347827,301.710625,361.424375,419.7925,416.5105434782609,381.23375,456.305625,35.36,35.55942934782609,28.969375,40.999375,25.11375,26.344130434782606,20.56375,31.675624999999997
12,3,0,332.635,328.6827173913044,300.01250000000005,362.53499999999997,419.57,415.8451086956522,379.07000000000005,456.7975,35.405,35.66652173913044,28.805,40.695,25.02,26.312391304347823,20.5075,31.7275
13,3,15,333.01625,328.75823369565217,300.285625,361.11,420.28499999999997,415.95983695652177,379.545625,454.32125,35.44125,35.62146739130435,28.911250000000003,41.03625,24.87125,26.21578804347826,20.503125,31.485
14,3,30,333.3975,328.83374999999995,301.84875,359.74625,421.825,416.0745652173913,382.32125,454.60375000000005,35.4775,35.57641304347826,29.11,41.28375,24.7425,26.1191847826087,20.47,31.57375
15,3,45,332.5325,328.90926630434785,302.860625,359.32937499999997,420.39875,416.1892934782609,384.55500000000006,454.2625,35.5575,35.53135869565217,29.11,41.36625,24.6,26.02258152173913,20.34625,31.615625
16,4,0,333.11,328.98478260869564,303.5675,358.925,421.975,416.30402173913046,385.3725,454.6925,35.44,35.486304347826085,28.9175,41.75,24.145,25.925978260869567,20.200000000000003,31.385
17,4,15,336.4075,329.91763586956523,305.20875,359.64625,425.71624999999995,417.4470652173913,384.99749999999995,455.39875,34.989999999999995,35.267690217391305,28.724375000000002,41.53,24.04875,25.832608695652173,20.04625,31.12125
18,4,30,339.1575,330.85048913043477,305.4475,361.01625,430.0675,418.5901086956522,385.2725,457.13875,34.985,35.04907608695652,28.76375,41.28,23.862499999999997,25.739239130434786,20.098750000000003,31.107499999999998
19,4,45,341.34375,331.78334239130436,305.68625,362.8575,431.01874999999995,419.733152173913,386.0475,459.474375,34.7325,34.83046195652174,28.661875,41.484375,23.79375,25.645869565217392,19.804375,30.969375
20,5,0,342.16499999999996,332.7161956521739,305.655,363.78000000000003,430.245,420.8761956521739,387.28749999999997,460.98249999999996,34.480000000000004,34.61184782608696,28.4125,41.1675,23.68,25.5525,19.5775,30.7175
21,5,15,337.615,331.9979347826087,302.193125,362.486875,427.05375000000004,420.18456521739137,383.18062499999996,459.306875,34.3875,34.648804347826086,28.2425,41.241875,24.012500000000003,25.769374999999997,20.068125,30.247500000000002
22,5,30,337.21500000000003,331.2796739130435,301.58,362.14375,426.76,419.4929347826087,383.64625,456.73625,34.150000000000006,34.68576086956522,28.11375,41.003750000000004,24.315,25.986250000000002,20.35,30.15875
23,5,45,334.67499999999995,330.5614130434783,305.8225,360.14250000000004,423.8925,418.8013043478261,387.75250000000005,454.88874999999996,34.573750000000004,34.72271739130434,28.211875,40.80125,24.902500000000003,26.203125,20.50625,30.68375
24,6,0,334.235,329.84315217391304,306.5475,359.76,422.59000000000003,418.1096739130434,389.27500000000003,455.5925,34.53,34.75967391304348,28.17,40.0475,26.060000000000002,26.419999999999998,20.7575,30.8425
25,6,15,324.30499999999995,320.82595108695654,297.65,352.686875,411.4425,407.77258152173914,380.64937499999996,446.50187500000004,35.99875,36.49114130434783,30.290625,41.68875,28.50875,28.61152173913044,23.21875,32.804375
26,6,30,314.085,311.80875,284.7075,345.33375,401.0375,397.4354891304348,366.13874999999996,439.915,37.5025,38.22260869565218,31.6,43.72375,31.155,30.80304347826087,25.525,34.678749999999994
27,6,45,306.07875,302.79154891304347,276.7,335.5275,390.77750000000003,387.0983967391304,353.2831249999999,427.0,39.363749999999996,39.954076086956526,32.861875,45.541250000000005,33.11750000000001,32.994565217391305,27.366875,36.805625000000006
