hour,minute,median,mean,percentile_25,percentile_75
0,0,687.0,932.3478260869565,328.0,1417.5
0,15,706.0,931.1847826086956,354.25,1413.0
0,30,716.0,932.554347826087,370.75,1417.25
0,45,714.0,934.0978260869565,370.75,1420.25
1,0,746.5,935.6521739130435,410.0,1407.75
1,15,740.0,938.1521739130435,419.5,1396.0
1,30,711.5,941.2608695652174,409.0,1378.5
1,45,684.5,944.2173913043479,422.25,1386.25
2,0,707.0,947.1847826086956,432.5,1402.25
2,15,698.0,947.1195652173913,414.0,1412.0
2,30,715.0,943.945652173913,430.25,1403.5
2,45,731.5,940.7173913043479,416.25,1379.25
3,0,732.0,937.4782608695652,395.0,1371.75
3,15,739.5,936.1847826086956,399.75,1344.25
3,30,747.5,937.0978260869565,409.25,1314.25
3,45,767.0,937.3586956521739,414.25,1336.0
4,0,787.5,937.8695652173913,411.5,1341.5
4,15,816.5,939.7282608695652,412.75,1379.0
4,30,845.5,942.5869565217391,421.0,1365.5
4,45,877.5,945.4347826086956,430.25,1348.0
5,0,893.0,948.304347826087,428.75,1327.25
5,15,885.0,941.1413043478261,409.25,1298.75
5,30,867.0,924.3695652173913,380.75,1276.0
5,45,847.0,907.2391304347826,357.75,1261.75
6,0,826.0,890.4239130434783,316.75,1250.0
6,15,790.0,875.3586956521739,291.25,1215.25
6,30,765.5,861.6195652173913,287.5,1193.5
6,45,737.0,848.4021739130435,285.25,1171.0
7,0,714.0,834.6086956521739,283.75,1147.0
7,15,694.0,823.1304347826087,281.75,1129.5
7,30,665.0,813.4565217391304,287.25,1094.75
7,45,647.0,803.8804347826087,288.5,1080.75
8,0,629.0,794.2934782608696,292.75,1072.0
8,15,606.0,778.5217391304348,285.25,1071.5
8,30,590.0,757.054347826087,272.5,1055.25
8,45,586.5,735.5108695652174,270.5,1040.5
9,0,528.0,713.7391304347826,281.25,1021.0
9,15,495.5,696.5326086956521,274.25,1013.25
9,30,512.0,684.195652173913,267.5,1006.25
9,45,494.0,671.804347826087,261.0,1000.0
10,0,487.0,659.0978260869565,253.5,993.5
10,15,466.5,650.804347826087,249.25,960.25
10,30,431.0,646.4130434782609,240.0,947.5
10,45,439.5,641.8695652173913,232.25,911.25
11,0,432.5,637.2934782608696,214.0,873.5
11,15,426.0,639.8369565217391,206.25,853.75
11,30,435.5,649.4021739130435,213.75,858.0
11,45,447.0,659.2173913043479,211.75,868.5
12,0,473.5,668.9565217391304,211.0,887.75
12,15,499.0,681.3369565217391,214.75,918.25
12,30,524.0,696.6086956521739,217.75,948.0
12,45,548.5,711.7608695652174,220.75,988.25
13,0,558.0,726.9891304347826,232.5,1029.25
13,15,553.5,743.3152173913044,245.0,1066.5
13,30,562.0,761.0978260869565,263.75,1087.75
13,45,581.5,778.9565217391304,270.75,1131.25
14,0,604.5,796.7391304347826,277.5,1163.25
14,15,618.0,809.1630434782609,284.25,1157.5
14,30,621.0,816.8260869565217,289.75,1160.75
14,45,630.0,824.445652173913,302.5,1181.5
15,0,652.0,832.1630434782609,320.75,1229.0
15,15,679.0,841.6086956521739,316.75,1267.25
15,30,673.0,853.3586956521739,313.5,1293.5
15,45,681.5,865.0978260869565,319.75,1288.75
16,0,676.5,876.6195652173913,332.75,1282.25
16,15,701.5,889.4673913043479,346.25,1303.5
16,30,700.5,903.8369565217391,346.75,1351.25
16,45,698.0,917.9130434782609,351.0,1338.0
17,0,696.5,932.2282608695652,358.75,1374.75
17,15,673.5,930.6304347826087,365.5,1345.0
17,30,667.5,913.5652173913044,373.0,1275.5
17,45,704.0,896.5,358.25,1225.25
18,0,696.5,879.5,355.5,1181.25
18,15,707.5,867.4021739130435,351.75,1152.25
18,30,734.0,859.9565217391304,352.5,1151.25
18,45,718.5,852.8152173913044,349.0,1141.5
19,0,728.5,845.6086956521739,353.0,1213.25
19,15,733.0,843.0760869565217,357.75,1199.75
19,30,698.0,845.4021739130435,360.0,1157.25
19,45,677.5,847.5978260869565,343.0,1103.5
20,0,673.0,850.1086956521739,326.5,1111.0
20,15,692.0,852.8586956521739,324.75,1168.5
20,30,695.0,856.054347826087,323.0,1197.0
20,45,705.5,859.445652173913,321.25,1226.25
21,0,712.0,862.3804347826087,321.25,1217.5
21,15,730.0,869.3478260869565,329.75,1246.0
21,30,742.0,880.1304347826087,330.5,1257.0
21,45,759.0,890.5,349.5,1300.0
22,0,776.0,901.2173913043479,373.75,1320.25
22,15,768.0,914.054347826087,389.75,1332.0
22,30,780.0,929.1521739130435,401.5,1349.25
22,45,764.0,944.554347826087,387.25,1322.0
23,0,769.0,959.7065217391304,375.0,1357.5
23,15,777.0,963.4021739130435,349.5,1378.5
23,30,747.5,955.5978260869565,330.0,1370.75
23,45,740.5,947.7826086956521,311.25,1363.5
24,0,740.5,947.7826086956521,311.25,1363.5
