Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,Netherlands,Netherlands,NL,258.88,331.2,48.67,44.6,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 01:00:00,Netherlands,Netherlands,NL,268.96,343.8,46.57,42.46,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 02:00:00,Netherlands,Netherlands,NL,268.67,343.52,46.3,41.27,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 03:00:00,Netherlands,Netherlands,NL,259.63,332.48,47.99,42.11,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 04:00:00,Netherlands,Netherlands,NL,263.3,337.49,46.66,39.07,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 05:00:00,Netherlands,Netherlands,NL,249.66,320.86,49.47,40.9,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 06:00:00,Netherlands,Netherlands,NL,246.88,317.4,50.32,41.25,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 07:00:00,Netherlands,Netherlands,NL,247.31,318.05,49.96,38.97,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 08:00:00,Netherlands,Netherlands,NL,241.57,311.11,50.86,39.29,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 09:00:00,Netherlands,Netherlands,NL,191.89,253.72,60.88,51.62,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 10:00:00,Netherlands,Netherlands,NL,179.74,240.18,63.4,54.78,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 11:00:00,Netherlands,Netherlands,NL,178.52,238.93,63.78,56.68,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 12:00:00,Netherlands,Netherlands,NL,177.7,238.07,63.89,56.94,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 13:00:00,Netherlands,Netherlands,NL,180.29,240.89,63.35,56.33,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 14:00:00,Netherlands,Netherlands,NL,194.82,257.49,60.43,52.59,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 15:00:00,Netherlands,Netherlands,NL,237.92,306.74,51.77,43.59,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 16:00:00,Netherlands,Netherlands,NL,266.94,341.03,45.99,38.94,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 17:00:00,Netherlands,Netherlands,NL,264.3,336.56,47.82,41.78,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 18:00:00,Netherlands,Netherlands,NL,266.14,339.4,46.7,40.73,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 19:00:00,Netherlands,Netherlands,NL,255.87,326.76,49.16,43.29,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 20:00:00,Netherlands,Netherlands,NL,252.05,322.32,49.67,43.48,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 21:00:00,Netherlands,Netherlands,NL,254.51,325.19,49.55,44.04,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 22:00:00,Netherlands,Netherlands,NL,253.76,324.69,49.04,44.56,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 23:00:00,Netherlands,Netherlands,NL,243.73,312.91,50.73,46.12,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 00:00:00,Netherlands,Netherlands,NL,238.69,306.38,52.05,47.87,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 01:00:00,Netherlands,Netherlands,NL,243.75,312.23,50.74,47.11,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 02:00:00,Netherlands,Netherlands,NL,228.65,293.97,53.75,49.28,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 03:00:00,Netherlands,Netherlands,NL,223.32,287.7,54.75,48.66,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 04:00:00,Netherlands,Netherlands,NL,225.94,291.16,54.19,47.15,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 05:00:00,Netherlands,Netherlands,NL,221.38,285.94,55.09,47.76,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 06:00:00,Netherlands,Netherlands,NL,222.79,287.5,54.81,47.95,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 07:00:00,Netherlands,Netherlands,NL,223.84,288.55,54.59,47.8,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 08:00:00,Netherlands,Netherlands,NL,220.11,283.86,55.45,49.02,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 09:00:00,Netherlands,Netherlands,NL,186.98,246.5,62.37,56.66,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 10:00:00,Netherlands,Netherlands,NL,173.41,231.41,65.14,59.81,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 11:00:00,Netherlands,Netherlands,NL,172.12,230.26,65.46,61.05,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 12:00:00,Netherlands,Netherlands,NL,170.11,227.86,65.92,61.2,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 13:00:00,Netherlands,Netherlands,NL,179.22,238.73,63.94,58.92,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 14:00:00,Netherlands,Netherlands,NL,189.2,249.95,61.83,55.35,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 15:00:00,Netherlands,Netherlands,NL,220.96,285.83,55.46,47.58,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 16:00:00,Netherlands,Netherlands,NL,237.02,304.5,52.89,45.3,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 17:00:00,Netherlands,Netherlands,NL,240.22,308.44,52.27,46.19,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 18:00:00,Netherlands,Netherlands,NL,231.58,297.86,54.02,48.21,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 19:00:00,Netherlands,Netherlands,NL,229.52,295.28,54.28,48.12,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 20:00:00,Netherlands,Netherlands,NL,227.4,292.8,54.42,47.88,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 21:00:00,Netherlands,Netherlands,NL,227.43,292.56,54.16,47.65,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 22:00:00,Netherlands,Netherlands,NL,210.49,272.07,57.35,51.74,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 23:00:00,Netherlands,Netherlands,NL,213.54,275.27,57.1,52.74,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 00:00:00,Netherlands,Netherlands,NL,214.78,276.6,57.04,52.44,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 01:00:00,Netherlands,Netherlands,NL,219.11,282.05,55.77,50.14,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 02:00:00,Netherlands,Netherlands,NL,216.58,278.91,56.29,50.78,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 03:00:00,Netherlands,Netherlands,NL,209.2,270.45,57.6,51.59,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 04:00:00,Netherlands,Netherlands,NL,209.03,270.35,57.74,52.37,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 05:00:00,Netherlands,Netherlands,NL,216.84,280.22,56.06,49.42,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 06:00:00,Netherlands,Netherlands,NL,220.94,285.25,55.36,48.95,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 07:00:00,Netherlands,Netherlands,NL,229.57,294.34,55.05,50.67,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 08:00:00,Netherlands,Netherlands,NL,238.62,304.86,53.74,50.01,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 09:00:00,Netherlands,Netherlands,NL,207.06,270.7,58.65,54.99,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 10:00:00,Netherlands,Netherlands,NL,196.43,259.0,60.79,57.95,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 11:00:00,Netherlands,Netherlands,NL,195.87,258.83,60.77,58.67,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 12:00:00,Netherlands,Netherlands,NL,195.54,258.37,60.9,58.71,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 13:00:00,Netherlands,Netherlands,NL,199.21,262.46,60.27,58.12,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 14:00:00,Netherlands,Netherlands,NL,213.89,279.19,57.54,54.77,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 15:00:00,Netherlands,Netherlands,NL,252.76,323.28,50.4,46.97,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 16:00:00,Netherlands,Netherlands,NL,276.0,350.16,46.22,43.59,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 17:00:00,Netherlands,Netherlands,NL,278.55,353.55,45.38,42.79,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 18:00:00,Netherlands,Netherlands,NL,277.74,352.83,45.36,42.7,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 19:00:00,Netherlands,Netherlands,NL,272.85,345.92,47.26,44.32,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 20:00:00,Netherlands,Netherlands,NL,270.4,342.95,48.07,44.94,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 21:00:00,Netherlands,Netherlands,NL,266.54,338.02,49.21,45.96,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 22:00:00,Netherlands,Netherlands,NL,265.79,336.83,49.57,46.1,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-03 23:00:00,Netherlands,Netherlands,NL,267.38,338.03,49.74,45.99,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-04 00:00:00,Netherlands,Netherlands,NL,277.63,351.3,47.09,43.45,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-04 01:00:00,Netherlands,Netherlands,NL,289.06,367.06,43.42,39.13,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-04 02:00:00,Netherlands,Netherlands,NL,300.92,380.91,41.38,34.77,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-04 03:00:00,Netherlands,Netherlands,NL,310.57,392.98,39.18,32.03,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-04 04:00:00,Netherlands,Netherlands,NL,319.9,403.53,37.98,29.63,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-04 05:00:00,Netherlands,Netherlands,NL,326.84,412.21,36.19,29.42,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-04 06:00:00,Netherlands,Netherlands,NL,347.41,438.72,30.87,25.6,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-04 07:00:00,Netherlands,Netherlands,NL,385.52,482.51,25.81,21.36,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
