hour,minute,median,mean,percentile_25,percentile_75
0,0,622.0,724.9662921348314,245.0,982.0
0,15,602.0,722.6966292134831,257.0,996.0
0,30,600.0,720.4719101123595,273.0,981.0
0,45,599.0,718.3483146067416,277.0,1005.0
1,0,610.0,728.0888888888888,270.0,1033.5
1,15,600.0,724.2666666666667,254.75,1049.5
1,30,591.0,721.9222222222222,249.0,1046.0
1,45,587.5,719.1777777777778,246.75,1017.5
2,0,580.0,703.4157303370787,251.0,978.0
2,15,556.0,682.7752808988764,234.0,978.0
2,30,549.0,678.8651685393259,226.0,986.0
2,45,539.0,674.4044943820224,224.0,993.0
3,0,530.5,684.1222222222223,224.75,997.0
3,15,513.5,679.5888888888888,223.0,980.75
3,30,488.5,675.6,221.25,962.25
3,45,474.5,671.5777777777778,222.5,955.0
4,0,466.5,667.3111111111111,218.0,949.25
4,15,461.5,665.4,225.5,944.0
4,30,457.0,664.0555555555555,225.25,938.25
4,45,462.5,662.4777777777778,219.5,942.0
5,0,453.5,660.5333333333333,213.5,946.25
5,15,455.5,659.2333333333333,205.25,963.0
5,30,467.5,658.4222222222222,197.0,980.0
5,45,468.5,658.1777777777778,189.25,999.25
6,0,488.5,657.8111111111111,188.75,1025.5
6,15,494.5,657.5,181.5,1028.75
6,30,494.5,656.9888888888889,179.75,1018.5
6,45,496.0,656.2666666666667,179.0,1008.25
7,0,498.0,655.6333333333333,174.75,998.0
7,15,501.0,653.2444444444444,170.0,987.75
7,30,502.0,650.2777777777778,169.5,988.5
7,45,503.0,647.3444444444444,156.0,989.5
8,0,494.0,644.4777777777778,151.75,968.75
8,15,485.5,642.1555555555556,156.5,956.75
8,30,483.0,640.3555555555556,159.0,939.5
8,45,481.0,639.4444444444445,152.25,922.75
9,0,479.5,637.3555555555556,149.75,914.75
9,15,469.0,635.6111111111111,146.25,907.0
9,30,460.5,633.2555555555556,142.0,885.5
9,45,452.0,630.9222222222222,138.5,917.25
10,0,444.0,628.8111111111111,142.25,949.75
10,15,436.5,629.0222222222222,135.5,969.75
10,30,428.5,628.4666666666667,135.75,963.25
10,45,421.0,627.6,135.5,948.0
11,0,413.5,627.0666666666667,130.25,919.5
11,15,425.0,631.4555555555555,128.5,916.25
11,30,440.0,635.7666666666667,127.25,919.0
11,45,453.0,640.0222222222222,130.5,921.5
12,0,460.0,644.5777777777778,136.0,928.75
12,15,461.0,649.2888888888889,140.25,932.75
12,30,468.0,653.6,137.25,936.25
12,45,481.0,658.2,145.0,941.5
13,0,480.5,662.7777777777778,145.75,947.75
13,15,473.5,667.8111111111111,153.0,950.0
13,30,467.0,672.9333333333333,162.25,962.0
13,45,474.0,678.1666666666666,171.5,976.5
14,0,483.0,684.1333333333333,174.75,971.0
14,15,489.5,690.1555555555556,179.75,996.0
14,30,496.5,696.2,183.25,1019.0
14,45,500.5,703.2,188.75,1029.75
15,0,509.0,709.8,189.75,1039.75
15,15,527.5,715.0888888888888,192.25,1037.25
15,30,526.5,720.1222222222223,193.25,1047.75
15,45,535.5,724.6888888888889,193.5,1062.25
16,0,555.0,729.7555555555556,194.5,1063.25
16,15,567.5,733.7666666666667,200.5,1051.75
16,30,575.5,738.2888888888889,204.75,1041.75
16,45,603.0,742.5333333333333,210.0,1033.25
17,0,605.0,746.4111111111112,218.0,1024.5
17,15,636.5,746.9888888888889,232.0,1015.5
17,30,655.0,747.5333333333333,247.5,1014.25
17,45,657.5,747.9888888888889,261.25,1022.0
18,0,646.0,748.7,271.5,999.5
18,15,640.0,748.4333333333333,284.5,992.0
18,30,648.0,748.5777777777778,295.5,1002.0
18,45,643.5,748.5,285.0,1015.25
19,0,645.5,748.3666666666667,287.25,1030.75
19,15,644.0,747.3555555555556,280.0,1044.75
19,30,637.0,746.1666666666666,271.25,1059.5
19,45,629.5,744.8555555555556,264.0,1078.75
20,0,626.5,743.9222222222222,257.75,1098.75
20,15,625.0,743.7666666666667,252.0,1094.0
20,30,626.5,743.8222222222222,249.25,1091.0
20,45,645.5,744.1111111111111,255.25,1090.25
21,0,656.5,743.8777777777777,264.75,1087.0
21,15,637.5,743.6555555555556,287.0,1075.5
21,30,639.0,743.8,293.25,1068.75
21,45,649.0,743.6666666666666,292.25,1072.0
22,0,642.5,743.2222222222222,293.75,1090.25
22,15,647.5,742.2,286.5,1058.5
22,30,652.5,741.0666666666667,290.25,1042.25
22,45,662.5,739.6888888888889,292.0,1030.5
23,0,651.5,738.4666666666667,294.0,1012.5
23,15,642.0,734.8333333333334,290.5,990.5
23,30,637.0,731.5333333333333,289.75,976.25
23,45,647.5,728.3444444444444,287.25,967.5
