hour,minute,median,mean,percentile_25,percentile_75
0,0,11840.0,11710.966666666667,11390.25,12018.75
0,15,11698.0,11584.788888888888,11330.25,11868.25
0,30,11527.0,11440.0,11177.25,11717.5
0,45,11370.5,11272.455555555556,11020.0,11530.25
1,0,11213.5,11123.055555555555,10876.5,11395.75
1,15,11097.0,11007.644444444444,10717.75,11272.75
1,30,10969.0,10883.633333333333,10572.5,11152.75
1,45,10878.5,10788.044444444444,10471.5,11054.5
2,0,10809.0,10710.877777777778,10412.5,10973.75
2,15,10742.0,10652.5,10337.25,10931.0
2,30,10666.0,10592.41111111111,10304.0,10858.25
2,45,10623.5,10553.9,10249.5,10819.25
3,0,10604.0,10529.31111111111,10252.25,10802.25
3,15,10581.5,10504.666666666666,10272.75,10770.0
3,30,10559.0,10481.722222222223,10243.0,10735.25
3,45,10553.5,10467.566666666668,10241.75,10740.75
4,0,10554.5,10487.777777777777,10261.75,10804.5
4,15,10597.0,10512.488888888889,10284.5,10817.0
4,30,10627.0,10543.8,10296.5,10845.0
4,45,10662.0,10593.866666666667,10327.0,10898.75
5,0,10819.5,10716.022222222222,10409.25,11054.5
5,15,10972.0,10834.91111111111,10470.5,11211.5
5,30,11205.0,11004.8,10549.25,11430.75
5,45,11460.0,11207.877777777778,10679.25,11705.25
6,0,11975.0,11589.155555555555,10843.75,12212.0
6,15,12418.5,11941.31111111111,11046.25,12685.0
6,30,12856.5,12294.077777777778,11212.5,13170.5
6,45,13370.0,12676.022222222222,11403.5,13692.75
7,0,14102.0,13245.377777777778,11718.0,14455.75
7,15,14702.0,13745.511111111111,11990.5,15141.75
7,30,15250.0,14199.133333333333,12290.25,15722.0
7,45,15705.0,14589.266666666666,12616.75,16195.75
8,0,16030.0,14935.122222222222,13002.25,16557.5
8,15,16211.5,15144.133333333333,13220.5,16727.75
8,30,16396.5,15314.2,13466.25,16855.25
8,45,16573.5,15501.866666666667,13745.25,16998.75
9,0,16693.5,15676.577777777778,14033.25,17121.75
9,15,16765.0,15799.322222222223,14273.25,17214.25
9,30,16776.0,15866.855555555556,14512.25,17223.75
9,45,16837.0,15939.711111111112,14718.75,17254.5
10,0,16799.0,15982.988888888889,14851.5,17259.0
10,15,16731.5,15987.0,14868.75,17243.25
10,30,16772.5,16000.777777777777,14886.25,17235.5
10,45,16753.0,16006.433333333332,14942.5,17207.0
11,0,16738.0,15996.222222222223,14986.5,17155.25
11,15,16704.5,15982.555555555555,15041.0,17112.0
11,30,16655.5,15969.166666666666,15080.0,17074.75
11,45,16634.5,15966.41111111111,15044.5,17101.25
12,0,16588.0,15911.111111111111,15038.5,17051.5
12,15,16526.5,15837.555555555555,15016.0,16955.0
12,30,16401.0,15750.144444444444,14941.5,16829.5
12,45,16298.0,15708.6,14872.0,16782.0
13,0,16317.5,15737.144444444444,14860.0,16837.5
13,15,16370.5,15762.233333333334,14795.75,16898.75
13,30,16318.0,15738.355555555556,14783.5,16910.0
13,45,16285.0,15710.511111111111,14784.75,16899.0
14,0,16227.5,15670.533333333333,14701.0,16870.75
14,15,16209.5,15653.177777777777,14640.25,16845.75
14,30,16243.0,15626.633333333333,14593.5,16840.25
14,45,16255.0,15622.277777777777,14553.25,16854.25
15,0,16255.5,15598.677777777777,14497.75,16798.75
15,15,16245.5,15614.6,14468.5,16840.25
15,30,16311.5,15673.422222222222,14476.0,16906.25
15,45,16332.5,15728.511111111111,14523.5,16972.75
16,0,16329.5,15749.255555555555,14537.5,16989.5
16,15,16438.5,15853.955555555556,14658.0,17124.0
16,30,16486.5,16026.244444444445,14843.5,17258.5
16,45,16776.0,16329.788888888888,15205.25,17516.25
17,0,16969.0,16513.466666666667,15283.75,17677.75
17,15,17231.0,16760.477777777778,15439.0,17987.5
17,30,17366.5,16900.333333333332,15646.25,18060.75
17,45,17377.5,16952.944444444445,15742.5,18093.5
18,0,17102.0,16681.48888888889,15605.0,17706.25
18,15,17003.5,16545.8,15528.5,17450.25
18,30,16885.5,16445.977777777778,15398.5,17336.25
18,45,16809.5,16357.777777777777,15320.0,17230.25
19,0,16685.0,16190.044444444444,15196.25,17045.25
19,15,16529.5,16043.522222222222,15072.5,16890.5
19,30,16313.5,15887.277777777777,14924.75,16727.75
19,45,16180.5,15781.233333333334,14822.5,16583.5
20,0,15901.5,15535.08888888889,14604.25,16302.75
20,15,15653.5,15321.222222222223,14447.25,16080.0
20,30,15420.0,15073.955555555556,14184.0,15818.25
20,45,15179.5,14850.611111111111,14004.5,15617.0
21,0,14876.0,14584.344444444445,13773.0,15301.5
21,15,14640.5,14378.388888888889,13607.25,15075.75
21,30,14404.5,14135.766666666666,13447.75,14779.75
21,45,14148.0,13899.155555555555,13281.5,14515.5
22,0,13816.5,13594.58888888889,13064.25,14144.75
22,15,13561.0,13365.444444444445,12876.25,13848.25
22,30,13288.0,13103.566666666668,12661.25,13552.0
22,45,13017.5,12853.81111111111,12458.0,13255.5
23,0,12841.0,12663.3,12269.75,13055.25
23,15,12595.0,12434.333333333334,12029.0,12817.0
23,30,12327.5,12178.08888888889,11801.25,12527.5
23,45,12078.0,11929.388888888889,11570.25,12277.75
