hour,minute,median,mean,percentile_25,percentile_75
0,0,12399.0,12310.846153846154,12013.0,12776.5
0,15,12255.0,12160.670329670329,11882.5,12609.0
0,30,12008.0,11974.065934065935,11714.0,12391.5
0,45,11769.0,11765.692307692309,11488.5,12211.0
1,0,11577.0,11568.516483516483,11298.5,12004.5
1,15,11434.0,11403.351648351649,11117.0,11823.5
1,30,11294.0,11261.494505494506,11002.0,11685.5
1,45,11142.0,11134.142857142857,10868.5,11548.5
2,0,11021.0,11017.989130434782,10731.5,11455.0
2,15,10982.5,10979.510869565218,10690.0,11374.75
2,30,10942.5,10947.717391304348,10653.0,11348.25
2,45,10867.0,10899.0,10599.5,11304.75
3,0,10818.0,10876.758241758242,10582.5,11252.0
3,15,10826.0,10867.329670329671,10570.0,11247.5
3,30,10787.0,10847.494505494506,10566.0,11231.0
3,45,10728.0,10826.065934065935,10529.0,11204.5
4,0,10717.0,10821.42857142857,10521.0,11216.5
4,15,10740.0,10838.384615384615,10514.5,11237.0
4,30,10772.0,10856.901098901099,10539.0,11271.5
4,45,10793.0,10883.692307692309,10566.0,11281.5
5,0,10877.0,10937.747252747253,10619.5,11312.5
5,15,11047.0,11060.417582417582,10743.5,11421.0
5,30,11210.0,11208.54945054945,10832.5,11593.5
5,45,11432.0,11387.857142857143,10952.5,11834.0
6,0,11790.0,11638.516483516483,11173.0,12201.0
6,15,12213.0,12000.307692307691,11516.0,12705.5
6,30,12618.0,12369.351648351649,11661.5,13180.0
6,45,13073.0,12719.648351648351,11796.5,13607.5
7,0,13560.0,13098.175824175823,11936.0,14083.5
7,15,14034.0,13534.670329670329,12182.0,14550.0
7,30,14418.0,13959.57142857143,12379.5,15205.0
7,45,14850.0,14299.362637362638,12523.5,15758.0
8,0,15102.0,14544.296703296703,12635.0,16052.0
8,15,15309.0,14737.34065934066,12851.0,16234.0
8,30,15442.0,14801.802197802197,12931.0,16369.0
8,45,15619.0,15085.989010989011,13318.0,16651.0
9,0,15816.0,15256.34065934066,13484.5,16814.5
9,15,15851.0,15314.296703296703,13621.0,16825.5
9,30,15892.0,15328.846153846154,13735.5,16691.0
9,45,15789.0,15278.0,13866.0,16514.0
10,0,15895.0,15336.978021978022,13935.5,16704.5
10,15,15772.0,15297.967032967033,13996.5,16634.0
10,30,15752.0,15258.901098901099,13993.5,16564.0
10,45,15768.0,15223.57142857143,13959.5,16537.5
11,0,15663.0,15195.868131868132,13951.0,16524.5
11,15,15532.0,15161.868131868132,13914.0,16512.5
11,30,15475.0,15110.351648351649,13844.0,16469.0
11,45,15488.0,15089.285714285714,13816.0,16451.0
12,0,15375.0,15045.472527472528,13774.0,16421.0
12,15,15300.0,14980.10989010989,13702.0,16267.0
12,30,15147.0,14868.351648351649,13589.5,16075.5
12,45,15072.0,14808.153846153846,13566.0,16015.0
13,0,15104.0,14815.417582417582,13580.5,16035.0
13,15,15193.0,14884.857142857143,13547.5,16176.5
13,30,15258.0,14904.065934065935,13523.0,16261.5
13,45,15276.0,14901.23076923077,13528.0,16263.0
14,0,15216.0,14851.23076923077,13435.5,16243.5
14,15,15241.0,14876.967032967033,13491.0,16209.0
14,30,15199.0,14858.461538461539,13469.0,16201.5
14,45,15162.0,14837.021978021978,13484.5,16226.0
15,0,15175.0,14834.868131868132,13508.0,16227.5
15,15,15209.0,14852.175824175823,13643.0,16250.0
15,30,15252.0,14888.725274725275,13710.5,16311.0
15,45,15221.0,14921.197802197803,13463.0,16392.5
16,0,15258.0,14997.615384615385,13852.0,16436.0
16,15,15292.0,15041.791208791208,13879.5,16447.5
16,30,15344.0,15136.901098901099,13930.5,16473.5
16,45,15454.0,15266.516483516483,14068.0,16560.0
17,0,15569.0,15414.967032967033,14327.5,16644.5
17,15,15700.0,15538.516483516483,14507.0,16719.5
17,30,15830.0,15723.76923076923,14664.5,16840.5
17,45,15859.0,15819.813186813188,14750.0,16853.0
18,0,15745.0,15734.582417582418,14732.5,16718.0
18,15,15474.0,15446.164835164835,14479.0,16439.0
18,30,15355.0,15343.868131868132,14343.0,16390.5
18,45,15327.0,15324.989010989011,14302.0,16387.5
19,0,15309.0,15331.582417582418,14245.5,16519.5
19,15,15281.0,15322.34065934066,14159.0,16569.5
19,30,15408.0,15338.21978021978,14201.0,16584.0
19,45,15485.0,15333.0,14210.5,16471.0
20,0,15542.0,15331.241758241758,14364.5,16384.5
20,15,15504.0,15297.164835164835,14305.0,16273.5
20,30,15463.0,15206.857142857143,14241.0,16109.0
20,45,15245.0,15080.967032967033,14122.0,16012.0
21,0,15139.0,14958.582417582418,14056.0,15847.5
21,15,14992.0,14845.626373626374,14010.0,15711.0
21,30,14762.0,14646.967032967033,13823.5,15484.5
21,45,14522.0,14393.813186813188,13669.0,15169.5
22,0,14232.0,14164.857142857143,13529.0,14861.5
22,15,14012.0,13979.736263736264,13381.0,14663.0
22,30,13748.0,13735.725274725275,13243.5,14366.0
22,45,13464.0,13449.670329670329,12998.0,14050.0
23,0,13300.0,13226.857142857143,12831.0,13800.5
23,15,13130.0,13097.362637362638,12691.0,13674.0
23,30,12902.0,12845.307692307691,12457.5,13369.5
23,45,12654.0,12558.65934065934,12201.0,13049.5
