hour,minute,median,mean,percentile_25,percentile_75
0,0,0.0,0.0,0.0,0.0
0,15,0.0,0.0,0.0,0.0
0,30,0.0,0.0,0.0,0.0
0,45,0.0,0.0,0.0,0.0
1,0,0.0,0.0,0.0,0.0
1,15,0.0,0.0,0.0,0.0
1,30,0.0,0.0,0.0,0.0
1,45,0.0,0.0,0.0,0.0
2,0,0.0,0.0,0.0,0.0
2,15,0.0,0.0,0.0,0.0
2,30,0.0,0.0,0.0,0.0
2,45,0.0,0.0,0.0,0.0
3,0,0.0,0.0,0.0,0.0
3,15,0.0,0.0,0.0,0.0
3,30,0.0,0.0,0.0,0.0
3,45,0.0,0.0,0.0,0.0
4,0,0.0,0.0,0.0,0.0
4,15,0.0,0.0,0.0,0.0
4,30,0.0,0.0,0.0,0.0
4,45,0.0,0.0,0.0,0.0
5,0,0.0,0.0,0.0,0.0
5,15,0.0,0.0,0.0,0.0
5,30,0.0,0.0,0.0,0.0
5,45,0.0,0.0,0.0,0.0
6,0,0.0,0.0,0.0,0.0
6,15,0.0,0.0,0.0,0.0
6,30,0.0,0.0,0.0,0.0
6,45,0.0,0.0,0.0,0.0
7,0,0.0,0.0,0.0,0.0
7,15,0.0,1.6373626373626373,0.0,1.0
7,30,0.0,3.2637362637362637,0.0,2.0
7,45,0.0,4.945054945054945,0.0,3.5
8,0,0.0,6.582417582417582,0.0,4.5
8,15,28.0,41.857142857142854,11.0,66.5
8,30,52.0,76.98901098901099,21.0,125.0
8,45,77.0,112.25274725274726,29.5,180.0
9,0,102.0,147.45054945054946,40.0,237.5
9,15,161.0,200.82417582417582,64.5,309.0
9,30,224.0,254.2087912087912,86.5,388.0
9,45,282.0,307.57142857142856,110.0,492.0
10,0,342.0,360.95604395604397,141.5,567.5
10,15,380.0,395.15384615384613,152.5,608.5
10,30,405.0,429.4065934065934,176.5,661.5
10,45,428.0,463.6043956043956,192.0,723.0
11,0,457.0,497.86813186813185,214.0,756.0
11,15,494.0,526.6813186813187,251.5,786.5
11,30,511.0,555.5824175824176,275.0,816.5
11,45,533.0,584.4285714285714,285.5,878.0
12,0,567.0,613.2637362637363,296.5,926.0
12,15,579.0,629.010989010989,307.5,957.5
12,30,608.0,644.5934065934066,316.5,967.5
12,45,637.0,660.3296703296703,314.5,995.0
13,0,658.0,676.010989010989,335.0,1004.5
13,15,669.0,674.8681318681319,334.0,1005.5
13,30,657.0,673.6813186813187,316.0,1005.0
13,45,639.0,672.5164835164835,313.0,1017.5
14,0,603.0,671.3516483516484,297.5,1046.0
14,15,542.0,652.4835164835165,270.5,1021.0
14,30,536.0,633.4945054945055,245.5,1004.0
14,45,536.0,614.5934065934066,232.0,985.0
15,0,517.0,595.6153846153846,235.0,981.5
15,15,493.0,563.3406593406594,204.5,945.5
15,30,453.0,531.065934065934,175.0,916.5
15,45,422.0,498.7142857142857,150.0,880.5
16,0,380.0,466.45054945054943,128.0,835.0
16,15,324.0,428.0879120879121,105.0,774.0
16,30,258.0,389.75824175824175,88.5,707.5
16,45,200.0,351.38461538461536,61.0,637.0
17,0,166.0,313.0989010989011,43.0,573.5
17,15,139.0,277.35164835164835,34.5,508.0
17,30,127.0,241.63736263736263,24.0,444.0
17,45,111.0,205.94505494505495,14.0,389.0
18,0,82.0,170.21978021978023,0.0,325.5
18,15,70.0,143.36263736263737,0.0,274.5
18,30,53.0,116.53846153846153,0.0,210.5
18,45,35.0,89.6923076923077,0.0,159.0
19,0,9.0,62.879120879120876,0.0,121.0
19,15,6.0,49.45054945054945,0.0,93.0
19,30,4.0,36.10989010989011,0.0,65.5
19,45,2.0,22.78021978021978,0.0,37.0
20,0,0.0,9.45054945054945,0.0,5.0
20,15,0.0,7.032967032967033,0.0,3.5
20,30,0.0,4.725274725274725,0.0,2.0
20,45,0.0,2.3736263736263736,0.0,1.0
21,0,0.0,0.03296703296703297,0.0,0.0
21,15,0.0,0.02197802197802198,0.0,0.0
21,30,0.0,0.0,0.0,0.0
21,45,0.0,0.0,0.0,0.0
22,0,0.0,0.0,0.0,0.0
22,15,0.0,0.0,0.0,0.0
22,30,0.0,0.0,0.0,0.0
22,45,0.0,0.0,0.0,0.0
23,0,0.0,0.0,0.0,0.0
23,15,0.0,0.0,0.0,0.0
23,30,0.0,0.0,0.0,0.0
23,45,0.0,0.0,0.0,0.0
