hour,minute,median,mean,percentile_25,percentile_75
0,0,167.0,188.5054945054945,84.5,293.5
0,15,159.0,188.28571428571428,81.5,291.5
0,30,160.0,188.35164835164835,81.0,289.5
0,45,157.0,188.54945054945054,82.5,291.5
1,0,154.0,186.85714285714286,84.5,294.5
1,15,149.0,186.57142857142858,85.5,291.5
1,30,149.0,186.9120879120879,85.5,291.5
1,45,149.0,187.17582417582418,86.5,293.5
2,0,158.5,191.58695652173913,81.25,297.75
2,15,160.5,191.93478260869566,81.0,299.5
2,30,162.0,192.82608695652175,83.5,303.25
2,45,166.0,193.77173913043478,84.0,305.0
3,0,165.0,191.94505494505495,80.5,303.0
3,15,167.0,192.87912087912088,78.0,303.5
3,30,168.0,193.84615384615384,75.5,303.0
3,45,176.0,194.7912087912088,75.5,302.5
4,0,175.0,195.73626373626374,74.0,304.0
4,15,174.0,196.57142857142858,74.5,304.5
4,30,175.0,197.14285714285714,75.5,304.5
4,45,176.0,197.6813186813187,77.5,306.0
5,0,177.0,198.27472527472528,80.0,308.0
5,15,172.0,198.87912087912088,81.5,312.0
5,30,175.0,199.4945054945055,78.0,314.5
5,45,179.0,200.12087912087912,78.0,316.5
6,0,179.0,200.71428571428572,80.0,318.5
6,15,178.0,201.0989010989011,81.5,319.0
6,30,177.0,201.1978021978022,80.5,320.0
6,45,181.0,201.28571428571428,80.5,321.5
7,0,182.0,201.35164835164835,82.5,324.5
7,15,182.0,200.94505494505495,81.0,325.0
7,30,181.0,200.05494505494505,83.5,324.0
7,45,178.0,199.1868131868132,86.0,325.0
8,0,180.0,198.30769230769232,84.5,323.0
8,15,179.0,197.8901098901099,83.5,323.0
8,30,179.0,197.94505494505495,82.5,321.5
8,45,183.0,197.92307692307693,81.0,319.5
9,0,188.0,197.97802197802199,80.0,318.0
9,15,182.0,198.4065934065934,79.0,319.0
9,30,180.0,199.24175824175825,78.0,317.5
9,45,180.0,200.1098901098901,76.5,317.0
10,0,181.0,201.03296703296704,75.5,317.0
10,15,183.0,201.86813186813185,73.5,318.5
10,30,185.0,202.72527472527472,73.5,321.0
10,45,187.0,203.5164835164835,76.0,325.5
11,0,189.0,204.35164835164835,75.0,325.0
11,15,189.0,205.04395604395606,76.0,322.5
11,30,190.0,205.57142857142858,78.0,322.0
11,45,194.0,206.04395604395606,80.5,321.0
12,0,199.0,206.6153846153846,80.5,320.5
12,15,205.0,207.15384615384616,80.0,320.0
12,30,212.0,207.74725274725276,81.5,318.5
12,45,215.0,208.2967032967033,81.0,310.5
13,0,215.0,208.9120879120879,83.5,307.0
13,15,213.0,208.9120879120879,85.0,309.0
13,30,209.0,208.47252747252747,85.5,307.5
13,45,205.0,207.96703296703296,86.0,309.5
14,0,203.0,207.4835164835165,88.0,310.5
14,15,201.0,207.04395604395606,89.5,311.0
14,30,199.0,206.43956043956044,90.0,311.5
14,45,194.0,205.98901098901098,91.5,311.5
15,0,194.0,205.57142857142858,91.5,313.5
15,15,195.0,205.2087912087912,91.5,314.5
15,30,190.0,204.92307692307693,91.5,313.0
15,45,192.0,204.72527472527472,90.5,313.5
16,0,194.0,204.5054945054945,88.0,318.0
16,15,190.0,204.30769230769232,86.0,317.5
16,30,186.0,204.02197802197801,86.5,317.5
16,45,186.0,203.75824175824175,89.0,317.5
17,0,187.0,203.45054945054946,88.0,317.0
17,15,189.0,203.14285714285714,83.5,315.0
17,30,191.0,202.5054945054945,81.5,313.5
17,45,193.0,202.02197802197801,83.0,314.0
18,0,195.0,201.45054945054946,80.5,315.5
18,15,199.0,200.95604395604394,78.5,315.0
18,30,193.0,200.5934065934066,80.0,314.0
18,45,186.0,200.1868131868132,77.5,308.0
19,0,186.0,199.78021978021977,78.5,307.0
19,15,187.0,199.05494505494505,76.0,309.5
19,30,183.0,198.02197802197801,76.0,315.5
19,45,175.0,196.94505494505495,75.5,320.5
20,0,174.0,195.8901098901099,77.0,318.0
20,15,177.0,195.1098901098901,79.0,317.5
20,30,182.0,194.4835164835165,82.0,310.5
20,45,182.0,193.84615384615384,83.0,309.0
21,0,182.0,193.23076923076923,82.5,311.0
21,15,180.0,192.5934065934066,81.0,312.0
21,30,178.0,192.07692307692307,81.0,312.0
21,45,178.0,191.42857142857142,80.5,312.5
22,0,180.0,190.92307692307693,78.5,310.0
22,15,177.0,190.64835164835165,79.0,305.0
22,30,175.0,190.78021978021977,83.0,302.0
22,45,172.0,190.9010989010989,83.0,300.5
23,0,172.0,190.97802197802199,87.5,303.0
23,15,170.0,190.6813186813187,87.5,302.0
23,30,165.0,190.0989010989011,84.5,302.5
23,45,167.0,189.42857142857142,86.0,298.5
