hour,minute,median,mean,percentile_25,percentile_75
0,0,123.5,138.91304347826087,75.75,164.0
0,15,122.5,139.3804347826087,76.75,163.25
0,30,120.5,139.6086956521739,80.25,161.75
0,45,120.5,139.92391304347825,80.5,164.0
1,0,122.0,140.8913043478261,76.5,171.0
1,15,123.5,141.7173913043478,75.0,171.0
1,30,123.0,141.70652173913044,78.75,171.25
1,45,121.5,142.42391304347825,79.25,171.5
2,0,118.0,143.69230769230768,82.0,183.5
2,15,117.0,143.67032967032966,82.5,185.0
2,30,117.0,143.0879120879121,82.0,187.5
2,45,116.0,142.74725274725276,79.5,188.0
3,0,116.5,142.77173913043478,78.75,189.25
3,15,116.0,142.94565217391303,78.0,190.25
3,30,118.5,142.47826086956522,79.0,191.0
3,45,121.5,142.6195652173913,79.75,191.25
4,0,123.5,143.83695652173913,80.75,191.25
4,15,126.0,143.92391304347825,80.75,193.5
4,30,126.0,146.04347826086956,81.5,195.25
4,45,124.0,145.82608695652175,82.75,193.75
5,0,124.5,146.0,79.75,197.25
5,15,123.5,146.18478260869566,77.75,195.5
5,30,121.0,145.69565217391303,77.75,195.5
5,45,119.0,144.8586956521739,78.0,195.25
6,0,117.0,144.55434782608697,77.0,195.0
6,15,118.5,145.1195652173913,73.75,192.0
6,30,119.5,145.92391304347825,75.75,189.5
6,45,120.0,144.75,72.75,186.25
7,0,121.0,145.07608695652175,73.0,183.0
7,15,120.0,146.47826086956522,69.75,181.0
7,30,119.5,146.40217391304347,66.5,183.75
7,45,120.0,146.41304347826087,64.5,184.75
8,0,118.0,145.43478260869566,60.75,183.0
8,15,117.0,143.93478260869566,58.75,179.5
8,30,116.0,143.84782608695653,58.75,176.0
8,45,115.0,143.7608695652174,58.75,178.75
9,0,113.0,142.79347826086956,59.5,180.25
9,15,114.0,142.69565217391303,57.75,178.25
9,30,114.0,142.2173913043478,55.75,178.0
9,45,113.0,141.8695652173913,53.75,177.25
10,0,115.0,142.3695652173913,51.5,176.5
10,15,115.0,142.69565217391303,48.75,177.5
10,30,113.0,143.40217391304347,47.25,180.5
10,45,112.0,143.81521739130434,46.5,185.25
11,0,112.5,143.6086956521739,47.0,188.25
11,15,113.0,144.1304347826087,46.75,186.75
11,30,112.5,145.2826086956522,50.5,186.75
11,45,113.5,145.8586956521739,53.5,187.5
12,0,112.0,146.17391304347825,52.5,187.75
12,15,112.0,146.9891304347826,51.5,189.25
12,30,112.0,146.75,51.5,193.0
12,45,112.5,147.3695652173913,51.75,196.5
13,0,112.0,148.97826086956522,54.25,198.25
13,15,110.5,149.8804347826087,54.0,198.25
13,30,110.5,150.47826086956522,57.25,197.25
13,45,111.0,148.72826086956522,57.0,198.5
14,0,112.0,150.0108695652174,55.5,201.0
14,15,114.0,151.06521739130434,54.0,203.75
14,30,114.5,151.80434782608697,55.5,205.75
14,45,114.5,152.58695652173913,59.25,205.75
15,0,115.5,153.1304347826087,60.0,205.25
15,15,115.0,152.8695652173913,60.75,201.0
15,30,114.5,152.47826086956522,65.0,195.75
15,45,115.5,152.8695652173913,68.0,195.75
16,0,117.5,153.68478260869566,69.0,193.5
16,15,116.0,153.70652173913044,67.0,191.75
16,30,119.5,153.5326086956522,65.75,195.25
16,45,120.0,153.05434782608697,62.75,195.75
17,0,120.5,152.8913043478261,62.5,193.0
17,15,122.0,151.97826086956522,64.0,193.25
17,30,124.5,150.6304347826087,64.5,189.5
17,45,125.0,149.95652173913044,65.0,185.0
18,0,124.5,148.8804347826087,64.5,181.5
18,15,123.5,148.09782608695653,63.25,178.5
18,30,123.0,147.33695652173913,61.0,177.5
18,45,121.0,147.1195652173913,59.0,178.5
19,0,121.5,147.15217391304347,59.75,180.0
19,15,118.0,147.18478260869566,57.0,178.75
19,30,115.5,146.6195652173913,59.0,175.0
19,45,114.0,146.8804347826087,59.0,172.75
20,0,114.5,146.27173913043478,57.0,170.75
20,15,118.5,146.2608695652174,56.5,169.75
20,30,122.0,145.0108695652174,57.75,169.25
20,45,122.5,144.3695652173913,57.25,169.0
21,0,121.5,143.55434782608697,57.25,169.0
21,15,123.0,143.1086956521739,59.0,168.25
21,30,118.5,142.25,56.75,166.75
21,45,114.0,140.72826086956522,59.0,165.75
22,0,111.0,139.44565217391303,59.75,169.25
22,15,112.5,139.33695652173913,58.75,170.0
22,30,111.5,139.9891304347826,59.75,168.25
22,45,110.0,141.0,61.0,170.25
23,0,114.0,142.1413043478261,63.5,169.5
23,15,115.5,142.55434782608697,66.0,169.0
23,30,119.5,142.18478260869566,69.0,164.5
23,45,121.5,141.9891304347826,69.0,162.5
