hour,minute,median,mean,percentile_25,percentile_75
0,0,11322.5,11295.684782608696,10872.25,11751.75
0,15,11128.0,11106.869565217392,10699.25,11523.75
0,30,10910.0,10913.565217391304,10528.0,11331.75
0,45,10737.0,10739.239130434782,10371.5,11119.0
1,0,10565.5,10585.130434782608,10239.25,10969.75
1,15,10451.0,10462.478260869566,10119.25,10830.5
1,30,10334.0,10352.83695652174,10029.5,10718.75
1,45,10247.5,10253.5,9946.5,10602.75
2,0,10173.0,10179.108695652174,9880.5,10530.25
2,15,10109.0,10121.16304347826,9805.5,10451.75
2,30,10062.0,10060.108695652174,9752.75,10402.5
2,45,9993.0,10014.271739130434,9695.5,10347.75
3,0,9967.0,9986.021739130434,9659.5,10315.75
3,15,9938.5,9952.282608695652,9608.0,10273.75
3,30,9921.0,9917.021739130434,9572.5,10251.5
3,45,9892.5,9892.739130434782,9533.0,10231.75
4,0,9922.5,9898.108695652174,9552.25,10235.75
4,15,9924.0,9903.989130434782,9553.75,10242.0
4,30,9934.5,9906.130434782608,9551.5,10236.5
4,45,9949.0,9913.891304347826,9549.5,10234.0
5,0,10047.0,9956.532608695652,9669.25,10292.25
5,15,10049.5,9975.076086956522,9660.25,10303.75
5,30,10183.5,10045.217391304348,9713.5,10425.75
5,45,10303.5,10140.5,9743.25,10554.5
6,0,10610.5,10372.260869565218,9886.75,10893.0
6,15,10841.0,10575.565217391304,10014.25,11206.0
6,30,11102.5,10794.54347826087,10030.0,11499.75
6,45,11394.0,11028.347826086956,10127.5,11834.0
7,0,11814.0,11406.195652173914,10355.0,12364.25
7,15,12143.0,11700.58695652174,10544.75,12752.25
7,30,12510.0,12017.934782608696,10752.5,13156.75
7,45,12838.5,12307.097826086956,10946.75,13525.5
8,0,13165.5,12593.271739130434,11222.75,13872.0
8,15,13413.0,12810.33695652174,11465.25,14051.25
8,30,13640.0,13010.91304347826,11722.25,14294.0
8,45,13825.0,13193.326086956522,11965.0,14512.25
9,0,13955.0,13342.358695652174,12222.75,14631.0
9,15,14089.5,13443.141304347826,12400.5,14756.5
9,30,14138.0,13489.684782608696,12548.75,14727.25
9,45,14184.5,13554.554347826086,12667.75,14792.75
10,0,14189.5,13595.54347826087,12705.0,14836.0
10,15,14205.0,13603.565217391304,12735.25,14846.25
10,30,14211.0,13619.271739130434,12766.25,14877.5
10,45,14221.0,13632.358695652174,12763.25,14882.25
11,0,14238.0,13646.902173913044,12740.25,14865.75
11,15,14219.0,13644.695652173914,12745.0,14839.5
11,30,14219.0,13641.79347826087,12687.25,14820.0
11,45,14173.0,13645.010869565218,12673.25,14827.75
12,0,14056.5,13598.869565217392,12601.0,14758.25
12,15,14001.5,13542.282608695652,12542.0,14676.5
12,30,13899.5,13477.108695652174,12463.25,14598.0
12,45,13881.0,13465.065217391304,12385.25,14594.25
13,0,13921.5,13509.369565217392,12334.25,14710.0
13,15,13994.5,13544.467391304348,12273.0,14770.0
13,30,13997.0,13530.402173913044,12179.0,14799.25
13,45,13987.0,13501.717391304348,12126.5,14768.25
14,0,13993.5,13461.315217391304,12047.75,14698.0
14,15,13979.5,13442.380434782608,11989.25,14708.25
14,30,13951.5,13404.576086956522,11896.75,14671.0
14,45,13930.5,13380.239130434782,11831.75,14660.0
15,0,13864.0,13341.641304347826,11765.25,14597.75
15,15,13839.0,13336.010869565218,11779.5,14594.0
15,30,13874.5,13357.032608695652,11775.0,14652.0
15,45,13884.5,13369.097826086956,11824.5,14637.5
16,0,13872.0,13361.945652173914,11850.5,14616.25
16,15,13842.0,13359.152173913044,11868.25,14594.75
16,30,13859.5,13385.010869565218,11869.5,14562.25
16,45,13971.0,13480.771739130434,11968.75,14653.75
17,0,13977.5,13530.728260869566,12038.5,14634.25
17,15,14078.0,13620.358695652174,12133.25,14694.25
17,30,14118.0,13666.66304347826,12243.5,14706.0
17,45,14101.5,13698.097826086956,12353.25,14695.5
18,0,13899.0,13530.521739130434,12326.75,14456.5
18,15,13725.5,13399.58695652174,12276.75,14289.5
18,30,13619.0,13325.510869565218,12222.0,14219.25
18,45,13556.5,13298.554347826086,12190.75,14157.0
19,0,13462.0,13213.423913043478,12173.25,14050.75
19,15,13385.0,13159.076086956522,12131.75,13945.25
19,30,13341.0,13109.152173913044,12137.75,13864.0
19,45,13304.0,13107.195652173914,12139.0,13845.25
20,0,13201.0,13016.978260869566,12119.0,13730.0
20,15,13123.5,12941.847826086956,12062.0,13633.0
20,30,13015.5,12869.934782608696,11989.75,13543.25
20,45,12932.0,12827.804347826086,11958.5,13465.0
21,0,12860.0,12758.608695652174,11915.0,13371.0
21,15,12874.5,12716.967391304348,11960.0,13309.5
21,30,12784.5,12665.5,11927.5,13215.75
21,45,12743.5,12632.347826086956,11980.0,13119.25
22,0,12732.5,12572.032608695652,12038.25,13050.0
22,15,12655.5,12547.054347826086,11944.5,13062.25
22,30,12462.5,12427.478260869566,11878.5,12949.75
22,45,12298.5,12259.423913043478,11766.5,12762.5
23,0,12209.0,12152.347826086956,11597.75,12668.75
23,15,12030.5,11964.010869565218,11420.25,12465.25
23,30,11794.0,11742.04347826087,11256.0,12225.0
23,45,11572.5,11519.41304347826,11057.75,11989.25
