hour,minute,median,mean,percentile_25,percentile_75
0,0,105.5,124.18478260869566,58.75,182.5
0,15,107.0,124.97826086956522,60.75,179.25
0,30,110.5,125.1086956521739,61.25,175.5
0,45,113.5,125.26086956521739,60.75,174.75
1,0,110.5,126.18478260869566,61.0,174.5
1,15,108.5,126.3913043478261,61.75,173.0
1,30,109.5,126.79347826086956,62.0,171.5
1,45,113.0,127.42391304347827,62.25,170.5
2,0,111.0,122.97826086956522,46.0,164.5
2,15,109.5,122.68478260869566,46.25,167.75
2,30,109.5,122.69565217391305,47.0,167.5
2,45,109.0,122.6413043478261,47.75,166.5
3,0,109.5,122.57608695652173,48.0,164.5
3,15,108.0,122.79347826086956,48.25,161.75
3,30,107.0,123.27173913043478,48.0,160.75
3,45,109.0,123.84782608695652,49.0,163.0
4,0,110.0,124.53260869565217,51.0,167.75
4,15,112.5,124.97826086956522,53.0,171.5
4,30,111.5,125.1195652173913,54.0,173.75
4,45,106.0,125.0,55.0,176.25
5,0,104.5,124.65217391304348,56.25,175.0
5,15,104.0,124.41304347826087,55.75,178.5
5,30,102.0,123.75,54.75,180.5
5,45,102.5,123.25,53.75,179.25
6,0,99.5,122.78260869565217,52.75,178.5
6,15,99.5,122.29347826086956,51.25,177.5
6,30,98.0,122.27173913043478,49.0,175.5
6,45,97.0,121.90217391304348,48.5,178.25
7,0,93.5,121.03260869565217,46.25,174.0
7,15,92.0,119.92391304347827,41.75,172.75
7,30,91.0,118.75,38.0,168.0
7,45,90.0,117.45652173913044,37.25,167.25
8,0,90.5,116.17391304347827,34.5,170.5
8,15,90.5,115.8695652173913,32.75,171.5
8,30,91.0,115.77173913043478,32.0,172.25
8,45,93.5,115.73913043478261,32.0,174.25
9,0,94.0,115.71739130434783,32.0,175.5
9,15,94.5,116.5,31.75,178.25
9,30,95.5,117.79347826086956,32.0,184.75
9,45,96.0,119.1304347826087,31.5,187.25
10,0,96.5,120.59782608695652,31.25,187.5
10,15,98.0,121.8804347826087,31.5,189.0
10,30,97.0,122.57608695652173,30.75,192.5
10,45,97.0,123.65217391304348,30.75,196.0
11,0,96.5,124.46739130434783,30.75,200.75
11,15,96.0,125.66304347826087,31.5,206.25
11,30,97.5,127.3913043478261,34.75,207.75
11,45,99.0,128.59782608695653,36.0,210.5
12,0,101.5,129.72826086956522,37.5,214.0
12,15,105.0,130.7173913043478,38.5,214.25
12,30,110.5,131.68478260869566,41.5,213.0
12,45,113.5,132.4891304347826,40.0,212.0
13,0,113.0,133.1195652173913,38.0,211.5
13,15,113.5,133.70652173913044,37.5,209.5
13,30,114.5,134.22826086956522,38.25,209.5
13,45,115.5,134.65217391304347,39.0,210.0
14,0,117.5,134.6413043478261,39.5,210.0
14,15,119.5,134.67391304347825,41.75,207.5
14,30,120.5,134.6195652173913,45.75,203.25
14,45,121.0,134.72826086956522,50.0,199.5
15,0,121.0,134.81521739130434,50.75,196.75
15,15,119.0,134.8913043478261,50.0,199.25
15,30,119.5,134.7391304347826,50.5,199.0
15,45,118.5,134.52173913043478,49.5,196.0
16,0,115.5,134.05434782608697,49.5,193.75
16,15,115.5,134.0108695652174,51.75,191.5
16,30,114.5,133.93478260869566,54.25,190.25
16,45,114.0,134.0326086956522,53.75,189.25
17,0,109.5,133.84782608695653,53.5,191.5
17,15,111.0,133.27173913043478,53.0,196.25
17,30,111.5,132.18478260869566,52.75,196.5
17,45,109.5,131.1304347826087,52.0,198.25
18,0,102.5,130.42391304347825,49.75,195.25
18,15,103.0,129.5,50.0,193.25
18,30,103.0,128.42391304347825,53.75,188.25
18,45,103.0,127.53260869565217,53.5,184.0
19,0,99.0,126.70652173913044,52.0,181.0
19,15,98.5,126.8586956521739,51.25,182.0
19,30,98.5,127.15217391304348,51.0,186.75
19,45,98.0,126.8586956521739,51.75,188.75
20,0,98.5,126.82608695652173,48.75,187.75
20,15,103.5,126.78260869565217,49.0,186.75
20,30,104.5,126.67391304347827,47.75,183.0
20,45,103.0,126.23913043478261,48.75,181.0
21,0,102.5,125.78260869565217,49.0,179.25
21,15,97.5,125.6086956521739,49.0,177.25
21,30,98.5,125.34782608695652,49.5,176.5
21,45,97.5,124.8804347826087,50.5,172.25
22,0,93.5,124.48913043478261,51.75,176.0
22,15,93.0,124.51086956521739,52.75,178.75
22,30,95.5,125.07608695652173,51.75,179.25
22,45,97.0,125.80434782608695,53.75,183.0
23,0,100.5,126.40217391304348,56.5,184.25
23,15,103.0,126.97826086956522,57.5,184.25
23,30,104.0,127.57608695652173,57.75,184.25
23,45,105.0,128.1195652173913,58.75,185.25
