hour,minute,median,mean,percentile_25,percentile_75
0,0,12178.5,12149.455555555556,11795.25,12627.0
0,15,12152.0,12138.011111111111,11772.25,12611.25
0,30,12156.5,12071.644444444444,11677.75,12541.25
0,45,12006.0,11936.211111111112,11552.5,12370.0
1,0,11808.0,11760.711111111112,11396.0,12160.5
1,15,11634.5,11615.244444444445,11229.75,12015.75
1,30,11535.0,11506.522222222222,11146.25,11920.75
1,45,11380.0,11377.077777777778,11002.25,11768.75
2,0,11272.5,11269.222222222223,10888.0,11650.5
2,15,11219.0,11208.3,10818.0,11618.75
2,30,11188.5,11146.977777777778,10756.5,11551.25
2,45,11168.0,11086.044444444444,10715.0,11480.0
3,0,11128.5,11042.388888888889,10682.0,11435.0
3,15,11107.5,11017.166666666666,10632.25,11415.25
3,30,11097.0,10991.81111111111,10607.0,11401.5
3,45,11061.0,10965.988888888889,10551.25,11412.75
4,0,11048.0,10968.711111111112,10575.25,11413.25
4,15,11106.5,11008.166666666666,10609.5,11441.0
4,30,11192.0,11053.777777777777,10670.5,11499.0
4,45,11253.5,11098.622222222222,10733.75,11532.5
5,0,11321.0,11177.077777777778,10838.75,11613.75
5,15,11472.0,11319.577777777778,10965.5,11771.75
5,30,11667.5,11500.622222222222,11155.75,11978.5
5,45,11867.0,11710.41111111111,11392.0,12231.0
6,0,12105.5,11994.266666666666,11642.0,12627.5
6,15,12571.5,12394.58888888889,11939.25,13125.75
6,30,13103.5,12790.733333333334,12218.25,13618.0
6,45,13593.5,13190.166666666666,12527.25,14157.75
7,0,14254.0,13654.955555555556,12779.0,14802.0
7,15,14947.5,14234.41111111111,13119.0,15577.75
7,30,15623.0,14798.633333333333,13432.25,16318.25
7,45,16257.5,15265.333333333334,13744.5,16920.0
8,0,16669.0,15651.077777777778,13970.75,17400.25
8,15,17007.5,15968.18888888889,14176.5,17701.25
8,30,17273.0,16246.766666666666,14541.0,17918.25
8,45,17429.5,16444.62222222222,14738.0,18064.75
9,0,17657.0,16578.355555555554,14987.25,18193.75
9,15,17755.5,16744.955555555556,15320.0,18270.5
9,30,17841.0,16872.966666666667,15557.0,18369.75
9,45,17850.5,16950.32222222222,15816.0,18393.75
10,0,17882.5,16993.3,15958.25,18367.5
10,15,17863.5,17012.366666666665,16036.0,18322.0
10,30,17853.0,17035.433333333334,16128.25,18307.75
10,45,17828.5,17074.6,16187.5,18321.25
11,0,17802.0,17060.911111111112,16184.0,18306.25
11,15,17778.0,17046.31111111111,16159.25,18287.75
11,30,17613.0,16933.633333333335,16020.25,18181.75
11,45,17655.5,16990.2,16125.25,18136.75
12,0,17600.0,16961.21111111111,16039.5,18056.25
12,15,17507.5,16902.3,15950.75,17985.0
12,30,17379.0,16798.3,15808.75,17727.0
12,45,17269.5,16722.911111111112,15623.5,17791.0
13,0,17242.5,16714.0,15580.5,17843.5
13,15,17361.5,16771.37777777778,15611.5,17907.0
13,30,17406.0,16794.022222222222,15634.5,17961.25
13,45,17329.5,16759.544444444444,15589.75,17947.5
14,0,17249.0,16732.78888888889,15615.25,17883.5
14,15,17192.0,16719.31111111111,15637.25,17862.25
14,30,17174.5,16700.855555555554,15632.75,17822.5
14,45,17198.0,16713.755555555555,15613.75,17835.75
15,0,17209.5,16740.87777777778,15613.5,17827.0
15,15,17215.5,16745.911111111112,15594.25,17820.0
15,30,17276.0,16794.866666666665,15601.75,17873.75
15,45,17402.0,16871.422222222223,15619.75,17979.5
16,0,17444.5,16905.21111111111,15617.0,17983.75
16,15,17532.5,16922.644444444446,15590.5,17918.0
16,30,17580.0,17061.144444444446,15781.75,18049.75
16,45,17742.0,17285.244444444445,16099.25,18312.75
17,0,17873.5,17533.555555555555,16371.5,18649.5
17,15,18040.0,17598.777777777777,16357.0,18738.5
17,30,18382.5,17797.744444444445,16583.75,18898.5
17,45,18394.5,17842.766666666666,16657.75,18846.0
18,0,18138.5,17595.644444444446,16465.25,18510.25
18,15,17495.0,16998.68888888889,15944.75,17925.75
18,30,17228.5,16781.033333333333,15798.5,17765.5
18,45,17120.5,16658.522222222222,15655.0,17644.0
19,0,16985.5,16535.633333333335,15534.5,17538.25
19,15,16841.5,16363.711111111112,15429.0,17369.25
19,30,16609.0,16188.644444444444,15252.5,17140.5
19,45,16422.5,16038.033333333333,15109.5,16983.75
20,0,16309.5,15887.944444444445,14954.5,16828.0
20,15,16017.0,15683.266666666666,14777.25,16602.75
20,30,15735.5,15441.466666666667,14605.25,16361.75
20,45,15495.5,15187.755555555555,14344.25,16083.0
21,0,15236.5,14965.31111111111,14194.0,15853.25
21,15,15068.0,14817.9,14081.25,15628.75
21,30,14798.0,14576.977777777778,13885.75,15324.25
21,45,14505.5,14304.922222222222,13680.75,15005.75
22,0,14219.0,14038.666666666666,13494.25,14695.0
22,15,13923.5,13791.0,13355.25,14388.0
22,30,13620.5,13511.488888888889,13090.5,14056.5
22,45,13336.5,13218.111111111111,12838.75,13756.75
23,0,13061.0,12992.122222222222,12604.0,13522.0
23,15,12921.5,12863.933333333332,12427.25,13388.75
23,30,12664.5,12636.677777777777,12228.5,13162.75
23,45,12402.0,12356.08888888889,11992.5,12876.25
