hour,minute,median,mean,percentile_25,percentile_75
0,0,563.0,515.8,294.75,734.75
0,15,547.0,515.1888888888889,290.75,733.75
0,30,522.0,514.3333333333334,287.25,732.75
0,45,514.0,513.4111111111112,293.5,735.75
1,0,521.5,512.6444444444444,300.0,731.0
1,15,530.0,511.6333333333333,293.75,739.0
1,30,528.5,510.73333333333335,284.75,738.75
1,45,526.5,509.76666666666665,277.25,738.0
2,0,525.0,508.8222222222222,263.5,737.5
2,15,521.5,507.31111111111113,254.25,741.25
2,30,515.0,505.1111111111111,258.25,748.0
2,45,508.5,503.0,259.5,755.75
3,0,512.5,500.8222222222222,245.75,760.0
3,15,516.0,499.84444444444443,254.25,761.5
3,30,514.5,500.1111111111111,262.5,759.75
3,45,513.0,500.4555555555556,267.25,758.75
4,0,511.0,500.72222222222223,267.5,757.0
4,15,504.5,500.0444444444444,270.0,759.25
4,30,498.5,498.3777777777778,270.0,764.0
4,45,498.0,496.68888888888887,274.75,769.0
5,0,498.0,495.03333333333336,279.5,775.0
5,15,494.5,493.97777777777776,278.75,775.5
5,30,490.0,493.7,282.5,776.0
5,45,496.5,493.3777777777778,276.0,776.75
6,0,503.5,493.05555555555554,272.25,778.25
6,15,498.0,492.26666666666665,269.0,778.5
6,30,492.5,491.05555555555554,260.0,777.0
6,45,486.0,489.8666666666667,258.5,775.75
7,0,483.0,488.5888888888889,261.5,773.75
7,15,478.5,487.8,265.5,773.75
7,30,485.0,487.3666666666667,273.75,774.0
7,45,494.0,486.93333333333334,280.5,775.25
8,0,483.5,486.4555555555556,282.0,775.75
8,15,472.0,485.24444444444447,281.75,770.0
8,30,459.5,483.23333333333335,279.75,764.5
8,45,461.5,481.3777777777778,271.5,758.0
9,0,466.0,479.4111111111111,265.5,750.75
9,15,470.0,477.72222222222223,258.25,746.5
9,30,475.0,476.1222222222222,241.25,749.25
9,45,491.0,474.5,233.25,737.75
10,0,507.5,472.96666666666664,217.25,729.5
10,15,501.0,472.18888888888887,210.25,725.5
10,30,489.5,472.3666666666667,205.25,728.0
10,45,490.5,472.5777777777778,200.75,736.75
11,0,492.0,472.7,195.5,739.5
11,15,490.0,472.5888888888889,190.5,753.75
11,30,489.5,472.24444444444447,185.5,757.0
11,45,489.5,471.9222222222222,179.75,754.0
12,0,500.5,471.5888888888889,178.75,751.0
12,15,502.0,471.0888888888889,184.25,745.25
12,30,500.0,470.25555555555553,190.5,739.75
12,45,504.0,469.4222222222222,178.75,737.0
13,0,508.0,468.6222222222222,171.75,732.5
13,15,513.5,468.5444444444444,163.75,734.25
13,30,521.5,469.4,162.25,738.0
13,45,529.5,470.25555555555553,159.75,748.5
14,0,537.0,471.05555555555554,157.25,758.5
14,15,529.5,471.8,154.5,767.25
14,30,529.0,472.46666666666664,151.75,775.25
14,45,535.0,473.03333333333336,153.5,783.25
15,0,538.5,473.74444444444447,155.25,790.75
15,15,538.5,475.5444444444444,160.25,793.75
15,30,538.0,478.4111111111111,170.0,797.0
15,45,543.0,481.3222222222222,182.5,797.75
16,0,549.0,484.2888888888889,186.5,800.25
16,15,551.5,487.0888888888889,187.0,803.75
16,30,540.5,489.9222222222222,189.0,809.0
16,45,544.0,492.6777777777778,194.0,816.25
17,0,551.5,495.44444444444446,193.25,819.75
17,15,558.0,498.31111111111113,197.75,824.25
17,30,560.0,501.3888888888889,202.25,822.75
17,45,561.0,504.3666666666667,201.75,823.0
18,0,547.0,507.3777777777778,210.25,824.0
18,15,535.5,509.76666666666665,220.75,823.25
18,30,528.0,511.4111111111111,236.25,821.25
18,45,520.5,513.0777777777778,251.5,819.25
19,0,520.5,514.6777777777778,259.5,816.75
19,15,526.0,516.5888888888888,259.25,815.75
19,30,531.5,518.4888888888889,258.75,811.0
19,45,541.0,520.4,263.75,805.5
20,0,547.0,522.2777777777778,263.25,804.75
20,15,548.0,523.5888888888888,268.75,804.5
20,30,554.0,524.4444444444445,262.0,801.0
20,45,559.0,525.1222222222223,254.75,799.5
21,0,564.5,525.9222222222222,250.5,793.25
21,15,565.0,526.0222222222222,249.5,786.5
21,30,565.5,525.4333333333333,258.25,779.25
21,45,563.0,524.7555555555556,267.5,773.75
22,0,581.5,524.1222222222223,275.75,781.25
22,15,593.5,523.7,273.25,768.0
22,30,599.0,523.5222222222222,268.5,759.0
22,45,601.0,523.2777777777778,269.0,763.5
23,0,595.0,523.0777777777778,270.25,767.75
23,15,591.0,522.5888888888888,272.5,768.0
23,30,591.0,521.9555555555555,274.25,747.75
23,45,587.0,521.3333333333334,273.5,747.75
