hour,minute,median,mean,percentile_25,percentile_75
0,0,668.0,841.1758241758242,468.5,1171.5
0,15,661.0,839.9010989010989,460.5,1176.0
0,30,654.0,839.0769230769231,454.0,1163.0
0,45,659.0,838.4065934065934,463.5,1170.0
1,0,691.0,844.4395604395604,469.5,1180.0
1,15,667.0,843.4945054945055,467.0,1160.5
1,30,675.0,843.3956043956044,469.0,1142.0
1,45,678.0,843.0989010989011,456.5,1124.0
2,0,723.0,845.554347826087,454.75,1121.0
2,15,738.5,844.8369565217391,459.5,1138.5
2,30,729.5,843.6413043478261,474.75,1129.75
2,45,740.0,842.1521739130435,484.25,1158.0
3,0,761.0,838.3846153846154,477.0,1191.5
3,15,782.0,836.6593406593406,459.5,1206.5
3,30,788.0,835.0769230769231,446.0,1183.0
3,45,810.0,833.2197802197802,435.0,1140.0
4,0,829.0,831.3956043956044,424.5,1124.5
4,15,850.0,829.2747252747253,410.5,1111.0
4,30,856.0,827.6923076923077,391.0,1113.0
4,45,831.0,825.6593406593406,377.0,1117.5
5,0,818.0,823.7802197802198,365.5,1127.0
5,15,802.0,820.010989010989,349.5,1122.0
5,30,753.0,814.5824175824176,334.5,1119.0
5,45,768.0,809.2747252747253,320.0,1121.0
6,0,760.0,803.967032967033,306.5,1111.5
6,15,722.0,799.4945054945055,293.0,1108.5
6,30,687.0,796.4395604395604,290.5,1114.0
6,45,717.0,793.5384615384615,283.5,1144.0
7,0,700.0,790.4065934065934,277.5,1157.5
7,15,681.0,788.5934065934066,269.0,1175.0
7,30,670.0,787.8681318681319,260.5,1195.5
7,45,662.0,787.1978021978022,253.0,1214.0
8,0,652.0,786.4175824175824,250.5,1225.0
8,15,659.0,787.9120879120879,245.0,1235.0
8,30,666.0,791.8791208791209,244.0,1240.0
8,45,696.0,795.8021978021978,236.0,1263.0
9,0,714.0,799.7692307692307,220.5,1287.5
9,15,724.0,804.4505494505495,223.5,1283.5
9,30,725.0,810.0879120879121,224.0,1286.0
9,45,727.0,815.5054945054945,225.5,1306.5
10,0,727.0,821.2307692307693,233.5,1327.5
10,15,732.0,826.2417582417582,230.5,1355.5
10,30,738.0,831.065934065934,234.5,1374.0
10,45,724.0,835.6813186813187,230.5,1384.5
11,0,722.0,840.4175824175824,237.0,1413.5
11,15,712.0,845.5384615384615,257.0,1442.5
11,30,702.0,850.4725274725274,272.0,1464.0
11,45,687.0,855.5824175824176,274.0,1477.5
12,0,675.0,860.5164835164835,272.0,1482.5
12,15,667.0,863.6703296703297,270.0,1474.0
12,30,661.0,865.2087912087912,266.5,1460.0
12,45,640.0,866.5494505494505,258.0,1441.0
13,0,659.0,868.2197802197802,251.0,1410.0
13,15,646.0,867.8131868131868,244.5,1392.0
13,30,673.0,865.945054945055,240.5,1378.5
13,45,675.0,864.065934065934,247.5,1387.0
14,0,675.0,861.9230769230769,247.5,1406.0
14,15,679.0,859.4835164835165,247.5,1407.5
14,30,678.0,855.6153846153846,249.5,1371.5
14,45,641.0,852.0879120879121,249.5,1361.5
15,0,669.0,848.5934065934066,255.5,1320.5
15,15,675.0,846.5934065934066,253.5,1308.5
15,30,675.0,846.6043956043956,251.5,1330.5
15,45,701.0,846.5604395604396,247.0,1322.5
16,0,736.0,846.4505494505495,250.5,1297.0
16,15,706.0,847.010989010989,259.0,1286.0
16,30,691.0,847.8571428571429,271.0,1304.5
16,45,657.0,848.8901098901099,278.5,1326.5
17,0,623.0,849.989010989011,280.5,1352.0
17,15,643.0,851.6263736263736,291.5,1343.0
17,30,609.0,853.8681318681319,304.0,1330.5
17,45,632.0,856.3186813186813,320.5,1310.5
18,0,654.0,858.6923076923077,330.5,1298.0
18,15,673.0,860.5934065934066,327.5,1326.5
18,30,665.0,861.4945054945055,339.0,1326.5
18,45,657.0,862.4615384615385,336.0,1319.0
19,0,651.0,863.2527472527472,324.0,1307.5
19,15,646.0,863.8571428571429,312.5,1287.0
19,30,641.0,864.2087912087912,313.5,1277.5
19,45,646.0,864.5494505494505,321.5,1270.0
20,0,651.0,864.945054945055,332.0,1272.5
20,15,626.0,865.2087912087912,340.5,1247.0
20,30,643.0,865.5824175824176,338.0,1198.5
20,45,659.0,865.6263736263736,337.0,1166.5
21,0,675.0,865.7582417582418,324.5,1160.0
21,15,690.0,863.7582417582418,343.5,1160.5
21,30,696.0,859.0,365.0,1165.5
21,45,703.0,854.3186813186813,374.0,1201.0
22,0,707.0,849.3846153846154,382.0,1186.0
22,15,706.0,845.7912087912088,382.0,1189.0
22,30,700.0,842.3186813186813,385.0,1168.0
22,45,695.0,839.0,387.0,1153.0
23,0,673.0,835.7912087912088,389.5,1145.5
23,15,682.0,833.5274725274726,401.0,1103.0
23,30,693.0,832.3846153846154,405.0,1079.5
23,45,673.0,831.5054945054945,409.5,1074.0
