hour,minute,median,mean,percentile_25,percentile_75
0,0,11687.0,11609.630434782608,11341.75,11907.75
0,15,11482.5,11446.358695652174,11184.0,11737.0
0,30,11311.0,11297.45652173913,11036.5,11586.25
0,45,11160.0,11153.032608695652,10896.25,11423.25
1,0,11034.5,11032.684782608696,10775.25,11285.5
1,15,10955.5,10940.054347826086,10671.75,11186.75
1,30,10813.5,10849.010869565218,10574.5,11096.5
1,45,10748.0,10752.25,10512.75,11003.0
2,0,10702.0,10737.87912087912,10467.0,10963.5
2,15,10680.0,10709.373626373626,10430.0,10927.5
2,30,10645.0,10669.296703296703,10384.0,10900.5
2,45,10591.0,10632.21978021978,10346.5,10859.5
3,0,10576.0,10621.869565217392,10336.5,10890.0
3,15,10569.0,10612.032608695652,10322.5,10879.75
3,30,10550.5,10591.33695652174,10289.5,10874.0
3,45,10518.0,10579.576086956522,10250.25,10871.25
4,0,10558.0,10611.760869565218,10271.75,10943.75
4,15,10584.5,10635.75,10278.25,10967.25
4,30,10606.0,10655.152173913044,10301.75,11004.5
4,45,10643.5,10688.260869565218,10345.0,11052.0
5,0,10771.5,10783.91304347826,10455.5,11189.25
5,15,10909.0,10867.608695652174,10502.5,11296.0
5,30,11052.0,10983.184782608696,10562.0,11462.25
5,45,11197.0,11116.521739130434,10654.75,11709.75
6,0,11481.5,11408.565217391304,10815.5,12136.25
6,15,11757.5,11650.673913043478,10999.0,12496.25
6,30,12011.0,11883.29347826087,11083.25,12894.0
6,45,12280.5,12123.554347826086,11196.5,13234.5
7,0,12691.5,12491.978260869566,11373.5,13695.0
7,15,13000.0,12767.217391304348,11516.25,14036.75
7,30,13322.5,13043.217391304348,11650.5,14378.5
7,45,13568.0,13277.70652173913,11770.25,14594.75
8,0,13803.0,13485.489130434782,11909.5,14785.75
8,15,13931.0,13606.826086956522,12054.75,14820.5
8,30,14102.5,13719.228260869566,12282.5,14933.75
8,45,14238.0,13809.75,12470.25,14921.25
9,0,14252.0,13846.021739130434,12673.0,14827.5
9,15,14228.5,13858.380434782608,12906.25,14817.75
9,30,14129.0,13818.489130434782,12923.25,14772.25
9,45,14045.5,13804.29347826087,13011.0,14769.75
10,0,13986.5,13750.630434782608,12921.0,14673.0
10,15,13934.5,13681.804347826086,12808.75,14677.75
10,30,13827.0,13626.532608695652,12743.25,14638.0
10,45,13719.5,13587.815217391304,12687.25,14625.25
11,0,13634.0,13527.478260869566,12640.0,14580.0
11,15,13556.0,13472.217391304348,12531.25,14465.25
11,30,13496.0,13429.565217391304,12465.75,14483.25
11,45,13462.0,13406.641304347826,12404.0,14579.5
12,0,13375.5,13329.978260869566,12298.75,14481.5
12,15,13270.5,13250.076086956522,12203.25,14388.25
12,30,13126.5,13155.75,12104.75,14228.5
12,45,13068.0,13117.184782608696,12090.5,14202.0
13,0,13116.5,13127.902173913044,12083.5,14206.5
13,15,13149.0,13137.91304347826,12102.25,14267.25
13,30,13126.5,13114.554347826086,12051.5,14262.0
13,45,13140.5,13095.347826086956,11960.0,14245.0
14,0,13096.0,13056.554347826086,11931.0,14243.5
14,15,13080.5,13057.097826086956,11940.0,14255.5
14,30,13062.0,13045.184782608696,11928.25,14283.5
14,45,13092.0,13054.847826086956,11970.25,14337.5
15,0,13073.0,13040.260869565218,11992.75,14364.0
15,15,13117.5,13064.717391304348,12007.75,14397.0
15,30,13215.5,13114.271739130434,12081.0,14445.25
15,45,13265.5,13164.58695652174,12140.75,14441.25
16,0,13270.5,13200.358695652174,12190.75,14447.5
16,15,13334.0,13277.554347826086,12294.75,14538.5
16,30,13446.0,13381.271739130434,12409.0,14592.25
16,45,13655.0,13566.304347826086,12563.0,14744.75
17,0,13845.5,13723.630434782608,12695.75,14845.75
17,15,14048.0,13904.402173913044,12900.5,14929.0
17,30,14159.5,14039.445652173914,13002.5,15056.75
17,45,14231.5,14128.141304347826,13093.75,15049.5
18,0,14103.0,14018.369565217392,13112.0,14861.5
18,15,14036.0,13976.239130434782,13037.0,14713.25
18,30,14016.5,13993.33695652174,12959.25,14697.75
18,45,14083.0,14072.521739130434,13033.25,14835.0
19,0,14052.5,14089.521739130434,13105.0,14854.0
19,15,14075.5,14103.5,13214.75,14811.75
19,30,14084.5,14081.652173913044,13202.75,14797.5
19,45,14094.0,14096.108695652174,13253.25,14876.5
20,0,14050.5,13998.521739130434,13184.25,14848.0
20,15,14019.5,13945.576086956522,13195.75,14759.0
20,30,13896.0,13886.119565217392,13145.0,14629.5
20,45,13861.5,13846.630434782608,13175.25,14603.25
21,0,13806.5,13730.880434782608,13099.0,14423.0
21,15,13765.5,13646.217391304348,13048.75,14258.75
21,30,13596.0,13503.434782608696,12946.0,14064.25
21,45,13446.0,13375.173913043478,12876.5,13871.0
22,0,13267.0,13165.565217391304,12725.25,13587.25
22,15,13054.0,12998.630434782608,12581.0,13411.25
22,30,12872.0,12793.391304347826,12405.0,13144.75
22,45,12671.5,12593.391304347826,12255.0,12906.25
23,0,12480.0,12425.010869565218,12115.25,12762.75
23,15,12259.5,12224.58695652174,11910.25,12555.0
23,30,12023.0,12012.75,11744.75,12333.0
23,45,11812.0,11807.673913043478,11553.75,12110.75
