hour,minute,median,mean,percentile_25,percentile_75
0,0,10059.0,10073.0,9637.75,10547.75
0,15,9890.5,9932.847826086956,9527.5,10393.0
0,30,9698.0,9769.695652173914,9389.0,10236.75
0,45,9524.0,9623.184782608696,9256.75,10081.25
1,0,9402.0,9500.717391304348,9123.0,9926.25
1,15,9262.5,9388.021739130434,9016.75,9805.25
1,30,9154.5,9283.608695652174,8922.25,9697.25
1,45,9075.5,9190.04347826087,8827.75,9603.25
2,0,9001.0,9120.04347826087,8750.75,9548.5
2,15,8963.5,9066.467391304348,8736.5,9496.75
2,30,8933.0,9017.45652173913,8689.0,9441.0
2,45,8872.0,8970.869565217392,8639.25,9397.25
3,0,8856.5,8939.847826086956,8607.5,9353.75
3,15,8857.0,8917.489130434782,8583.5,9320.25
3,30,8821.5,8888.021739130434,8562.75,9283.25
3,45,8795.0,8863.260869565218,8540.0,9261.5
4,0,8797.0,8853.945652173914,8521.0,9249.25
4,15,8805.0,8851.608695652174,8519.75,9265.25
4,30,8801.5,8848.619565217392,8520.5,9278.5
4,45,8803.5,8846.119565217392,8499.5,9264.25
5,0,8822.0,8857.402173913044,8498.75,9254.0
5,15,8843.0,8871.880434782608,8503.25,9276.0
5,30,8865.0,8883.260869565218,8476.25,9304.5
5,45,8931.5,8925.989130434782,8450.25,9396.25
6,0,9100.0,9018.282608695652,8455.25,9544.5
6,15,9318.5,9153.358695652174,8530.25,9753.75
6,30,9505.0,9285.815217391304,8628.0,9999.25
6,45,9694.0,9403.91304347826,8676.0,10197.5
7,0,9848.5,9517.445652173914,8663.0,10340.25
7,15,10035.5,9635.152173913044,8637.0,10539.0
7,30,10219.0,9761.880434782608,8619.5,10685.75
7,45,10344.5,9859.804347826086,8629.75,10848.25
8,0,10462.0,9925.945652173914,8610.25,10977.0
8,15,10491.5,9959.41304347826,8543.75,11034.75
8,30,10508.0,9993.217391304348,8533.5,11078.0
8,45,10500.5,10021.173913043478,8586.75,11131.25
9,0,10476.5,10028.91304347826,8614.5,11159.5
9,15,10415.5,10005.739130434782,8650.5,11148.0
9,30,10349.5,9962.902173913044,8717.75,11077.5
9,45,10245.0,9909.032608695652,8763.25,11028.25
10,0,10156.5,9857.315217391304,8787.5,10976.75
10,15,10070.5,9795.858695652174,8764.25,10870.0
10,30,9990.5,9737.619565217392,8719.75,10860.5
10,45,9891.0,9682.228260869566,8652.0,10837.75
11,0,9820.0,9629.83695652174,8603.0,10751.0
11,15,9759.0,9586.554347826086,8564.75,10672.5
11,30,9743.0,9548.923913043478,8480.75,10586.5
11,45,9826.0,9517.271739130434,8456.0,10527.75
12,0,9757.5,9482.880434782608,8442.5,10514.75
12,15,9589.5,9361.152173913044,8183.5,10426.0
12,30,9610.5,9368.858695652174,8338.5,10368.75
12,45,9413.5,9280.576086956522,8267.75,10307.5
13,0,9557.5,9303.402173913044,8231.25,10312.5
13,15,9620.0,9325.826086956522,8156.0,10355.75
13,30,9627.0,9328.021739130434,8143.75,10359.5
13,45,9604.5,9315.576086956522,8170.25,10331.75
14,0,9613.5,9311.010869565218,8151.5,10273.0
14,15,9603.0,9303.554347826086,8113.25,10243.25
14,30,9586.0,9285.25,8048.75,10233.75
14,45,9616.5,9281.673913043478,8010.0,10217.25
15,0,9673.5,9303.641304347826,8018.75,10209.5
15,15,9731.5,9309.402173913044,8020.25,10213.75
15,30,9807.5,9342.358695652174,8069.75,10261.0
15,45,9831.0,9394.228260869566,8146.75,10352.75
16,0,9839.5,9441.83695652174,8228.0,10432.0
16,15,9885.0,9500.54347826087,8322.25,10498.5
16,30,9942.5,9574.097826086956,8389.0,10549.75
16,45,10104.0,9693.239130434782,8528.0,10632.0
17,0,10264.5,9834.239130434782,8619.5,10749.75
17,15,10426.5,9985.58695652174,8727.75,10908.5
17,30,10587.5,10142.08695652174,8873.5,11043.5
17,45,10647.5,10266.152173913044,9018.25,11155.75
18,0,10709.5,10306.739130434782,9107.25,11155.5
18,15,10604.0,10291.652173913044,9189.25,11100.75
18,30,10563.0,10308.728260869566,9288.25,11102.5
18,45,10590.5,10352.33695652174,9363.25,11145.75
19,0,10629.0,10419.478260869566,9444.25,11212.75
19,15,10699.0,10515.79347826087,9591.0,11311.25
19,30,10772.5,10590.391304347826,9692.75,11371.5
19,45,10829.5,10659.641304347826,9817.25,11392.0
20,0,10882.5,10717.967391304348,9917.5,11440.0
20,15,10900.0,10774.510869565218,10032.25,11469.5
20,30,10921.5,10810.065217391304,10082.75,11503.0
20,45,10916.0,10806.108695652174,10069.0,11479.75
21,0,10896.0,10813.347826086956,10130.5,11437.0
21,15,10919.5,10831.847826086956,10246.0,11397.25
21,30,10915.0,10839.021739130434,10307.75,11381.25
21,45,10875.0,10826.95652173913,10306.5,11340.75
22,0,10869.5,10854.41304347826,10419.25,11357.75
22,15,10876.5,10881.445652173914,10396.75,11430.75
22,30,10821.0,10847.608695652174,10347.75,11450.75
22,45,10716.0,10734.739130434782,10262.0,11328.5
23,0,10624.0,10640.880434782608,10170.75,11217.0
23,15,10536.0,10559.95652173913,10077.5,11119.0
23,30,10351.5,10402.304347826086,9927.25,10944.5
23,45,10179.5,10240.902173913044,9808.5,10753.75
