hour,minute,median,mean,percentile_25,percentile_75
0,0,474.0,577.6086956521739,227.75,783.25
0,15,471.0,583.5652173913044,240.0,778.0
0,30,486.5,589.8913043478261,254.25,797.0
0,45,495.0,596.0869565217391,261.5,800.0
1,0,463.0,599.25,257.0,840.0
1,15,466.0,601.195652173913,264.25,835.0
1,30,481.0,601.0,274.25,823.25
1,45,484.0,600.6086956521739,262.25,811.5
2,0,478.5,600.1630434782609,261.0,810.75
2,15,465.5,599.9021739130435,272.5,828.75
2,30,454.0,600.5326086956521,276.75,825.5
2,45,462.5,600.6847826086956,267.0,812.25
3,0,471.0,600.9565217391304,262.75,807.5
3,15,466.0,601.4021739130435,262.0,805.0
3,30,465.5,601.5760869565217,261.25,790.0
3,45,481.0,602.0434782608696,263.75,774.75
4,0,485.0,602.5,265.75,786.25
4,15,479.5,599.2608695652174,267.75,796.25
4,30,468.5,593.1739130434783,267.75,802.5
4,45,460.0,586.8369565217391,259.75,800.75
5,0,450.5,580.4891304347826,253.0,792.0
5,15,453.5,574.4130434782609,246.0,777.5
5,30,452.5,568.4239130434783,243.75,755.75
5,45,442.5,562.3369565217391,240.0,745.75
6,0,425.0,556.304347826087,240.75,719.0
6,15,416.0,549.9239130434783,226.25,702.75
6,30,409.5,542.9891304347826,216.0,682.75
6,45,392.0,535.9130434782609,208.25,677.0
7,0,385.5,529.2608695652174,192.75,660.0
7,15,379.5,526.4673913043479,176.25,651.25
7,30,383.5,527.9782608695652,170.75,670.25
7,45,381.5,529.1195652173913,171.75,681.5
8,0,374.5,530.5978260869565,168.25,710.0
8,15,369.5,533.2065217391304,163.75,732.0
8,30,361.5,536.6521739130435,168.75,742.0
8,45,355.0,540.1195652173913,167.5,749.5
9,0,348.5,543.695652173913,162.75,748.5
9,15,343.5,547.9347826086956,160.75,745.0
9,30,339.5,552.3369565217391,164.0,735.5
9,45,338.5,556.75,168.75,718.5
10,0,342.5,561.4021739130435,168.0,711.0
10,15,343.0,566.1195652173913,164.75,719.75
10,30,366.0,571.0,165.25,715.75
10,45,386.5,575.9130434782609,164.5,712.25
11,0,391.5,580.7608695652174,163.75,742.25
11,15,398.0,586.2826086956521,180.0,741.5
11,30,411.0,592.6195652173913,190.5,751.75
11,45,421.0,599.0434782608696,196.75,763.25
12,0,418.5,605.5326086956521,198.75,768.0
12,15,425.0,611.75,203.25,770.75
12,30,431.0,618.4347826086956,199.75,773.25
12,45,444.0,625.195652173913,212.5,777.75
13,0,464.5,631.6630434782609,221.0,794.0
13,15,478.5,635.9782608695652,216.75,811.25
13,30,490.5,637.5108695652174,211.75,827.75
13,45,498.0,638.9239130434783,215.25,835.0
14,0,507.5,640.4239130434783,219.75,832.0
14,15,515.5,642.2717391304348,224.0,841.0
14,30,518.5,644.7173913043479,229.25,847.5
14,45,532.0,646.9565217391304,232.0,854.25
15,0,535.5,649.0869565217391,236.0,854.0
15,15,527.5,650.4239130434783,233.25,853.25
15,30,519.0,650.7173913043479,243.5,852.0
15,45,512.5,651.3152173913044,249.75,851.5
16,0,507.0,651.7173913043479,248.75,852.25
16,15,500.0,648.0978260869565,245.75,854.5
16,30,486.5,640.3695652173913,242.0,845.75
16,45,490.0,632.5,234.0,857.5
17,0,480.5,624.7282608695652,225.5,822.75
17,15,473.5,615.7608695652174,217.25,800.5
17,30,469.0,605.5,216.5,799.25
17,45,455.5,594.9565217391304,215.75,798.0
18,0,430.0,585.1847826086956,213.0,798.75
18,15,434.5,575.8586956521739,220.25,797.0
18,30,417.0,567.4891304347826,219.5,795.75
18,45,397.5,559.2391304347826,210.5,793.75
19,0,401.5,551.054347826087,205.75,781.0
19,15,373.0,542.5760869565217,198.75,765.75
19,30,364.0,533.8369565217391,201.75,754.5
19,45,354.5,525.0434782608696,204.5,726.5
20,0,345.5,516.3913043478261,191.5,705.75
20,15,361.5,512.2391304347826,184.0,722.25
20,30,383.5,513.1630434782609,181.5,708.5
20,45,402.0,514.0217391304348,180.0,698.0
21,0,411.0,514.8804347826087,180.25,722.5
21,15,401.0,518.554347826087,172.25,724.75
21,30,393.5,525.2282608695652,174.75,737.75
21,45,394.5,531.7173913043479,178.0,786.25
22,0,409.0,538.3369565217391,184.0,816.75
22,15,423.0,543.6413043478261,195.25,835.25
22,30,444.0,547.9782608695652,203.75,822.25
22,45,446.5,552.0978260869565,226.25,805.0
23,0,445.5,556.304347826087,229.75,790.0
23,15,444.5,561.2608695652174,230.75,779.0
23,30,451.0,566.7608695652174,229.5,797.5
23,45,455.0,572.1630434782609,233.0,804.75
