hour,minute,median,mean,percentile_25,percentile_75
0,0,1470.0,1436.7252747252746,660.5,2219.0
0,15,1451.0,1434.076923076923,649.0,2221.5
0,30,1445.0,1430.7912087912089,647.5,2219.5
0,45,1443.0,1427.4505494505495,657.5,2215.5
1,0,1435.0,1424.10989010989,670.0,2207.0
1,15,1412.0,1420.10989010989,680.0,2200.0
1,30,1396.0,1415.4835164835165,680.5,2195.0
1,45,1381.0,1410.8461538461538,663.0,2203.0
2,0,1361.0,1406.2417582417581,646.0,2184.5
2,15,1344.0,1401.5384615384614,634.0,2159.0
2,30,1336.0,1397.043956043956,624.0,2139.0
2,45,1333.0,1392.3846153846155,610.0,2134.5
3,0,1324.0,1387.7472527472528,614.5,2114.0
3,15,1307.0,1382.7912087912089,588.5,2102.0
3,30,1281.0,1376.923076923077,580.0,2097.5
3,45,1278.0,1371.10989010989,572.0,2078.5
4,0,1269.0,1365.5274725274726,568.5,2061.5
4,15,1245.0,1359.021978021978,563.5,2039.5
4,30,1231.0,1351.6593406593406,566.5,2005.0
4,45,1264.0,1344.2197802197802,554.5,1997.5
5,0,1248.0,1336.934065934066,552.0,1992.0
5,15,1192.0,1327.8351648351647,555.5,2006.5
5,30,1192.0,1317.3076923076924,563.5,2010.5
5,45,1159.0,1306.5384615384614,568.0,2009.5
6,0,1112.0,1295.9120879120878,576.5,1994.5
6,15,1137.0,1289.6043956043957,579.0,1974.0
6,30,1117.0,1287.5274725274726,572.5,1968.5
6,45,1098.0,1285.3956043956043,567.0,1978.5
7,0,1112.0,1283.3076923076924,577.0,1989.5
7,15,1118.0,1282.5274725274726,581.5,2016.0
7,30,1117.0,1283.032967032967,581.0,2019.0
7,45,1122.0,1283.8461538461538,581.5,2014.0
8,0,1138.0,1284.4285714285713,563.0,1990.5
8,15,1156.0,1286.4065934065934,558.0,1979.0
8,30,1175.0,1289.3956043956043,565.5,1978.5
8,45,1192.0,1292.4395604395604,572.5,1987.5
9,0,1210.0,1295.5604395604396,567.0,1989.0
9,15,1230.0,1301.6703296703297,552.5,2006.5
9,30,1248.0,1310.989010989011,546.0,2046.0
9,45,1239.0,1320.3296703296703,538.0,2073.0
10,0,1246.0,1329.6263736263736,530.0,2100.0
10,15,1220.0,1338.89010989011,545.5,2113.5
10,30,1218.0,1347.6263736263736,560.5,2116.0
10,45,1243.0,1356.6593406593406,580.0,2130.0
11,0,1280.0,1365.6263736263736,594.0,2144.0
11,15,1298.0,1372.934065934066,609.0,2146.5
11,30,1311.0,1378.7912087912089,617.5,2162.5
11,45,1324.0,1384.6263736263736,623.5,2184.5
12,0,1339.0,1390.3846153846155,613.0,2214.5
12,15,1354.0,1393.5384615384614,596.5,2232.0
12,30,1358.0,1393.9450549450548,583.5,2234.0
12,45,1359.0,1394.6153846153845,581.5,2240.0
13,0,1353.0,1395.4505494505495,580.0,2254.5
13,15,1355.0,1394.2967032967033,562.0,2258.5
13,30,1314.0,1391.4395604395604,540.0,2259.0
13,45,1332.0,1388.857142857143,520.0,2220.5
14,0,1368.0,1386.065934065934,523.5,2225.0
14,15,1386.0,1381.6593406593406,533.0,2221.0
14,30,1364.0,1375.2307692307693,517.0,2234.0
14,45,1360.0,1369.021978021978,502.5,2244.5
15,0,1380.0,1362.4065934065934,499.0,2239.5
15,15,1310.0,1358.5604395604396,508.5,2242.5
15,30,1362.0,1357.1758241758241,514.5,2270.0
15,45,1353.0,1356.1538461538462,531.0,2254.5
16,0,1326.0,1354.7472527472528,558.5,2203.5
16,15,1382.0,1355.8021978021977,590.0,2137.5
16,30,1357.0,1359.3626373626373,626.5,2093.0
16,45,1349.0,1363.131868131868,655.5,2091.0
17,0,1324.0,1366.5384615384614,639.0,2115.0
17,15,1312.0,1370.4835164835165,629.0,2148.5
17,30,1277.0,1374.4835164835165,639.5,2141.5
17,45,1260.0,1378.9120879120878,638.5,2109.5
18,0,1298.0,1382.868131868132,631.5,2125.0
18,15,1297.0,1388.5274725274726,635.0,2150.0
18,30,1281.0,1395.5934065934066,647.0,2179.5
18,45,1303.0,1402.4065934065934,656.0,2183.5
19,0,1294.0,1409.5164835164835,673.0,2173.0
19,15,1297.0,1417.7692307692307,689.5,2165.0
19,30,1316.0,1427.0549450549452,717.0,2184.5
19,45,1342.0,1436.7802197802198,733.0,2195.5
20,0,1381.0,1445.923076923077,750.0,2180.5
20,15,1392.0,1453.5934065934066,748.0,2179.0
20,30,1413.0,1459.7692307692307,728.5,2199.0
20,45,1431.0,1465.7802197802198,712.5,2220.5
21,0,1434.0,1471.7362637362637,722.5,2242.0
21,15,1443.0,1474.6373626373627,734.5,2245.5
21,30,1456.0,1474.1758241758241,748.0,2234.0
21,45,1466.0,1473.8461538461538,758.0,2235.0
22,0,1454.0,1473.6483516483515,746.0,2237.0
22,15,1442.0,1472.5824175824175,740.5,2244.5
22,30,1434.0,1470.8131868131868,742.5,2260.5
22,45,1421.0,1469.131868131868,745.5,2276.5
23,0,1409.0,1467.3296703296703,744.0,2303.0
23,15,1401.0,1465.4835164835165,731.5,2310.5
23,30,1392.0,1463.7142857142858,719.5,2301.5
23,45,1387.0,1462.098901098901,698.0,2305.0
