hour,minute,median,mean,percentile_25,percentile_75
0,0,11796.5,11865.434782608696,11559.75,12208.75
0,15,11761.0,11814.347826086956,11502.25,12135.5
0,30,11675.5,11730.815217391304,11389.25,12051.25
0,45,11574.0,11613.326086956522,11264.75,11986.5
1,0,11476.5,11514.119565217392,11150.25,11820.25
1,15,11430.0,11445.695652173914,11056.5,11765.75
1,30,11347.0,11379.880434782608,11003.5,11734.75
1,45,11258.5,11304.760869565218,10946.25,11656.25
2,0,11212.0,11264.835164835165,10899.0,11610.0
2,15,11208.0,11240.692307692309,10873.5,11612.0
2,30,11164.0,11215.527472527472,10829.5,11597.0
2,45,11120.0,11183.747252747253,10799.0,11577.0
3,0,11085.5,11162.652173913044,10781.0,11559.75
3,15,11080.5,11170.423913043478,10789.5,11583.25
3,30,11082.0,11169.54347826087,10782.75,11609.75
3,45,11058.5,11155.510869565218,10772.5,11592.25
4,0,11047.5,11159.978260869566,10774.0,11602.75
4,15,11065.0,11187.619565217392,10797.25,11628.25
4,30,11072.5,11206.326086956522,10813.5,11623.0
4,45,11088.0,11214.304347826086,10809.75,11640.0
5,0,11147.0,11253.70652173913,10888.25,11662.25
5,15,11243.0,11334.315217391304,10960.0,11765.0
5,30,11368.5,11412.445652173914,11013.0,11886.0
5,45,11460.5,11490.891304347826,11048.5,11971.0
6,0,11640.5,11631.83695652174,11133.0,12206.5
6,15,11835.5,11832.282608695652,11258.5,12439.25
6,30,12010.5,11996.380434782608,11349.5,12667.75
6,45,12124.5,12133.141304347826,11449.5,12813.0
7,0,12269.5,12322.510869565218,11560.75,13057.5
7,15,12510.5,12542.467391304348,11676.25,13410.0
7,30,12680.0,12702.119565217392,11697.5,13689.75
7,45,12826.5,12812.760869565218,11671.5,13865.25
8,0,13086.0,12910.25,11693.75,13996.0
8,15,13052.0,12964.141304347826,11679.0,14145.25
8,30,12974.5,12972.260869565218,11633.0,14240.5
8,45,12889.0,12942.728260869566,11590.75,14221.75
9,0,12770.0,12840.554347826086,11498.0,14155.0
9,15,12613.5,12703.076086956522,11253.0,14373.25
9,30,12393.0,12535.097826086956,11101.5,14103.5
9,45,12241.5,12369.054347826086,10891.75,13763.5
10,0,12094.5,12154.141304347826,10746.5,13252.5
10,15,11797.0,11912.597826086956,10607.5,13119.75
10,30,11760.0,11748.521739130434,10504.5,12844.0
10,45,11570.0,11553.445652173914,10312.75,12589.25
11,0,11393.0,11356.826086956522,10165.75,12361.75
11,15,11116.5,11156.010869565218,10003.0,12059.0
11,30,10895.5,11015.489130434782,9875.5,11916.5
11,45,10800.5,10893.728260869566,9660.25,11825.75
12,0,10675.5,10774.554347826086,9583.75,11587.5
12,15,10567.5,10676.739130434782,9424.25,11609.25
12,30,10382.0,10539.619565217392,9276.0,11501.5
12,45,10295.5,10429.141304347826,9119.75,11365.5
13,0,10280.0,10385.130434782608,9081.5,11277.75
13,15,10245.5,10364.097826086956,9082.25,11256.5
13,30,10162.5,10338.45652173913,9064.5,11292.25
13,45,10107.5,10314.782608695652,9099.25,11299.75
14,0,10130.0,10307.989130434782,9136.75,11309.0
14,15,10099.5,10307.347826086956,9209.25,11190.25
14,30,10040.0,10292.521739130434,9227.5,11304.5
14,45,10109.5,10384.967391304348,9250.5,11433.25
15,0,10174.5,10442.95652173913,9297.75,11525.5
15,15,10118.5,10485.728260869566,9289.5,11582.5
15,30,10300.0,10636.184782608696,9368.25,11887.0
15,45,10492.0,10750.79347826087,9416.5,12051.75
16,0,10633.5,10884.358695652174,9476.0,12224.25
16,15,10692.0,11060.065217391304,9612.0,12461.0
16,30,10777.0,11285.652173913044,9814.25,12652.25
16,45,11080.5,11937.45652173913,10101.75,13296.75
17,0,11358.0,11954.04347826087,10397.75,13596.25
17,15,11615.5,12070.510869565218,10663.75,13445.5
17,30,11932.5,12392.358695652174,10983.0,13718.0
17,45,12219.5,12640.173913043478,11199.75,13985.75
18,0,12323.5,12763.934782608696,11410.25,14160.0
18,15,12449.5,12813.66304347826,11520.75,14291.25
18,30,12615.0,12945.66304347826,11630.75,14449.0
18,45,12759.5,13076.75,11786.0,14549.25
19,0,12898.5,13163.75,12001.0,14566.5
19,15,12986.5,13208.45652173913,12145.0,14491.25
19,30,13100.0,13274.16304347826,12303.25,14396.75
19,45,13227.0,13346.282608695652,12473.25,14372.25
20,0,13264.5,13392.521739130434,12606.0,14320.25
20,15,13301.0,13397.510869565218,12690.25,14222.25
20,30,13356.0,13404.326086956522,12807.75,14223.0
20,45,13281.5,13371.04347826087,12859.0,14163.25
21,0,13273.0,13306.934782608696,12880.5,14013.0
21,15,13201.5,13239.434782608696,12822.75,13941.0
21,30,13125.0,13150.880434782608,12777.25,13772.75
21,45,13018.5,13032.20652173913,12659.0,13605.75
22,0,12915.5,12919.369565217392,12553.25,13439.25
22,15,12779.5,12814.847826086956,12464.5,13273.25
22,30,12642.0,12683.70652173913,12351.75,13112.75
22,45,12445.5,12512.576086956522,12169.5,12930.25
23,0,12307.5,12372.880434782608,12061.5,12778.5
23,15,12220.5,12279.380434782608,11977.0,12670.5
23,30,12060.5,12147.978260869566,11840.25,12527.75
23,45,11899.5,11991.228260869566,11707.5,12331.75
