hour,minute,median,mean,percentile_25,percentile_75
0,0,10846.0,10840.406593406593,10568.0,11103.5
0,15,10711.0,10712.65934065934,10438.5,10987.5
0,30,10550.0,10574.142857142857,10308.0,10827.0
0,45,10452.0,10444.12087912088,10200.5,10699.5
1,0,10344.0,10334.538461538461,10069.5,10585.5
1,15,10246.0,10242.0,9960.5,10498.0
1,30,10154.0,10144.010989010989,9873.0,10390.0
1,45,10065.0,10066.23076923077,9790.5,10316.5
2,0,10026.5,10011.576086956522,9744.75,10261.25
2,15,9980.0,9962.097826086956,9716.25,10196.0
2,30,9908.5,9902.641304347826,9656.25,10134.25
2,45,9873.5,9857.434782608696,9599.75,10094.5
3,0,9873.0,9858.494505494506,9589.0,10084.5
3,15,9838.0,9827.263736263736,9573.0,10047.0
3,30,9811.0,9804.747252747253,9543.5,10027.0
3,45,9809.0,9785.384615384615,9514.5,10008.0
4,0,9791.0,9798.021978021978,9545.5,10029.5
4,15,9794.0,9794.593406593407,9544.5,9992.0
4,30,9797.0,9806.098901098901,9565.5,10030.0
4,45,9821.0,9823.538461538461,9575.0,10048.0
5,0,9894.0,9906.010989010989,9654.0,10164.5
5,15,9985.0,9975.681318681318,9723.0,10246.0
5,30,10086.0,10087.362637362638,9786.5,10363.0
5,45,10220.0,10208.34065934066,9898.0,10497.5
6,0,10586.0,10478.153846153846,10136.0,10822.5
6,15,10863.0,10702.417582417582,10231.5,11124.5
6,30,11180.0,10936.89010989011,10341.5,11435.0
6,45,11462.0,11176.043956043955,10442.0,11760.0
7,0,11896.0,11571.923076923076,10688.0,12304.0
7,15,12316.0,11869.681318681318,10850.5,12716.5
7,30,12579.0,12136.439560439561,11020.0,12997.0
7,45,12827.0,12324.813186813188,11129.0,13227.5
8,0,13023.0,12471.263736263736,11275.5,13380.5
8,15,12947.0,12491.472527472528,11347.0,13446.0
8,30,12900.0,12498.23076923077,11340.5,13413.0
8,45,12775.0,12456.010989010989,11360.5,13422.0
9,0,12529.0,12346.362637362638,11419.5,13361.5
9,15,12218.0,12194.593406593407,11364.5,13279.0
9,30,12029.0,12012.912087912087,11129.0,13141.5
9,45,11931.0,11844.538461538461,10885.0,13076.5
10,0,11705.0,11658.098901098901,10684.5,12928.0
10,15,11458.0,11472.560439560439,10495.5,12724.0
10,30,11117.0,11301.032967032967,10248.5,12443.0
10,45,10939.0,11157.516483516483,10095.0,12277.0
11,0,10877.0,11028.604395604396,9826.5,12170.0
11,15,10894.0,10916.714285714286,9730.0,12114.0
11,30,10927.0,10834.912087912087,9583.5,12099.0
11,45,10976.0,10779.901098901099,9398.5,12020.0
12,0,10806.0,10717.318681318682,9300.0,11990.0
12,15,10702.0,10631.747252747253,9123.0,11803.0
12,30,10571.0,10528.263736263736,8922.0,11705.5
12,45,10465.0,10490.483516483517,8802.0,11745.5
13,0,10504.0,10525.087912087913,8961.5,11837.0
13,15,10511.0,10561.670329670329,8988.5,11879.0
13,30,10584.0,10570.34065934066,8931.0,11914.0
13,45,10505.0,10595.142857142857,8921.5,12014.0
14,0,10506.0,10641.615384615385,8973.5,12139.5
14,15,10607.0,10718.274725274725,9042.0,12389.0
14,30,10727.0,10787.439560439561,9088.0,12539.0
14,45,10747.0,10884.186813186812,9245.5,12686.5
15,0,10814.0,11002.45054945055,9514.0,12887.5
15,15,10925.0,11147.78021978022,9681.5,12977.0
15,30,11051.0,11320.263736263736,9942.5,13108.5
15,45,11277.0,11488.329670329671,10175.0,13144.0
16,0,11452.0,11668.494505494506,10292.5,13232.5
16,15,11645.0,11868.76923076923,10513.0,13429.0
16,30,11941.0,12123.87912087912,10771.0,13679.0
16,45,12308.0,12468.010989010989,11045.5,14087.0
17,0,12620.0,12793.538461538461,11451.5,14360.0
17,15,13001.0,13135.351648351649,11880.5,14626.0
17,30,13369.0,13387.824175824177,12149.5,14809.5
17,45,13578.0,13552.318681318682,12411.5,14831.5
18,0,13538.0,13530.54945054945,12501.5,14631.5
18,15,13569.0,13510.648351648351,12623.0,14424.0
18,30,13624.0,13524.65934065934,12721.0,14274.5
18,45,13689.0,13568.54945054945,12859.5,14217.5
19,0,13754.0,13569.978021978022,13012.0,14141.5
19,15,13752.0,13543.42857142857,12927.5,14059.0
19,30,13682.0,13504.857142857143,12924.0,14035.5
19,45,13601.0,13485.23076923077,12989.5,14029.5
20,0,13505.0,13363.615384615385,12992.5,13838.0
20,15,13380.0,13253.945054945056,12896.0,13719.0
20,30,13242.0,13115.021978021978,12699.0,13561.5
20,45,13095.0,12973.461538461539,12627.0,13431.0
21,0,12904.0,12795.472527472528,12395.5,13244.0
21,15,12738.0,12642.714285714286,12257.5,13081.5
21,30,12547.0,12454.23076923077,12121.5,12860.5
21,45,12343.0,12277.901098901099,12001.5,12671.0
22,0,12136.0,12081.329670329671,11818.0,12439.5
22,15,11977.0,11944.802197802197,11640.5,12315.0
22,30,11785.0,11756.131868131868,11482.5,12090.5
22,45,11607.0,11583.098901098901,11306.5,11903.0
23,0,11491.0,11446.538461538461,11193.0,11731.0
23,15,11336.0,11313.791208791208,11021.0,11596.5
23,30,11170.0,11136.516483516483,10834.0,11407.0
23,45,10985.0,10969.010989010989,10704.0,11222.0
