hour,minute,median,mean,percentile_25,percentile_75
0,0,0.0,0.0,0.0,0.0
0,15,0.0,0.0,0.0,0.0
0,30,0.0,0.0,0.0,0.0
0,45,0.0,0.0,0.0,0.0
1,0,0.0,0.0,0.0,0.0
1,15,0.0,0.0,0.0,0.0
1,30,0.0,0.0,0.0,0.0
1,45,0.0,0.0,0.0,0.0
2,0,0.0,0.0,0.0,0.0
2,15,0.0,0.0,0.0,0.0
2,30,0.0,0.0,0.0,0.0
2,45,0.0,0.0,0.0,0.0
3,0,0.0,0.0,0.0,0.0
3,15,0.0,0.0,0.0,0.0
3,30,0.0,0.0,0.0,0.0
3,45,0.0,0.0,0.0,0.0
4,0,0.0,0.0,0.0,0.0
4,15,0.0,0.0,0.0,0.0
4,30,0.0,0.0,0.0,0.0
4,45,0.0,0.0,0.0,0.0
5,0,0.0,0.0,0.0,0.0
5,15,0.0,0.4891304347826087,0.0,0.0
5,30,0.0,1.4021739130434783,0.0,0.0
5,45,0.0,2.260869565217391,0.0,0.0
6,0,0.0,3.0760869565217392,0.0,0.0
6,15,5.0,29.315217391304348,0.0,42.0
6,30,13.5,55.891304347826086,0.0,81.0
6,45,18.5,82.31521739130434,0.0,123.0
7,0,25.0,108.75,0.0,162.75
7,15,178.5,216.72826086956522,61.0,318.5
7,30,301.0,324.3152173913044,121.5,530.75
7,45,432.5,431.8369565217391,180.75,702.75
8,0,547.0,539.7173913043479,241.0,873.0
8,15,812.5,785.6739130434783,496.75,1105.75
8,30,1086.0,1031.5108695652175,706.25,1348.0
8,45,1389.5,1277.2826086956522,920.25,1592.0
9,0,1699.0,1523.2608695652175,1137.0,1929.5
9,15,1966.0,1762.445652173913,1381.0,2227.25
9,30,2216.0,2001.5652173913043,1648.5,2507.5
9,45,2477.5,2240.5760869565215,1897.75,2796.0
10,0,2735.0,2479.695652173913,2086.75,3095.0
10,15,2975.5,2730.0,2255.75,3399.0
10,30,3230.5,2980.228260869565,2466.5,3690.5
10,45,3469.0,3230.6521739130435,2799.25,3983.0
11,0,3718.0,3480.7934782608695,3047.25,4280.25
11,15,3894.5,3623.1739130434785,3159.0,4459.0
11,30,4067.5,3765.4021739130435,3196.5,4618.75
11,45,4209.0,3907.8152173913045,3369.75,4786.0
12,0,4347.0,4050.282608695652,3436.75,4950.5
12,15,4432.5,4150.45652173913,3523.0,5057.5
12,30,4526.0,4250.608695652174,3609.75,5176.5
12,45,4652.0,4350.891304347826,3696.0,5286.0
13,0,4779.0,4451.79347826087,3788.75,5371.0
13,15,4829.0,4473.076086956522,3900.0,5372.5
13,30,4880.0,4494.673913043478,3860.0,5358.75
13,45,4900.5,4516.141304347826,3824.75,5365.0
14,0,4933.5,4537.79347826087,3825.75,5418.25
14,15,4827.0,4444.173913043478,3659.75,5336.25
14,30,4714.5,4350.260869565217,3560.75,5199.75
14,45,4596.5,4256.358695652174,3484.75,4997.75
15,0,4494.5,4162.641304347826,3482.0,4936.25
15,15,4308.5,4046.9347826086955,3392.5,4790.25
15,30,4181.0,3931.108695652174,3318.75,4616.75
15,45,4072.5,3815.1739130434785,3244.5,4469.75
16,0,3956.5,3699.228260869565,3170.25,4364.0
16,15,3644.5,3506.8478260869565,3049.75,4188.25
16,30,3335.0,3314.7608695652175,2825.0,4017.75
16,45,3148.5,3122.532608695652,2484.75,3849.25
17,0,2928.5,2930.2934782608695,2270.25,3679.5
17,15,2719.5,2719.521739130435,2079.0,3479.75
17,30,2543.0,2508.5434782608695,1844.75,3275.25
17,45,2254.5,2297.7934782608695,1573.0,3064.25
18,0,2065.0,2087.0,1321.25,2890.75
18,15,1883.5,1851.7065217391305,1041.5,2633.5
18,30,1700.0,1616.858695652174,788.0,2383.0
18,45,1519.0,1381.8152173913043,516.5,2116.25
19,0,1335.0,1146.7826086956522,215.0,1857.0
19,15,1155.0,997.1630434782609,160.5,1617.0
19,30,956.5,847.4239130434783,110.75,1369.25
19,45,748.0,697.3586956521739,60.0,1125.75
20,0,585.5,547.75,0.0,910.5
20,15,462.5,444.42391304347825,0.0,742.25
20,30,330.0,340.94565217391306,0.0,568.25
20,45,195.5,237.5,0.0,402.5
21,0,44.5,134.05434782608697,0.0,249.5
21,15,33.0,102.18478260869566,0.0,186.25
21,30,24.5,70.19565217391305,0.0,126.0
21,45,9.5,38.130434782608695,0.0,64.25
22,0,0.0,6.195652173913044,0.0,2.5
22,15,0.0,4.641304347826087,0.0,2.0
22,30,0.0,2.9456521739130435,0.0,1.25
22,45,0.0,1.2065217391304348,0.0,0.0
23,0,0.0,0.0,0.0,0.0
23,15,0.0,0.0,0.0,0.0
23,30,0.0,0.0,0.0,0.0
23,45,0.0,0.0,0.0,0.0
