hour,minute,median,mean,percentile_25,percentile_75
0,0,0.0,0.0,0.0,0.0
0,15,0.0,0.0,0.0,0.0
0,30,0.0,0.0,0.0,0.0
0,45,0.0,0.0,0.0,0.0
1,0,0.0,0.0,0.0,0.0
1,15,0.0,0.0,0.0,0.0
1,30,0.0,0.0,0.0,0.0
1,45,0.0,0.0,0.0,0.0
2,0,0.0,0.0,0.0,0.0
2,15,0.0,0.0,0.0,0.0
2,30,0.0,0.0,0.0,0.0
2,45,0.0,0.0,0.0,0.0
3,0,0.0,0.0,0.0,0.0
3,15,0.0,0.0,0.0,0.0
3,30,0.0,0.0,0.0,0.0
3,45,0.0,0.0,0.0,0.0
4,0,0.0,0.0,0.0,0.0
4,15,0.0,0.0,0.0,0.0
4,30,0.0,0.0,0.0,0.0
4,45,0.0,0.0,0.0,0.0
5,0,0.0,0.0,0.0,0.0
5,15,0.0,2.967391304347826,0.0,6.0
5,30,0.0,6.5,0.0,14.0
5,45,1.5,9.891304347826088,0.0,22.0
6,0,3.5,13.369565217391305,0.0,29.0
6,15,69.0,75.54347826086956,14.0,142.0
6,30,131.5,137.81521739130434,26.75,251.0
6,45,196.0,200.33695652173913,39.0,361.25
7,0,257.5,262.2282608695652,53.0,472.0
7,15,383.5,394.8695652173913,209.5,604.5
7,30,503.5,527.4130434782609,334.5,737.5
7,45,643.5,659.8152173913044,469.25,873.5
8,0,783.5,792.3913043478261,584.75,1010.75
8,15,1020.5,1030.3152173913043,789.25,1277.0
8,30,1302.5,1268.2608695652175,1032.75,1551.0
8,45,1588.0,1506.304347826087,1274.0,1815.25
9,0,1857.0,1744.1195652173913,1503.0,2068.5
9,15,2152.5,2010.0869565217392,1733.25,2370.0
9,30,2454.5,2275.6521739130435,2003.25,2679.5
9,45,2772.0,2541.8152173913045,2217.0,3001.25
10,0,3070.0,2807.4347826086955,2438.25,3326.25
10,15,3338.5,3058.141304347826,2653.5,3636.25
10,30,3590.5,3309.054347826087,2872.25,3951.25
10,45,3840.0,3560.021739130435,3103.25,4272.0
11,0,4126.0,3810.945652173913,3336.75,4580.75
11,15,4252.0,3942.9021739130435,3532.25,4646.5
11,30,4356.5,4074.967391304348,3618.25,4796.75
11,45,4490.5,4207.163043478261,3826.75,4991.75
12,0,4580.0,4339.108695652174,3898.0,5137.5
12,15,4717.0,4465.565217391304,4024.0,5285.75
12,30,4850.5,4591.95652173913,4146.5,5431.75
12,45,4986.0,4718.489130434783,4269.75,5579.75
13,0,5121.0,4845.010869565217,4393.25,5728.5
13,15,5180.0,4898.586956521739,4446.5,5790.25
13,30,5239.0,4952.076086956522,4499.25,5851.5
13,45,5298.5,5005.478260869565,4548.75,5918.75
14,0,5359.5,5059.119565217391,4603.0,5982.5
14,15,5327.0,5027.434782608696,4560.25,5874.0
14,30,5232.0,4995.489130434783,4579.0,5783.5
14,45,5151.5,4963.695652173913,4419.75,5729.5
15,0,5095.0,4931.79347826087,4352.75,5691.75
15,15,4995.0,4834.0,4266.0,5575.25
15,30,4892.5,4736.010869565217,4182.25,5465.25
15,45,4791.0,4638.065217391304,4100.0,5354.0
16,0,4690.5,4540.130434782609,4016.75,5243.25
16,15,4521.0,4375.20652173913,3877.5,5062.75
16,30,4349.0,4209.782608695652,3738.25,4881.5
16,45,4180.5,4044.9565217391305,3600.75,4700.25
17,0,3996.0,3879.5434782608695,3443.0,4518.0
17,15,3816.0,3697.358695652174,3299.5,4306.5
17,30,3669.0,3515.2934782608695,3174.5,4092.5
17,45,3504.0,3332.836956521739,3061.25,3859.0
18,0,3351.5,3150.75,2740.25,3691.0
18,15,3093.5,2890.6739130434785,2489.75,3396.75
18,30,2828.5,2630.728260869565,2245.0,3104.5
18,45,2561.5,2370.6195652173915,2031.5,2799.75
19,0,2295.0,2110.554347826087,1805.0,2506.5
19,15,2041.0,1871.6195652173913,1563.75,2221.25
19,30,1787.0,1632.9891304347825,1298.0,1929.75
19,45,1519.5,1394.0,1109.5,1688.0
20,0,1240.5,1155.141304347826,878.25,1427.75
20,15,1046.0,972.9239130434783,714.75,1224.75
20,30,867.5,790.3478260869565,563.5,1028.25
20,45,675.5,608.3369565217391,387.25,833.25
21,0,491.5,425.64130434782606,230.25,644.5
21,15,383.5,330.29347826086956,176.5,496.25
21,30,270.5,234.8586956521739,122.0,353.75
21,45,156.0,139.27173913043478,69.25,214.25
22,0,42.5,43.97826086956522,0.0,75.75
22,15,32.0,32.75,0.0,59.0
22,30,21.0,21.684782608695652,0.0,38.25
22,45,11.0,10.76086956521739,0.0,19.0
23,0,0.0,0.0,0.0,0.0
23,15,0.0,0.0,0.0,0.0
23,30,0.0,0.0,0.0,0.0
23,45,0.0,0.0,0.0,0.0
