,hour,minute,Carbon Intensity gCO₂eq/kWh (direct) median,Carbon Intensity gCO₂eq/kWh (direct) mean,Carbon Intensity gCO₂eq/kWh (direct) percentile_25,Carbon Intensity gCO₂eq/kWh (direct) percentile_75,Carbon Intensity gCO₂eq/kWh (LCA) median,Carbon Intensity gCO₂eq/kWh (LCA) mean,Carbon Intensity gCO₂eq/kWh (LCA) percentile_25,Carbon Intensity gCO₂eq/kWh (LCA) percentile_75,Low Carbon Percentage median,Low Carbon Percentage mean,Low Carbon Percentage percentile_25,Low Carbon Percentage percentile_75,Renewable Percentage median,Renewable Percentage mean,Renewable Percentage percentile_25,Renewable Percentage percentile_75
0,0,0,349.21,339.2343956043956,302.03,386.855,438.48,425.4489010989011,380.65999999999997,484.995,35.09,36.06956043956044,28.950000000000003,42.735,30.79,31.113956043956044,23.200000000000003,38.33
1,0,15,346.91999999999996,338.9523351648352,302.27125,386.58375,434.835,425.07851648351647,381.23625,484.4075,34.6425,36.15346153846154,29.28,42.69875,30.7575,31.1328021978022,23.395,37.79875
2,0,30,345.54999999999995,338.67027472527474,301.73,385.9275,432.525,424.7081318681319,382.12750000000005,482.645,34.86,36.23736263736264,29.585,42.5725,30.61,31.151648351648355,23.5825,37.1825
3,0,45,343.4525,338.3882142857143,302.36375,384.595,432.1975,424.33774725274725,381.65875000000005,480.8825,35.07,36.32126373626374,29.89,42.39875,30.292499999999997,31.170494505494503,23.74375,36.725
4,1,0,342.95,338.10615384615386,303.82,384.40999999999997,432.24,423.9673626373626,383.24,480.385,34.94,36.40516483516483,30.105,42.225,30.34,31.189340659340658,23.905,36.435
5,1,15,344.0325,337.9318956043956,303.79375000000005,384.3125,431.3125,423.8038736263736,382.69375,479.7575,34.707499999999996,36.402087912087914,30.25875,42.676249999999996,30.3475,31.125906593406594,23.8675,37.25
6,1,30,344.43,337.75763736263735,302.75250000000005,382.39750000000004,433.955,423.6403846153846,381.4775,479.09000000000003,34.709999999999994,36.39901098901099,30.299999999999997,42.6175,30.325000000000003,31.062472527472526,23.695,37.3625
7,1,45,346.6275,337.58337912087916,301.71125,382.21625,435.17,423.4768956043956,380.26125,478.4225,35.197500000000005,36.39593406593407,30.30875,42.55875,30.1575,30.99903846153846,23.8075,37.47625
8,2,0,345.105,336.9182608695652,296.8925,381.0875,435.40999999999997,422.7720652173913,375.97,478.015,35.504999999999995,36.44880434782608,30.427500000000002,42.24,29.85,30.964130434782607,23.700000000000003,37.04
9,2,15,343.885,336.90192934782607,295.493125,381.736875,433.78499999999997,422.8310326086957,376.02375,477.736875,35.272499999999994,36.37016304347826,30.10875,42.49875,29.698749999999997,30.811086956521738,23.431875,36.935625
10,2,30,342.11,336.88559782608695,296.47375,382.65250000000003,429.505,422.89,377.7175,476.64875,35.155,36.29152173913044,29.81125,42.7575,29.5475,30.65804347826087,22.973750000000003,36.83125
11,2,45,340.60875,336.86926630434783,297.96625,383.0,426.39125,422.94896739130434,379.70687499999997,477.07875,35.037499999999994,36.21288043478261,29.408125000000002,42.951875,29.845,30.505,22.735625,36.726875
12,3,0,342.3,337.3430769230769,303.18,383.465,424.41,423.55186813186816,384.79499999999996,476.305,34.62,36.074835164835164,28.975,41.675,29.57,30.3167032967033,22.395,36.480000000000004
