0000,0015,0030,0045,0100,0115,0130,0145,0200,0215,0230,0245,0300,0315,0330,0345,0400,0415,0430,0445,0500,0515,0530,0545,0600,0615,0630,0645,0700,0715,0730,0745,0800,0815,0830,0845,0900,0915,0930,0945,1000,1015,1030,1045,1100,1115,1130,1145,1200,1215,1230,1245,1300,1315,1330,1345,1400,1415,1430,1445,1500,1515,1530,1545,1600,1615,1630,1645,1700,1715,1730,1745,1800,1815,1830,1845,1900,1915,1930,1945,2000,2015,2030,2045,2100,2115,2130,2145,2200,2215,2230,2245,2300,2315,2330,2345
3310,3342,3356,3370,3381,3400,3427,3452,3477.0,3500.0,3521.0,3537.0,3556,3569,3580,3586,3595,3605,3617,3628,3639,3650,3659,3672,3682,3691,3692,3695,3698,3710,3732,3756,3779,3796,3807,3818,3829,3835,3832,3829,3827,3823,3818,3813,3807,3803,3799,3794,3789,3787,3783,3782,3781,3782,3782,3784,3785,3784,3785,3785,3785,3783,3778,3774,3769,3754,3728,3701,3675,3665,3670,3675,3682,3684,3685,3684,3683,3678,3673,3666,3658,3654,3645,3636,3629,3619,3607,3593,3580,3565,3551,3537,3522,3506,3487,3468
3523,3519,3521,3522,3527,3535,3550,3564,3579.0,3591.0,3596.0,3602.0,3606,3604,3590,3579,3566,3552,3537,3521,3508,3509,3526,3543,3564,3572,3569,3569,3568,3573,3589,3603,3618,3620,3612,3604,3597,3578,3542,3509,3476,3444,3421,3398,3373,3352,3335,3316,3301,3276,3245,3215,3182,3147,3104,3063,3022,2983,2944,2907,2868,2837,2810,2785,2759,2724,2678,2632,2586,2558,2554,2546,2537,2529,2520,2510,2502,2490,2472,2456,2436,2411,2378,2345,2311,2274,2233,2195,2154,2122,2100,2075,2049,2022,1991,1963
1846,1821,1819,1816,1812,1814,1825,1836,1845.0,1856.0,1867.0,1880.0,1890,1905,1920,1940,1955,1968,1973,1978,1985,1986,1983,1979,1974,1964,1947,1930,1913,1910,1923,1934,1949,1944,1927,1907,1887,1857,1822,1785,1748,1718,1693,1666,1639,1620,1599,1584,1566,1555,1553,1551,1551,1555,1565,1572,1581,1587,1593,1597,1601,1595,1579,1563,1548,1537,1532,1525,1518,1514,1514,1510,1509,1507,1503,1499,1499,1494,1491,1488,1482,1475,1461,1448,1433,1414,1392,1370,1349,1333,1320,1307,1294,1277,1257,1235
1078,1047,1050,1050,1049,1053,1060,1064,1071.0,1074.0,1075.0,1077.0,1079,1075,1068,1062,1054,1045,1035,1025,1013,1013,1015,1017,1022,1013,996,977,961,937,906,877,845,816,783,751,718,687,659,631,602,585,574,563,554,545,539,532,525,535,560,584,607,636,668,699,731,762,792,824,856,907,977,1049,1120,1203,1292,1380,1471,1545,1607,1673,1735,1763,1755,1747,1739,1731,1726,1721,1716,1720,1735,1748,1761,1764,1757,1751,1744,1748,1763,1777,1791,1801,1810,1816
2491,2509,2494,2482,2470,2451,2428,2406,2382.0,2364.0,2350.0,2336.0,2322,2302,2278,2253,2229,2209,2191,2175,2158,2130,2088,2045,2002,1970,1944,1921,1895,1863,1818,1772,1729,1673,1607,1543,1479,1431,1407,1377,1349,1315,1274,1233,1193,1149,1109,1068,1028,981,928,878,824,773,726,677,629,578,528,476,424,381,347,313,281,267,273,277,282,297,321,342,367,390,416,441,466,497,536,580,621,667,724,779,835,875,904,933,960,989,1016,1042,1068,1095,1124,1155
1137,1127,1118,1107,1099,1089,1081,1074,1065.0,1058.0,1049.0,1042.0,1034,1028,1026,1020,1013,1008,1000,992,983,969,951,935,915,894,872,844,821,786,741,694,648,602,560,515,474,436,405,375,340,315,298,278,258,240,225,209,194,182,179,175,172,164,158,151,143,139,133,130,127,123,118,112,107,106,109,112,114,121,130,139,148,147,138,126,116,106,94,86,74,70,69,71,72,74,71,70,68,67,67,65,62,62,63,64
100,103,102,104,106,109,116,122,130.0,133.0,139.0,142.0,145,152,160,166,173,180,186,191,198,206,219,232,245,247,233,221,209,191,174,155,138,120,102,86,70,60,58,55,54,52,54,58,61,63,63,64,64,63,62,61,59,62,67,72,77,82,89,94,102,110,123,133,147,166,197,229,263,300,342,384,427,453,462,473,480,492,509,526,543,570,609,647,684,728,781,831,881,924,961,999,1035,1067,1097,1125
1061,1062,1074,1085,1097,1124,1169,1214,1260.0,1294.0,1315.0,1338.0,1360,1368,1361,1357,1351,1353,1364,1377,1388,1414,1453,1495,1535,1571,1600,1630,1660,1714,1794,1874,1956,2031,2095,2167,2234,2289,2337,2382,2429,2469,2513,2550,2588,2611,2620,2626,2632,2627,2605,2584,2564,2560,2579,2595,2615,2617,2606,2592,2580,2605,2667,2729,2792,2843,2886,2926,2971,3001,3022,3040,3061,3057,3026,2997,2967,2947,2939,2930,2922,2906,2887,2864,2842,2809,2763,2717,2671,2615,2550,2487,2421,2380,2364,2346
2249,2201,2172,2142,2111,2075,2028,1987,1943.0,1891.0,1833.0,1775.0,1718,1658,1602,1540,1485,1432,1386,1340,1296,1246,1188,1132,1074,1032,1006,981,958,927,889,854,820,789,765,742,715,690,664,638,612,590,567,545,524,500,472,443,415,392,375,357,340,319,297,273,251,234,214,198,183,177,186,194,206,221,242,265,287,317,356,395,434,472,502,539,573,603,634,659,688,716,746,777,808,829,839,850,860,872,884,898,911,923,931,941
