,Solar,Wind Offshore,Wind Onshore,Forecasted Load,Actual Load
2018-09-01 00:00:00+02:00,0.0,55.0,206.0,12556.0,11293.0
2018-09-01 00:15:00+02:00,0.0,54.0,188.0,12369.0,11115.0
2018-09-01 00:30:00+02:00,0.0,53.0,174.0,12182.0,10911.0
2018-09-01 00:45:00+02:00,0.0,53.0,162.0,11980.0,10751.0
2018-09-01 01:00:00+02:00,0.0,53.0,150.0,11752.0,10616.0
2018-09-01 01:15:00+02:00,0.0,52.0,142.0,11555.0,10446.0
2018-09-01 01:30:00+02:00,0.0,49.0,139.0,11424.0,10303.0
2018-09-01 01:45:00+02:00,0.0,47.0,136.0,11291.0,10206.0
2018-09-01 02:00:00+02:00,0.0,44.0,129.0,11161.0,10110.0
2018-09-01 02:15:00+02:00,0.0,42.0,126.0,11088.0,10086.0
2018-09-01 02:30:00+02:00,0.0,42.0,128.0,11047.0,10017.0
2018-09-01 02:45:00+02:00,0.0,41.0,128.0,11009.0,9948.0
2018-09-01 03:00:00+02:00,0.0,41.0,129.0,10939.0,9972.0
2018-09-01 03:15:00+02:00,0.0,40.0,129.0,10894.0,9925.0
2018-09-01 03:30:00+02:00,0.0,39.0,127.0,10875.0,9867.0
2018-09-01 03:45:00+02:00,0.0,38.0,127.0,10849.0,9866.0
2018-09-01 04:00:00+02:00,0.0,38.0,122.0,10810.0,9841.0
2018-09-01 04:15:00+02:00,0.0,36.0,119.0,10767.0,9869.0
2018-09-01 04:30:00+02:00,0.0,34.0,113.0,10753.0,9845.0
2018-09-01 04:45:00+02:00,0.0,33.0,108.0,10745.0,9804.0
2018-09-01 05:00:00+02:00,0.0,31.0,102.0,10749.0,9870.0
2018-09-01 05:15:00+02:00,0.0,30.0,98.0,10795.0,9859.0
2018-09-01 05:30:00+02:00,0.0,30.0,98.0,10794.0,9905.0
2018-09-01 05:45:00+02:00,0.0,30.0,100.0,10777.0,9998.0
2018-09-01 06:00:00+02:00,0.0,30.0,99.0,10812.0,10105.0
2018-09-01 06:15:00+02:00,0.0,30.0,100.0,10826.0,10210.0
2018-09-01 06:30:00+02:00,0.0,28.0,103.0,10805.0,10246.0
2018-09-01 06:45:00+02:00,0.0,27.0,105.0,10820.0,10235.0
2018-09-01 07:00:00+02:00,0.0,26.0,108.0,10834.0,10364.0
2018-09-01 07:15:00+02:00,23.0,24.0,108.0,10887.0,10459.0
2018-09-01 07:30:00+02:00,46.0,23.0,108.0,10941.0,10611.0
2018-09-01 07:45:00+02:00,69.0,21.0,106.0,10952.0,10768.0
2018-09-01 08:00:00+02:00,92.0,19.0,105.0,10928.0,10937.0
2018-09-01 08:15:00+02:00,218.0,18.0,100.0,10846.0,11121.0
2018-09-01 08:30:00+02:00,344.0,16.0,89.0,10885.0,11218.0
2018-09-01 08:45:00+02:00,470.0,15.0,78.0,10948.0,11347.0
2018-09-01 09:00:00+02:00,597.0,13.0,67.0,11002.0,11442.0
2018-09-01 09:15:00+02:00,727.0,12.0,58.0,11028.0,11467.0
2018-09-01 09:30:00+02:00,858.0,11.0,53.0,11013.0,11524.0
2018-09-01 09:45:00+02:00,988.0,11.0,50.0,10977.0,11547.0
2018-09-01 10:00:00+02:00,1119.0,10.0,46.0,10933.0,11482.0
2018-09-01 10:15:00+02:00,1231.0,9.0,43.0,10843.0,11400.0
