,Solar,Wind Offshore,Wind Onshore,Forecasted Load,Actual Load
2019-06-01 00:00:00+02:00,0.0,330.0,443.0,9672.0,11357.0
2019-06-01 00:15:00+02:00,0.0,326.0,452.0,9606.0,11212.0
2019-06-01 00:30:00+02:00,0.0,322.0,457.0,9507.0,11022.0
2019-06-01 00:45:00+02:00,0.0,319.0,463.0,9391.0,10850.0
2019-06-01 01:00:00+02:00,0.0,452.0,727.0,9256.0,10698.0
2019-06-01 01:15:00+02:00,0.0,450.0,736.0,9134.0,10599.0
2019-06-01 01:30:00+02:00,0.0,447.0,730.0,9033.0,10437.0
2019-06-01 01:45:00+02:00,0.0,443.0,722.0,8934.0,10311.0
2019-06-01 02:00:00+02:00,0.0,439.0,717.0,8836.0,10287.0
2019-06-01 02:15:00+02:00,0.0,437.0,716.0,8776.0,10224.0
2019-06-01 02:30:00+02:00,0.0,436.0,720.0,8745.0,10188.0
2019-06-01 02:45:00+02:00,0.0,435.0,722.0,8709.0,10138.0
2019-06-01 03:00:00+02:00,0.0,434.0,726.0,8653.0,10107.0
2019-06-01 03:15:00+02:00,0.0,424.0,727.0,8609.0,10081.0
2019-06-01 03:30:00+02:00,0.0,404.0,724.0,8572.0,10032.0
2019-06-01 03:45:00+02:00,0.0,384.0,723.0,8553.0,10004.0
2019-06-01 04:00:00+02:00,0.0,365.0,721.0,8544.0,9951.0
2019-06-01 04:15:00+02:00,2.0,345.0,702.0,8535.0,9928.0
2019-06-01 04:30:00+02:00,4.0,326.0,671.0,8521.0,9946.0
2019-06-01 04:45:00+02:00,6.0,306.0,637.0,8495.0,9961.0
2019-06-01 05:00:00+02:00,8.0,287.0,604.0,8499.0,9877.0
2019-06-01 05:15:00+02:00,56.0,273.0,578.0,8511.0,9795.0
2019-06-01 05:30:00+02:00,103.0,265.0,553.0,8467.0,9760.0
2019-06-01 05:45:00+02:00,150.0,257.0,528.0,8419.0,9796.0
2019-06-01 06:00:00+02:00,198.0,249.0,505.0,8393.0,9868.0
2019-06-01 06:15:00+02:00,255.0,242.0,482.0,8430.0,9867.0
2019-06-01 06:30:00+02:00,311.0,234.0,462.0,8445.0,9907.0
2019-06-01 06:45:00+02:00,368.0,227.0,439.0,8458.0,9947.0
2019-06-01 07:00:00+02:00,425.0,220.0,417.0,8473.0,10008.0
2019-06-01 07:15:00+02:00,541.0,214.0,400.0,8462.0,10072.0
2019-06-01 07:30:00+02:00,657.0,210.0,394.0,8451.0,10136.0
2019-06-01 07:45:00+02:00,773.0,205.0,386.0,8431.0,10204.0
2019-06-01 08:00:00+02:00,889.0,201.0,379.0,8407.0,10298.0
2019-06-01 08:15:00+02:00,1022.0,194.0,372.0,8368.0,10446.0
2019-06-01 08:30:00+02:00,1155.0,184.0,363.0,8366.0,10573.0
2019-06-01 08:45:00+02:00,1288.0,175.0,358.0,8387.0,10695.0
2019-06-01 09:00:00+02:00,1420.0,165.0,350.0,8361.0,10798.0
2019-06-01 09:15:00+02:00,1548.0,158.0,343.0,8311.0,10846.0
2019-06-01 09:30:00+02:00,1675.0,154.0,336.0,8277.0,10940.0
2019-06-01 09:45:00+02:00,1802.0,149.0,331.0,8252.0,10959.0
2019-06-01 10:00:00+02:00,1930.0,144.0,325.0,8193.0,10961.0
2019-06-01 10:15:00+02:00,2022.0,139.0,320.0,8069.0,10888.0
2019-06-01 10:30:00+02:00,2113.0,133.0,310.0,7922.0,10821.0
2019-06-01 10:45:00+02:00,2205.0,127.0,303.0,7797.0,10808.0
2019-06-01 11:00:00+02:00,2297.0,122.0,294.0,7691.0,10753.0
2019-06-01 11:15:00+02:00,2339.0,116.0,289.0,7605.0,10682.0
2019-06-01 11:30:00+02:00,2381.0,111.0,282.0,7510.0,10641.0
2019-06-01 11:45:00+02:00,2423.0,105.0,277.0,7431.0,10579.0
2019-06-01 12:00:00+02:00,2465.0,100.0,268.0,7384.0,10524.0
2019-06-01 12:15:00+02:00,2468.0,95.0,260.0,7316.0,10476.0
2019-06-01 12:30:00+02:00,2471.0,91.0,249.0,7207.0,10357.0
2019-06-01 12:45:00+02:00,2473.0,87.0,237.0,7111.0,10305.0
2019-06-01 13:00:00+02:00,2476.0,83.0,227.0,7048.0,10252.0
2019-06-01 13:15:00+02:00,2446.0,79.0,218.0,6992.0,10203.0
2019-06-01 13:30:00+02:00,2417.0,77.0,212.0,6963.0,10169.0
2019-06-01 13:45:00+02:00,2387.0,75.0,205.0,6933.0,10122.0
2019-06-01 14:00:00+02:00,2357.0,72.0,197.0,6911.0,10095.0
2019-06-01 14:15:00+02:00,2298.0,69.0,191.0,6947.0,10082.0
2019-06-01 14:30:00+02:00,2239.0,66.0,186.0,6959.0,10048.0
2019-06-01 14:45:00+02:00,2180.0,63.0,181.0,6969.0,10046.0
2019-06-01 15:00:00+02:00,2121.0,59.0,177.0,6994.0,10057.0
2019-06-01 15:15:00+02:00,2033.0,55.0,171.0,7019.0,10054.0
2019-06-01 15:30:00+02:00,1944.0,51.0,165.0,7046.0,10124.0
2019-06-01 15:45:00+02:00,1856.0,46.0,156.0,7062.0,10187.0
2019-06-01 16:00:00+02:00,1767.0,41.0,148.0,7058.0,10259.0
2019-06-01 16:15:00+02:00,1655.0,38.0,139.0,7114.0,10394.0
2019-06-01 16:30:00+02:00,1543.0,35.0,130.0,7241.0,10449.0
2019-06-01 16:45:00+02:00,1431.0,32.0,117.0,7369.0,10656.0
2019-06-01 17:00:00+02:00,1319.0,29.0,108.0,7527.0,10787.0
2019-06-01 17:15:00+02:00,1199.0,29.0,98.0,7710.0,11025.0
2019-06-01 17:30:00+02:00,1078.0,31.0,93.0,7924.0,11264.0
2019-06-01 17:45:00+02:00,957.0,33.0,87.0,8129.0,11408.0
2019-06-01 18:00:00+02:00,836.0,34.0,83.0,8283.0,11551.0
2019-06-01 18:15:00+02:00,733.0,35.0,79.0,8399.0,11601.0
2019-06-01 18:30:00+02:00,631.0,35.0,73.0,8493.0,11648.0
