,Solar,Wind Offshore,Wind Onshore,Forecasted Load,Actual Load
2020-03-01 00:00:00+01:00,0.0,836.0,2781.0,8486.0,11489.0
2020-03-01 00:15:00+01:00,0.0,836.0,2793.0,8575.0,11403.0
2020-03-01 00:30:00+01:00,0.0,836.0,2800.0,8575.0,11286.0
2020-03-01 00:45:00+01:00,0.0,836.0,2808.0,8489.0,11170.0
2020-03-01 01:00:00+01:00,0.0,835.0,2813.0,8392.0,11123.0
2020-03-01 01:15:00+01:00,0.0,835.0,2815.0,8318.0,11041.0
2020-03-01 01:30:00+01:00,0.0,835.0,2810.0,8261.0,10919.0
2020-03-01 01:45:00+01:00,0.0,834.0,2801.0,8194.0,10846.0
2020-03-01 02:00:00+01:00,0.0,834.0,2797.0,8122.0,10826.0
2020-03-01 02:15:00+01:00,0.0,833.0,2793.0,8050.0,10784.0
2020-03-01 02:30:00+01:00,0.0,833.0,2788.0,7995.0,10712.0
2020-03-01 02:45:00+01:00,0.0,833.0,2784.0,7979.0,10691.0
2020-03-01 03:00:00+01:00,0.0,833.0,2780.0,7939.0,10629.0
2020-03-01 03:15:00+01:00,0.0,833.0,2771.0,7910.0,10600.0
2020-03-01 03:30:00+01:00,0.0,832.0,2763.0,7876.0,10570.0
2020-03-01 03:45:00+01:00,0.0,832.0,2756.0,7863.0,10509.0
2020-03-01 04:00:00+01:00,0.0,831.0,2744.0,7847.0,10498.0
2020-03-01 04:15:00+01:00,0.0,831.0,2734.0,7840.0,10492.0
2020-03-01 04:30:00+01:00,0.0,832.0,2719.0,7814.0,10487.0
2020-03-01 04:45:00+01:00,0.0,832.0,2704.0,7810.0,10499.0
2020-03-01 05:00:00+01:00,0.0,833.0,2690.0,7844.0,10528.0
2020-03-01 05:15:00+01:00,0.0,833.0,2675.0,7881.0,10555.0
2020-03-01 05:30:00+01:00,0.0,833.0,2661.0,7904.0,10572.0
2020-03-01 05:45:00+01:00,0.0,834.0,2645.0,7953.0,10638.0
2020-03-01 06:00:00+01:00,0.0,834.0,2631.0,8017.0,10760.0
2020-03-01 06:15:00+01:00,17.0,833.0,2619.0,8106.0,10839.0
2020-03-01 06:30:00+01:00,34.0,832.0,2609.0,8174.0,10920.0
2020-03-01 06:45:00+01:00,52.0,831.0,2597.0,8229.0,11001.0
2020-03-01 07:00:00+01:00,69.0,830.0,2587.0,8311.0,11166.0
2020-03-01 07:15:00+01:00,196.0,829.0,2576.0,8453.0,11128.0
2020-03-01 07:30:00+01:00,322.0,828.0,2563.0,8558.0,11253.0
2020-03-01 07:45:00+01:00,450.0,827.0,2549.0,8638.0,11331.0
2020-03-01 08:00:00+01:00,576.0,827.0,2537.0,8747.0,11452.0
2020-03-01 08:15:00+01:00,638.0,826.0,2533.0,8909.0,11531.0
2020-03-01 08:30:00+01:00,700.0,824.0,2539.0,9071.0,11701.0
2020-03-01 08:45:00+01:00,759.0,823.0,2545.0,9222.0,11797.0
2020-03-01 09:00:00+01:00,821.0,821.0,2550.0,9354.0,11867.0
2020-03-01 09:15:00+01:00,949.0,819.0,2555.0,9444.0,11933.0
2020-03-01 09:30:00+01:00,1081.0,818.0,2564.0,9553.0,11966.0
2020-03-01 09:45:00+01:00,1210.0,816.0,2571.0,9643.0,11926.0
2020-03-01 10:00:00+01:00,1340.0,814.0,2577.0,9737.0,11795.0
2020-03-01 10:15:00+01:00,1546.0,814.0,2582.0,9803.0,11700.0
2020-03-01 10:30:00+01:00,1754.0,815.0,2586.0,9831.0,11692.0
2020-03-01 10:45:00+01:00,1958.0,816.0,2589.0,9830.0,11664.0
2020-03-01 11:00:00+01:00,2164.0,817.0,2591.0,9867.0,11603.0
2020-03-01 11:15:00+01:00,2243.0,817.0,2597.0,9896.0,11602.0
2020-03-01 11:30:00+01:00,2322.0,817.0,2608.0,9913.0,11434.0
2020-03-01 11:45:00+01:00,2400.0,816.0,2617.0,10019.0,11563.0
2020-03-01 12:00:00+01:00,2480.0,816.0,2627.0,10074.0,11546.0
2020-03-01 12:15:00+01:00,2456.0,813.0,2614.0,10094.0,11567.0
2020-03-01 12:30:00+01:00,2427.0,810.0,2578.0,10081.0,11498.0
2020-03-01 12:45:00+01:00,2403.0,806.0,2542.0,10043.0,11358.0
2020-03-01 13:00:00+01:00,2376.0,802.0,2502.0,10024.0,11386.0
2020-03-01 13:15:00+01:00,2286.0,800.0,2452.0,10029.0,11384.0
2020-03-01 13:30:00+01:00,2196.0,798.0,2386.0,10033.0,11450.0
2020-03-01 13:45:00+01:00,2107.0,797.0,2321.0,10031.0,11587.0
2020-03-01 14:00:00+01:00,2016.0,795.0,2253.0,10030.0,11723.0
2020-03-01 14:15:00+01:00,1855.0,791.0,2180.0,10034.0,11816.0
2020-03-01 14:30:00+01:00,1695.0,786.0,2095.0,10071.0,11949.0
2020-03-01 14:45:00+01:00,1535.0,780.0,2009.0,10111.0,12025.0
2020-03-01 15:00:00+01:00,1376.0,774.0,1922.0,10103.0,12036.0
2020-03-01 15:15:00+01:00,1200.0,762.0,1824.0,10131.0,12195.0
2020-03-01 15:30:00+01:00,1030.0,745.0,1708.0,10180.0,12216.0
2020-03-01 15:45:00+01:00,858.0,727.0,1595.0,10196.0,12312.0
2020-03-01 16:00:00+01:00,686.0,709.0,1483.0,10198.0,12442.0
2020-03-01 16:15:00+01:00,563.0,687.0,1376.0,10237.0,12541.0
2020-03-01 16:30:00+01:00,436.0,661.0,1275.0,10320.0,12734.0
2020-03-01 16:45:00+01:00,310.0,635.0,1176.0,10426.0,13023.0
2020-03-01 17:00:00+01:00,186.0,609.0,1074.0,10485.0,13165.0
2020-03-01 17:15:00+01:00,141.0,578.0,984.0,10481.0,13414.0
2020-03-01 17:30:00+01:00,96.0,543.0,905.0,10635.0,13657.0
2020-03-01 17:45:00+01:00,53.0,508.0,824.0,10747.0,13876.0
2020-03-01 18:00:00+01:00,5.0,473.0,746.0,10727.0,13782.0
2020-03-01 18:15:00+01:00,4.0,454.0,693.0,10595.0,13903.0
2020-03-01 18:30:00+01:00,2.0,451.0,666.0,10631.0,14143.0
2020-03-01 18:45:00+01:00,1.0,447.0,638.0,10634.0,14242.0
2020-03-01 19:00:00+01:00,0.0,444.0,610.0,10570.0,14205.0
2020-03-01 19:15:00+01:00,0.0,448.0,596.0,10488.0,14130.0
2020-03-01 19:30:00+01:00,0.0,458.0,588.0,10381.0,14056.0
2020-03-01 19:45:00+01:00,0.0,469.0,581.0,10290.0,14031.0
2020-03-01 20:00:00+01:00,0.0,480.0,573.0,10241.0,13843.0
2020-03-01 20:15:00+01:00,0.0,493.0,570.0,10151.0,13722.0
2020-03-01 20:30:00+01:00,0.0,508.0,571.0,10049.0,13483.0
2020-03-01 20:45:00+01:00,0.0,524.0,570.0,9930.0,13328.0
2020-03-01 21:00:00+01:00,0.0,539.0,573.0,9813.0,13164.0
2020-03-01 21:15:00+01:00,0.0,547.0,587.0,9754.0,12966.0
2020-03-01 21:30:00+01:00,0.0,548.0,609.0,9695.0,12854.0
2020-03-01 21:45:00+01:00,0.0,548.0,630.0,9627.0,12718.0
2020-03-01 22:00:00+01:00,0.0,548.0,652.0,9553.0,12573.0
2020-03-01 22:15:00+01:00,0.0,556.0,682.0,9483.0,12368.0
2020-03-01 22:30:00+01:00,0.0,571.0,718.0,9367.0,12231.0
2020-03-01 22:45:00+01:00,0.0,587.0,754.0,9230.0,12021.0
2020-03-01 23:00:00+01:00,0.0,602.0,790.0,9130.0,11834.0
2020-03-01 23:15:00+01:00,0.0,611.0,823.0,9045.0,11662.0
2020-03-01 23:30:00+01:00,0.0,613.0,854.0,8914.0,11504.0
2020-03-01 23:45:00+01:00,0.0,616.0,884.0,8774.0,11404.0
2020-03-02 00:00:00+01:00,0.0,601.0,1076.0,8744.0,11238.0
2020-03-02 00:15:00+01:00,0.0,604.0,1090.0,8840.0,11195.0
2020-03-02 00:30:00+01:00,0.0,617.0,1110.0,8812.0,10968.0
2020-03-02 00:45:00+01:00,0.0,629.0,1129.0,8712.0,10966.0
2020-03-02 01:00:00+01:00,0.0,642.0,1148.0,8608.0,10959.0
2020-03-02 01:15:00+01:00,0.0,649.0,1162.0,8565.0,10877.0
2020-03-02 01:30:00+01:00,0.0,649.0,1170.0,8543.0,10805.0
2020-03-02 01:45:00+01:00,0.0,649.0,1177.0,8483.0,10758.0
2020-03-02 02:00:00+01:00,0.0,649.0,1184.0,8467.0,10795.0
2020-03-02 02:15:00+01:00,0.0,655.0,1191.0,8480.0,10824.0
2020-03-02 02:30:00+01:00,0.0,668.0,1197.0,8481.0,10777.0
2020-03-02 02:45:00+01:00,0.0,681.0,1205.0,8482.0,10780.0
2020-03-02 03:00:00+01:00,0.0,694.0,1209.0,8482.0,10783.0
2020-03-02 03:15:00+01:00,0.0,700.0,1203.0,8491.0,10813.0
2020-03-02 03:30:00+01:00,0.0,699.0,1182.0,8512.0,10832.0
2020-03-02 03:45:00+01:00,0.0,698.0,1163.0,8522.0,10850.0
2020-03-02 04:00:00+01:00,0.0,697.0,1144.0,8538.0,10925.0
2020-03-02 04:15:00+01:00,0.0,696.0,1127.0,8614.0,10931.0
2020-03-02 04:30:00+01:00,0.0,696.0,1119.0,8663.0,10968.0
2020-03-02 04:45:00+01:00,0.0,697.0,1107.0,8718.0,10996.0
2020-03-02 05:00:00+01:00,0.0,697.0,1099.0,8804.0,11183.0
2020-03-02 05:15:00+01:00,0.0,685.0,1083.0,8944.0,11313.0
2020-03-02 05:30:00+01:00,0.0,661.0,1062.0,9100.0,11532.0
2020-03-02 05:45:00+01:00,0.0,637.0,1040.0,9287.0,11770.0
2020-03-02 06:00:00+01:00,0.0,613.0,1018.0,9572.0,12223.0
2020-03-02 06:15:00+01:00,11.0,597.0,999.0,9973.0,12641.0
2020-03-02 06:30:00+01:00,25.0,591.0,979.0,10355.0,13054.0
2020-03-02 06:45:00+01:00,37.0,584.0,957.0,10709.0,13475.0
2020-03-02 07:00:00+01:00,49.0,578.0,934.0,11048.0,14122.0
2020-03-02 07:15:00+01:00,61.0,571.0,931.0,11439.0,14483.0
2020-03-02 07:30:00+01:00,75.0,566.0,940.0,11759.0,14848.0
2020-03-02 07:45:00+01:00,90.0,560.0,949.0,12052.0,15228.0
2020-03-02 08:00:00+01:00,100.0,554.0,957.0,12280.0,15474.0
2020-03-02 08:15:00+01:00,119.0,551.0,960.0,12454.0,15698.0
2020-03-02 08:30:00+01:00,135.0,551.0,955.0,12578.0,15831.0
