,Solar,Wind Offshore,Wind Onshore,Forecasted Load,Actual Load
2020-12-01 00:00:00+01:00,0.0,855.0,1813.0,12639.0,11860.0
2020-12-01 00:15:00+01:00,0.0,857.0,1818.0,12594.0,11788.0
2020-12-01 00:30:00+01:00,0.0,857.0,1813.0,12507.0,11679.0
2020-12-01 00:45:00+01:00,0.0,857.0,1811.0,12380.0,11493.0
2020-12-01 01:00:00+01:00,0.0,858.0,1805.0,12263.0,11396.0
2020-12-01 01:15:00+01:00,0.0,858.0,1796.0,12181.0,11340.0
2020-12-01 01:30:00+01:00,0.0,857.0,1784.0,12110.0,11270.0
2020-12-01 01:45:00+01:00,0.0,856.0,1772.0,12037.0,11158.0
2020-12-01 02:00:00+01:00,0.0,856.0,1760.0,11958.0,11123.0
2020-12-01 02:15:00+01:00,0.0,856.0,1759.0,11919.0,11081.0
2020-12-01 02:30:00+01:00,0.0,856.0,1772.0,11876.0,11077.0
2020-12-01 02:45:00+01:00,0.0,856.0,1785.0,11833.0,11055.0
2020-12-01 03:00:00+01:00,0.0,857.0,1798.0,11795.0,11072.0
2020-12-01 03:15:00+01:00,0.0,858.0,1831.0,11794.0,11039.0
2020-12-01 03:30:00+01:00,0.0,860.0,1883.0,11793.0,11005.0
2020-12-01 03:45:00+01:00,0.0,861.0,1935.0,11786.0,11012.0
2020-12-01 04:00:00+01:00,0.0,863.0,1986.0,11783.0,11063.0
2020-12-01 04:15:00+01:00,0.0,866.0,2036.0,11820.0,11094.0
2020-12-01 04:30:00+01:00,0.0,870.0,2076.0,11853.0,11142.0
2020-12-01 04:45:00+01:00,0.0,875.0,2120.0,11857.0,11178.0
2020-12-01 05:00:00+01:00,0.0,880.0,2162.0,11936.0,11286.0
2020-12-01 05:15:00+01:00,0.0,883.0,2200.0,12089.0,11423.0
2020-12-01 05:30:00+01:00,0.0,886.0,2230.0,12240.0,11602.0
2020-12-01 05:45:00+01:00,0.0,889.0,2263.0,12444.0,11815.0
2020-12-01 06:00:00+01:00,0.0,892.0,2292.0,12721.0,12227.0
2020-12-01 06:15:00+01:00,0.0,893.0,2313.0,13092.0,12603.0
2020-12-01 06:30:00+01:00,0.0,893.0,2320.0,13453.0,12930.0
2020-12-01 06:45:00+01:00,0.0,892.0,2326.0,13785.0,13349.0
2020-12-01 07:00:00+01:00,0.0,892.0,2333.0,14159.0,13949.0
2020-12-01 07:15:00+01:00,3.0,891.0,2340.0,14705.0,14421.0
2020-12-01 07:30:00+01:00,8.0,891.0,2348.0,15153.0,14828.0
2020-12-01 07:45:00+01:00,10.0,890.0,2354.0,15486.0,15037.0
2020-12-01 08:00:00+01:00,16.0,889.0,2361.0,15725.0,15378.0
2020-12-01 08:15:00+01:00,36.0,888.0,2365.0,15915.0,15634.0
2020-12-01 08:30:00+01:00,53.0,887.0,2362.0,16027.0,15804.0
2020-12-01 08:45:00+01:00,71.0,886.0,2361.0,16150.0,15974.0
2020-12-01 09:00:00+01:00,90.0,885.0,2356.0,16243.0,16050.0
2020-12-01 09:15:00+01:00,110.0,883.0,2345.0,16267.0,16107.0
2020-12-01 09:30:00+01:00,134.0,880.0,2325.0,16243.0,16076.0
2020-12-01 09:45:00+01:00,155.0,877.0,2304.0,16216.0,16060.0
2020-12-01 10:00:00+01:00,179.0,874.0,2283.0,16185.0,16013.0
2020-12-01 10:15:00+01:00,202.0,872.0,2265.0,16109.0,15958.0
2020-12-01 10:30:00+01:00,229.0,870.0,2250.0,16029.0,15904.0
2020-12-01 10:45:00+01:00,257.0,869.0,2233.0,15942.0,15816.0
2020-12-01 11:00:00+01:00,283.0,867.0,2216.0,15798.0,15712.0
2020-12-01 11:15:00+01:00,305.0,866.0,2200.0,15635.0,15594.0
2020-12-01 11:30:00+01:00,324.0,865.0,2189.0,15581.0,15497.0
2020-12-01 11:45:00+01:00,344.0,864.0,2174.0,15538.0,15460.0
2020-12-01 12:00:00+01:00,365.0,863.0,2162.0,15541.0,15441.0
2020-12-01 12:15:00+01:00,358.0,863.0,2136.0,15483.0,15372.0
2020-12-01 12:30:00+01:00,351.0,863.0,2090.0,15382.0,15234.0
2020-12-01 12:45:00+01:00,342.0,863.0,2046.0,15337.0,15147.0
2020-12-01 13:00:00+01:00,336.0,863.0,2005.0,15323.0,15223.0
2020-12-01 13:15:00+01:00,305.0,863.0,1960.0,15404.0,15273.0
2020-12-01 13:30:00+01:00,276.0,864.0,1918.0,15449.0,15262.0
2020-12-01 13:45:00+01:00,246.0,864.0,1875.0,15467.0,15154.0
2020-12-01 14:00:00+01:00,218.0,865.0,1833.0,15603.0,15209.0
2020-12-01 14:15:00+01:00,182.0,866.0,1788.0,15660.0,15359.0
2020-12-01 14:30:00+01:00,148.0,866.0,1740.0,15777.0,15446.0
2020-12-01 14:45:00+01:00,113.0,866.0,1689.0,15874.0,15413.0
2020-12-01 15:00:00+01:00,79.0,866.0,1641.0,15993.0,15449.0
2020-12-01 15:15:00+01:00,62.0,864.0,1595.0,16099.0,15709.0
2020-12-01 15:30:00+01:00,43.0,860.0,1551.0,16289.0,15887.0
